      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I 73-7   
                         
Sec Az  156         
Elev   4189 KB      
CoordsNorth  258489 East              2354475 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0    0     0     0        0   4189     0     0     0     0     0        0  258489  2354475 
  155  0.00      48  312   155     0      155   4034     0     0     0     0     0        0  258489  2354475 
  189  0.24      48  312    34     0      189   4000     0     0     0     0     0        0  258489  2354475 
  294  1.00      48  312   139     1      294   3895     1    -1     1    -1    -1       -1  258490  2354474 
  500  1.37      48  312   206     4      500   3689     3    -3     4    -4    -4       -5  258493  2354471 
  570  1.50      48  312    70     2      570   3619     1    -1     5    -5    -2       -7  258494  2354470 
  611  2.25      61  299    41     1      611   3578     1    -1     6    -6    -1       -8  258495  2354469 
  642  2.00      73  287    31     1      642   3547     0    -1     6    -8    -1       -9  258495  2354467 
  673  2.50      81  279    31     1      673   3516     0    -1     6    -9    -1       -9  258495  2354466 
  704  2.50      88  268    31     1      704   3485     0    -1     6   -10    -1      -10  258495  2354465 
  734  2.50      77  257    30     1      734   3455     0    -1     6   -11     0      -10  258495  2354464 
  765  2.25      69  249    31     1      765   3424     0    -1     6   -13     0      -10  258495  2354462 
  828  2.75      46  226    63     3      828   3361    -1    -2     4   -15     0      -10  258493  2354460 
  860  2.75      34  214    32     2      860   3329    -1    -1     3   -16     1       -9  258492  2354459 
  881  2.58      24  204    21     1      881   3308    -1     0     2   -16     1       -9  258491  2354459 
  890  2.50      19  199     9     0      890   3299     0     0     2   -17     0       -9  258491  2354458 
  922  3.00      15  195    32     2      922   3267    -1     0     1   -17     1       -7  258490  2354458 
  953  3.00       8  188    31     2      953   3236    -2     0    -1   -17     1       -6  258488  2354458 
  985  3.00       4  176    32     2      985   3204    -2     0    -3   -17     2       -5  258486  2354458 
 1000  3.24       5  175    15     1     1000   3189    -1     0    -4   -17     1       -4  258485  2354458 
 1016  3.50       7  173    16     1     1015   3174    -1     0    -4   -17     1       -3  258485  2354458 
 1047  3.75      13  167    31     2     1046   3143    -2     0    -6   -17     2       -1  258483  2354458 
 1078  4.25      13  167    31     2     1077   3112    -2     0    -9   -16     2        1  258480  2354459 
 1109  4.50      16  164    31     2     1108   3081    -2     1   -11   -16     2        3  258478  2354459 
 1160  5.00      22  158    51     4     1159   3030    -4     1   -15   -14     4        8  258474  2354461 
 1190  5.00      22  158    30     3     1189   3000    -2     1   -17   -13     3       10  258472  2354462 
 1243  5.00      22  158    83     7     1242   2947    -7     3   -22   -12     7       15  258467  2354463 
 1273  6.75      17  163    30     3     1272   2917    -3     1   -24   -11     3       18  258465  2354464 
 1334  8.00      26  154    60     8     1332   2857    -7     3   -32    -8     8       26  258457  2354467 
 1365  8.50      28  152    31     4     1363   2826    -4     2   -36    -6     4       30  258453  2354469 
 1397  9.25      30  150    32     5     1394   2795    -4     2   -40    -3     5       35  258449  2354472 
 1428 10.00      29  151    31     5     1425   2764    -5     3   -44    -1     5       40  258445  2354474 
