      WELL DATA SUMMARY                                                                                   
            
Well  NAVY I 77-7   
                         
Sec Az    0         
Elev   4410 KB      
CoordsNorth  256184 East              2354932 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM E-LAM    
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      57  303                        4410     0     0     0     0     0     0  256184  2354932 
  410  1.94      57  303   410     7      410   4000     4    -6     4    -6     4     4  256188  2354926 
  500  2.37      57  303   500    10      500   3910     6    -9     6    -9     6     6  256190  2354923 
  527  2.50      57  303    27     1      527   3883     1    -1     6   -10     1     6  256190  2354922 
  575  2.26      57  303    48     2      575   3835     1    -2     7   -11     1     7  256191  2354921 
  626  2.00      58  302    51     2      626   3784     1    -2     8   -13     1     8  256192  2354919 
  687  1.00       4    4    61    -2      687   3723     1    -1    10   -14     1    10  256194  2354918 
  749  2.25      44   44    62     2      749   3661     2     1    11   -13     2    11  256195  2354919 
  810  3.75      55   55    61     3      810   3600     2     2    13   -11     2    13  256197  2354921 
  872  5.25      68   68    62     5      871   3539     2     4    16    -6     2    16  256200  2354926 
  935  7.00      79   79    63     7      934   3476     2     6    18     0     2    18  256202  2354932 
  967  8.25      84   84    32     4      966   3444     1     4    18     4     1    18  256202  2354936 
 1000  9.21      84   84    33     5      998   3412     1     5    19     9     1    19  256203  2354941 
 1027 10.00      84   84    27     5     1025   3385     0     4    19    14     0    19  256203  2354946 
 1058 10.75      83   83    30     6     1056   3354     1     6    20    19     1    20  256204  2354951 
 1122 11.75      89   89    63    12     1118   3292     1    12    21    32     1    21  256205  2354964 
 1183 11.25      89   89    60    12     1178   3232     0    12    21    44     0    21  256205  2354976 
 1244 11.00      90   90    60    12     1238   3172     0    12    21    56     0    21  256205  2354988 
 1307 11.00      89   89    62    12     1300   3110     0    12    21    68     0    21  256205  2355000 
 1368 11.00      89   89    60    12     1360   3050     0    12    21    79     0    21  256205  2355011 
 1419 11.00      88   91    50    10     1410   3000     0    10    21    89     0    21  256205  2355021 
 1453 11.00      88   92    83    16     1443   2967     0    16    21    96     0    21  256205  2355028 
 1484 11.00      90   90    30     6     1474   2936     0     6    21   102     0    21  256205  2355034 
 1500 11.13      90   90    16     3     1489   2921     0     3    21   105     0    21  256205  2355037 
 1547 11.50      89   89    46     9     1535   2875     0     9    21   114     0    21  256205  2355046 
 1610 11.00      88   92    62    12     1597   2813     0    12    21   126     0    21  256205  2355058 
 1701 11.50      87   87    89    18     1686   2724     0    18    21   144     0    21  256205  2355076 
 1732 10.00      89   89    30     6     1717   2693     0     6    22   150     0    22  256206  2355082 
 1794 10.75      86   94    61    11     1778   2632     0    11    21   161     0    21  256205  2355093 
 1850 10.75      86   86    55    10     1833   2577     0    10    21   171     0    21  256205  2355103 
 1881 11.25      89   89    30     6     1863   2547     0     6    22   177     0    22  256206  2355109 
 1910 11.25      90   90    28     6     1892   2518     0     6    22   183     0    22  256206  2355115 
 1912 11.25      90   90     2     0     1894   2516     0     0    22   183     0    22  256206  2355115 
 1943 11.25      89   91    30     6     1924   2486     0     6    22   189     0    22  256206  2355121 
