      WELL DATA SUMMARY                                                                                   
            
Well  Navy I 78-7   
                         
Sec Az  227         
Elev   4373 KB      
CoordsNorth  255318 East              2354808 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM  E-LAM  
_________________________________________________________________________________________________________ 
                                                                                                                
    0     0      51  309     0     0        0   4373     0     0     0     0     0     0  255318  2354808 
  233  2.25      51  309   233     5      233   4140     3    -4     3    -4     1     1  255321  2354804 
  373  2.60      51  309   140     6      373   4000     4    -5     7    -8     1     1  255325  2354800 
  435  2.75      51  309   202     9      435   3938     6    -7     8   -10     1     2  255326  2354798 
  500  2.75      51  309    65     3      500   3873     2    -2    10   -13     0     2  255328  2354795 
  563  2.75      51  309    63     3      563   3810     2    -2    12   -15     0     3  255330  2354793 
  607  2.75      44  316    44     2      607   3766     1    -2    14   -17     0     3  255332  2354791 
  638  2.25      51  309    31     1      638   3735     1    -1    15   -18     0     3  255333  2354790 
  669  2.00      59  301    31     1      669   3704     1    -1    15   -19     0     3  255333  2354789 
  701  2.50      68  292    32     1      700   3673     1    -1    16   -20     0     4  255334  2354788 
  730  2.75      76  284    29     1      729   3644     0    -1    16   -21     1     4  255334  2354787 
  761  2.75      84  276    31     1      760   3613     0    -1    17   -23     1     5  255335  2354785 
  791  2.75      84  264    30     1      790   3583     0    -1    17   -24     1     6  255335  2354784 
  822  2.75      77  257    31     1      821   3552     0    -1    16   -25     1     8  255334  2354783 
  853  2.75      66  246    31     1      852   3521     0    -1    16   -27     1     9  255334  2354781 
  885  3.00      59  239    32     2      884   3489    -1    -1    15   -28     2    10  255333  2354780 
  915  3.00      59  239    30     2      914   3459    -1    -1    14   -30     2    12  255332  2354778 
  946  3.50      57  237    31     2      945   3428    -1    -1    13   -31     2    14  255331  2354777 
  965  3.90      57  237    19     1      964   3409    -1    -1    13   -32     1    15  255331  2354776 
 1000  4.63      57  237    35     3      999   3374    -1    -2    11   -34     3    17  255329  2354774 
 1006  4.75      57  237     6     0     1005   3368     0     0    11   -35     0    18  255329  2354773 
 1012  4.85      57  237     6     1     1011   3362     0     0    11   -35     0    18  255329  2354773 
 1037  5.25      55  235    25     2     1036   3337    -1    -2     9   -37     2    21  255327  2354771 
 1068  6.00      51  231    31     3     1067   3306    -2    -2     8   -39     3    24  255326  2354769 
 1100  6.50      51  231    32     3     1099   3274    -2    -3     5   -42     3    27  255323  2354766 
 1129  7.50      50  230    29     4     1127   3246    -2    -3     3   -45     4    31  255321  2354763 
 1160  8.75      51  231    31     4     1158   3215    -3    -3     0   -48     4    35  255318  2354760 
 1191  9.75      49  229    31     5     1189   3184    -3    -4    -3   -52     5    40  255315  2354756 
 1222 10.50      49  229    31     5     1219   3154    -4    -4    -6   -56     5    45  255312  2354752 
 1253 11.25      48  228    30     6     1250   3123    -4    -4   -10   -61     6    51  255308  2354747 
 1284 12.00      46  226    30     6     1280   3093    -4    -5   -15   -65     6    57  255303  2354743 
 1316 13.00      46  226    31     7     1311   3062    -5    -5   -19   -70     7    64  255299  2354738 
 1347 13.75      46  226    30     7     1341   3032    -5    -5   -24   -75     7    72  255294  2354733 
