      WELL DATA SUMMARY                                                                                   
            
Well  NAVY I 87-7   
                         
Sec Az  100 S 80 E       
Elev   4401 KB      
CoordsNorth  255802 East              2354838 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM E-LAM    
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      21  159                        4401     0     0     0     0     0     0  255802  2354838 
  131  0.50      21  159   131     1      131   4270    -1     0    -1     0     0     0  255801  2354838 
  252  0.00       0  180   121     1      252   4149    -1     0    -1     0     0     0  255801  2354838 
  401  0.75      21  159   149     1      401   4000    -1     0    -2     0     0     1  255800  2354838 
  465  0.75      21  159    64     1      465   3936    -1     0    -3     1     0     1  255799  2354839 
  500  0.98      21  159    35     1      500   3901     0     0    -3     1     0     2  255799  2354839 
  540  1.25      21  159    40     1      540   3861    -1     0    -4     1     0     2  255798  2354839 
  557  1.00      21  159    17     0      557   3844     0     0    -4     1     0     2  255798  2354839 
  587  1.23      30  150    30     1      587   3814    -1     0    -5     2     0     2  255797  2354840 
  589  1.25      31  149     2     0      589   3812     0     0    -5     2     0     2  255797  2354840 
  620  1.50      41  139    31     1      620   3781    -1     0    -5     2     1     3  255797  2354840 
  652  2.00      46  134    32     1      652   3749    -1     1    -6     3     1     4  255796  2354841 
  683  2.50      52  128    31     1      683   3718    -1     1    -7     4     1     5  255795  2354842 
  714  3.00      52  128    31     1      714   3687    -1     1    -8     5     1     6  255794  2354843 
  744  3.50      60  120    30     2      744   3657    -1     1    -9     6     2     8  255793  2354844 
  776  4.25      67  113    32     2      776   3625    -1     2   -10     8     2    10  255792  2354846 
  808  4.75      68  112    32     3      808   3593    -1     2   -11    11     2    12  255791  2354849 
  839  5.50      70  110    31     3      839   3562    -1     3   -12    13     3    15  255790  2354851 
  870  6.25      68  112    31     3      869   3532    -1     3   -13    16     3    18  255789  2354854 
  900  7.00      68  112    30     3      899   3502    -1     3   -14    19     3    21  255788  2354857 
  930  7.50      71  109    30     4      929   3472    -1     4   -16    23     4    25  255786  2354861 
  961  8.00      73  107    31     4      960   3441    -1     4   -17    27     4    29  255785  2354865 
  993  8.50      77  103    32     5      991   3410    -1     4   -18    31     5    34  255784  2354869 
 1000  8.61      77  103     7     1      998   3403     0     1   -18    32     1    35  255784  2354870 
 1024  9.00      79  101    24     4     1022   3379    -1     4   -19    36     4    39  255783  2354874 
 1056  9.75      79  101    32     5     1054   3347    -1     5   -20    41     5    44  255782  2354879 
 1087 10.25      77  103    31     5     1084   3317    -1     5   -21    46     5    49  255781  2354884 
 1119 11.00      77  103    31     6     1116   3285    -1     6   -22    52     6    55  255780  2354890 
 1180 11.25      80  100    60    12     1175   3226    -2    12   -25    64    12    67  255777  2354902 
 1271 11.00      78  102    89    18     1265   3136    -3    17   -28    81    18    84  255774  2354919 
 1317 10.73      77  103    45     9     1310   3091    -2     8   -30    89     9    93  255772  2354927 
 1400 10.25      76  104    82    15     1391   3010    -3    15   -33   104    15   108  255769  2354942 
 1410 10.35      77  103    10     2     1401   3000     0     2   -34   106     2   110  255768  2354944 
