      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I  87A-7 
                         
Sec Az  250    S70W 
Elev   4402 KB      
CoordsNorth  255893 East              2354881 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0   30     0     0        0   4402     0     0     0     0     0        0  255893  2354881 
   74  1.00      30   30    74     1       74   4328     1     0     1     0     0        0  255894  2354881 
  155  1.00      45  225    81     1      155   4247    -1     1     0     1    -1       -1  255893  2354882 
  226  1.25      53  233    71     1      226   4176    -1    -1    -1     0     1        0  255892  2354881 
  364  1.00      66  294   138     3      364   4038     0    -3    -2    -2     3        3  255891  2354879 
  402  1.00      65  295    38     1      402   4000     0    -1    -1    -3     0        3  255892  2354878 
  419  1.00      65  295    55     1      419   3983     0    -1    -1    -3     1        3  255892  2354878 
  453  1.00      65  295    34     1      453   3949     0    -1    -1    -4     0        4  255892  2354877 
  676  1.50      71  289   223     5      676   3726     2    -5     1    -8     4        7  255894  2354873 
  770  1.75      70  290    94     3      770   3632     1    -3     2   -11     2        9  255895  2354870 
  900  2.50      66  294   130     5      900   3502     2    -4     4   -15     4       13  255897  2354866 
  947  3.75      77  283    47     3      947   3455     1    -2     4   -18     2       15  255897  2354863 
 1040  6.00      90  270    93     8     1039   3363     1    -8     5   -25     7       22  255898  2354856 
 1070  6.75      86  266    30     3     1069   3333     0    -3     5   -29     3       25  255898  2354852 
 1102  6.75      81  261    32     4     1101   3301     0    -4     5   -33     4       29  255898  2354848 
 1133  7.25      75  255    31     4     1132   3270    -1    -4     4   -36     4       33  255897  2354845 
 1175  8.00      70  250    42     6     1173   3229    -2    -5     2   -42     6       38  255895  2354839 
 1207  8.25      70  250    32     5     1205   3197    -2    -4     1   -46     5       43  255894  2354835 
 1301  8.25      71  251    93    13     1298   3104    -5   -13    -4   -59    13       56  255889  2354822 
 1406  8.46      74  254   104    15     1402   3000    -5   -15    -8   -73    15       72  255885  2354808 
 1426  8.50      75  255   124    18     1422   2980    -5   -17    -9   -76    18       74  255884  2354805 
 1516  9.00      77  257    89    14     1511   2891    -3   -13   -12   -89    14       88  255881  2354792 
 1609 10.25      78  258    92    16     1602   2800    -3   -15   -16  -104    15      103  255877  2354777 
 1703 12.25      76  256    92    18     1695   2707    -4   -18   -20  -122    18      122  255873  2354759 
 1798 13.25      75  255    93    21     1787   2615    -5   -20   -25  -143    21      143  255868  2354738 
 1914 15.35      76  256   112    29     1900   2502    -7   -28   -32  -170    29      171  255861  2354711 
 1922 15.50      76  256   120    31     1907   2495    -8   -30   -33  -172    31      173  255860  2354709 
 2006 15.25      73  253    81    22     1988   2414    -6   -21   -39  -194    22      195  255854  2354687 
 2085 14.63      66  246    76    20     2065   2337    -7   -19   -46  -213    20      216  255847  2354668 
 2038 15.00      70  250    31     8     2019   2383    -3    -8   -41  -202     8      204  255852  2354679 
 2109 15.50      66  246    68    19     2088   2314    -7   -17   -48  -219    19      222  255845  2354662 
 2204 17.00      68  248    91    27     2179   2223   -10   -24   -59  -244    27      249  255834  2354637 
 2297 19.75      68  248    88    29     2267   2135   -11   -27   -70  -271    29      278  255823  2354610 
 2392 23.75      68  248    88    35     2355   2047   -13   -33   -83  -303    35      313  255810  2354578 
 2443 24.30      68  248    47    21     2402   2000    -8   -19   -91  -323    21      334  255802  2354558 
 2485 24.75      68  248    85    38     2440   1962   -14   -35   -97  -339    38      352  255796  2354542 
 2575 25.00      69  249    82    38     2522   1880   -14   -35  -111  -374    38      389  255782  2354507 
 2667 25.00      67  247    83    39     2605   1797   -15   -36  -126  -410    39      428  255767  2354471 
 2760 25.00      67  247    84    39     2690   1712   -15   -36  -141  -446    39      468  255752  2354435 
 2803 25.00      67  247   123    57     2728   1674   -22   -53  -148  -463    57      486  255745  2354418 
 2918 25.00      65  245   104    49     2833   1569   -20   -44  -168  -507    48      534  255725  2354374 
 2803 25.00      67  247  -104   -49     2728   1674    20    44  -148  -463   -48      486  255745  2354418 
 2918 25.00      65  245   104    49     2833   1569   -20   -44  -168  -507    48      534  255725  2354374 
 3052 25.00      64  244   121    57     2954   1448   -24   -51  -192  -558    56      591  255701  2354323 
 3166 25.00      64  244   103    48     3057   1345   -21   -43  -213  -602    48      638  255680  2354279 
 3292 25.00      63  243   114    53     3172   1230   -24   -48  -237  -649    53      691  255656  2354232 
 3412 25.00      64  244   109    51     3280   1122   -23   -45  -260  -695    50      742  255633  2354186 
 3536 23.00      65  245   113    50     3394   1008   -22   -46  -282  -740    50      792  255611  2354141 
 3545 22.95      65  245     8     4     3402   1000    -1    -3  -283  -744     3      795  255610  2354137 
 3662 22.25      64  244   116    48     3510    892   -21   -44  -302  -784    48      840  255591  2354097 
 3789 21.75      63  243   118    48     3628    774   -21   -43  -324  -827    47      887  255569  2354054 
 3855 21.75      63  243    61    24     3689    713   -11   -22  -335  -848    24      912  255558  2354033 
 3899 21.75      63  243    41    16     3730    672    -7   -15  -342  -863    16      928  255551  2354018 
 3983 21.75      63  243   119    47     3808    594   -22   -42  -356  -891    47      959  255537  2353990 
