      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I 16A-8RD
                         
Sec Az  211 S 31 W  
Elev   4389 KB      
CoordsNorth  256652 East              2355430 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      18  198                        4389     0     0     0     0     0        0  256652  2355430 
  144  0.25      18  198   144     0      144   4245     0     0     0     0     0        0  256652  2355430 
  291  0.50      18  198   147     1      291   4098    -1     0    -1     0     1        1  256651  2355430 
  389  0.50      18  198    98     1      389   4000    -1     0    -2    -1     1        2  256650  2355429 
  443  0.50      18  198   152     1      443   3946    -1     0    -2    -1     1        3  256650  2355429 
  500  0.83      18  198    57     1      500   3889    -1     0    -3    -1     1        3  256649  2355429 
  530  1.00      18  198    30     0      530   3859     0     0    -4    -1     0        4  256648  2355429 
  614  1.75      18  198    84     2      614   3775    -2    -1    -5    -2     2        6  256647  2355428 
  644  1.75       3  177    30     1      644   3745    -1     0    -6    -2     1        6  256646  2355428 
  674  2.00      16  164    30     1      674   3715    -1     0    -7    -2     1        7  256645  2355428 
  706  2.25      28  152    32     1      706   3683    -1     0    -8    -1     1        8  256644  2355429 
  737  2.50      41  139    31     1      737   3652    -1     1   -10    -1     1        8  256642  2355429 
  767  3.00      45  135    30     1      767   3622    -1     1   -11     0     0        9  256641  2355430 
  800  3.50      42  138    33     2      800   3589    -1     1   -12     2     0        9  256640  2355432 
  832  4.00      41  139    32     2      832   3557    -2     1   -13     3     1       10  256639  2355433 
  864  4.50      43  137    32     2      864   3525    -2     2   -15     5     1       11  256637  2355435 
  895  5.25      42  138    31     3      895   3494    -2     2   -17     6     1       11  256635  2355436 
  935  6.00      42  138    40     4      934   3455    -3     3   -20     9     1       13  256632  2355439 
  950  6.50      41  139    15     2      949   3440    -1     1   -21    10     0       13  256631  2355440 
  978  6.00      31  149    28     3      977   3412    -2     2   -24    12     1       14  256628  2355442 
 1000  6.06      29  154    22     2      999   3390    -2     1   -26    13     1       15  256626  2355443 
 1164  6.50      11  191   163    18     1162   3227   -18     2   -44    15    14       29  256608  2355445 
 1194  6.00      14  194    30     3     1192   3197    -3    -1   -47    15     3       33  256605  2355445 
 1225  6.00      17  197    31     3     1223   3166    -3    -1   -50    14     3       36  256602  2355444 
 1255  6.00      23  203    30     3     1252   3137    -3    -1   -53    13     3       39  256599  2355443 
 1287  6.00      29  209    32     3     1284   3105    -3    -1   -56    11     3       42  256596  2355441 
 1318  6.00      37  217    31     3     1315   3074    -3    -2   -59    10     3       45  256593  2355440 
 1349  6.50      42  222    31     3     1346   3043    -3    -2   -61     7     3       49  256591  2355437 
 1380  7.25      42  222    31     4     1377   3012    -3    -2   -64     5     4       52  256588  2355435 
 1392  7.33      42  222    12     2     1389   3000    -1    -1   -65     4     1       54  256587  2355434 
 1490  8.00      42  222   109    15     1486   2903   -11   -10   -75    -5    14       67  256577  2355425 
 1500  8.00      41  221    10     1     1496   2893    -1    -1   -76    -6     1       68  256576  2355424 
 1549  8.00      38  218    49     7     1544   2845    -5    -4   -81   -10     7       75  256571  2355420 
