      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I 47A-8  
                         
Sec Az  320         
Elev   4341 KB      
CoordsNorth  256137 East              2357453 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0    0                        4341     0     0     0     0     0        0  256137  2357453 
  144  0.00       0    0   144     0      144   4197     0     0     0     0     0        0  256137  2357453 
  341  0.00       0    0   197     0      341   4000     0     0     0     0     0        0  256137  2357453 
  358  0.00       0    0   214     0      358   3983     0     0     0     0     0        0  256137  2357453 
  471  0.00       0  221   113     0      471   3870     0     0     0     0     0        0  256137  2357453 
  500  0.62      11  221    29     0      500   3841     0     0     0     0     0        0  256137  2357453 
  576  2.25      41  221   105     2      576   3765    -2    -1    -2    -1     0        0  256135  2357452 
  664  1.25      42  222    88     3      664   3677    -2    -2    -4    -3     0       -1  256133  2357450 
  752  0.50       4  356    88     1      752   3589     0    -1    -3    -4     1        0  256134  2357449 
  860  0.75      59  121   108    -1      860   3481     1     1    -3    -3     0        0  256134  2357450 
  938  0.50      10  170    78     1      938   3403    -1     0    -3    -3    -1       -1  256134  2357450 
 1000  0.34      46  103    62     0     1000   3341     0     0    -4    -3     0       -1  256133  2357450 
 1034  0.25      66   66    96     1     1034   3307     0     1    -4    -2    -1       -1  256133  2357451 
 1083  0.50      33  147    49     0     1083   3258     0     0    -4    -2     0       -1  256133  2357451 
 1114  0.25      77  283    31     0     1114   3227     0     0    -4    -2     0       -1  256133  2357451 
 1145  1.00      18  342    31     0     1145   3196     0     0    -4    -2     0       -1  256133  2357451 
 1176  2.00      25  335    31     1     1176   3165     1     0    -3    -3     1        0  256134  2357450 
 1251  3.75      32  328    75     4     1251   3090     3    -2     1    -5     4        3  256138  2357448 
 1312  4.50      40  320    61     4     1312   3029     4    -3     4    -7     4        8  256141  2357446 
 1341  4.82      40  320    29     2     1341   3000     2    -2     6    -9     2       10  256143  2357444 
 1379  5.25      40  320    67     6     1378   2963     4    -4     8   -11     6       13  256145  2357442 
 1440  6.00      40  320    61     6     1439   2902     5    -4    13   -15     6       19  256150  2357438 
 1500  7.30      40  320    60     7     1499   2842     5    -4    18   -19     7       26  256155  2357434 
 1532  8.00      40  320    91    11     1530   2811     9    -7    22   -22    11       31  256159  2357431 
 1624 10.25      41  319    91    15     1621   2720    11    -9    33   -31    15       45  256170  2357422 
 1717 13.25      41  319    91    19     1712   2629    14   -12    47   -44    19       64  256184  2357409 
 1807 13.50      39  321    88    21     1800   2541    16   -13    63   -57    21       85  256200  2357396 
 1837 13.82      39  321    29     7     1829   2512     6    -4    68   -62     7       92  256205  2357391 
 1900 14.50      39  321    90    22     1890   2451    17   -14    80   -71    22      107  256217  2357382 
 1989 14.25      39  321    86    22     1976   2365    17   -14    98   -85    22      129  256235  2357368 
 2000 14.51      39  321    11     3     1987   2354     2    -2   100   -87     3      132  256237  2357366 
 2086 16.50      38  322    94    26     2070   2271    20   -16   118  -101    26      155  256255  2357352 
 2150 18.14      39  321    61    19     2131   2210    15   -12   133  -113    19      174  256270  2357340 
