      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  NAVY I 34A-9  
                         
Sec Az  110 S70E    
Elev   3955 KB      
CoordsNorth  257751 EAST              2362078 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00       0    0     0     0        0   3955     0     0     0     0     0      0  257751  2362078                                                                                                                   
  148  1.00      32   32   148     1      148   3807     1     0     1     0     0      0  257752  2362078                                                                                                                   
  256  1.75      14   14   108     3      256   3699     2     1     4     1     0      0  257755  2362079                                                                                                                   
  441  0.75      32   32   185     4      441   3514     4     2     7     3     0      0  257758  2362081                                                                                                                   
  652  1.25      86   86   211     4      652   3303     2     3     9     6     2      3  257760  2362084                                                                                                                   
  786  1.25      88   92   134     3      786   3169     0     3     9     9     3      5  257760  2362087                                                                                                                   
  939  1.50      46  134   153     4      939   3016    -1     3     8    12     4      9  257759  2362090                                                                                                                   
  955  1.50      49  131    16     0      955   3000     0     0     8    13     0      9  257759  2362091 
 1095  1.50      74  106   156     4     1095   2860    -2     4     6    16     4     13  257757  2362094                                                                                                                   
 1251  2.25      68  112   156     5     1251   2704    -2     5     4    21     5     18  257755  2362099                                                                                                                   
 1370  2.64      61  119   119     5     1370   2585    -2     5     2    25     5     23  257753  2362103 
 1402  2.75      59  121   151     7     1402   2553    -3     6     1    27     7     25  257752  2362105                                                                                                                   
 1426  2.68      61  119    24     1     1426   2529    -1     1     1    28     1     26  257752  2362106 
 1443  2.63      62  118    17     1     1442   2513     0     1     0    28     1     27  257751  2362106 
 1568  2.25      70  110   166     7     1567   2388    -3     7    -2    33     7     32  257749  2362111                                                                                                                   
 1717  2.25      70  110   149     6     1716   2239    -2     5    -4    39     6     38  257747  2362117                                                                                                                   
 1871  2.25      69  111   154     6     1870   2085    -2     6    -6    44     6     44  257745  2362122                                                                                                                   
 1923  2.36      76  104    52     2     1922   2033    -1     2    -7    46     2     46  257744  2362124 
 1956  2.43      80  100    33     1     1955   2000     0     1    -7    48     1     47  257744  2362126 
 1986  2.50      84   96   115     5     1985   1970    -1     5    -7    49     5     48  257744  2362127                                                                                                                   
 2052  2.50      84   96    66     3     2051   1904     0     3    -7    52     3     51  257744  2362130                                                                                                                   
 2255  2.25      53  127   203     8     2254   1701    -3     8   -11    60     8     60  257740  2362138                                                                                                                   
 2380  3.25      47  133   125     6     2379   1576    -4     5   -14    64     6     65  257737  2362142                                                        1576        2254  2255   -11    60    60  0.00 
 2415  3.70      47  133    35     2     2414   1541    -1     2   -16    66     2     67  257735  2362144 
 2438  4.00      47  133    58     4     2437   1518    -3     3   -17    67     3     69  257734  2362145                                                                                                                   
 2501  5.45      55  125    63     5     2499   1456    -3     4   -20    71     5     74  257731  2362149                                                                                                                   
 2564  7.00      70  110    63     7     2562   1393    -3     6   -23    77     7     80  257728  2362155                                                                                                                   
 2601  7.25      69  111    37     5     2599   1356    -2     4   -25    81     5     85  257726  2362159 
 2622  7.25      69  111    58     7     2620   1335    -3     7   -26    84     7     88  257725  2362162 
