      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  BLM 16A-20    
                         
Sec Az  295    N65W 
Elev   4416 KB      
CoordsNorth  246460 East              2355678 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00       0   81     0     0        0   4416     0     0     0     0     0      0  246460  2355678                                                                                                                   
  237  0.50      81   81   237     1      237   4179     0     1     0     1    -1     -1  246460  2355679                                                                                                                   
  416  0.33      33  264   179     1      416   4000    -1     0    -1     1    -1     -2  246459  2355679 
  500  0.25      10  350   263    -2      500   3916     1     1     2     2     0     -1  246462  2355680                                                                                                                   
  745  0.75      78  102   245     2      745   3671    -1    -2     0     0     1      0  246460  2355678                                                                                                                   
 1023  0.75      87   87   278     4     1023   3393     0     4     0     4    -3     -4  246460  2355682                                                                                                                   
 1263  0.75      69  111   240     3     1263   3153     0     3    -1     7    -3     -7  246459  2355685                                                                                                                   
 1416  0.95      41  196   153     2     1416   3000    -2     1    -3     8    -2     -9  246457  2355686 
 1451  1.00      35  215   188     3     1451   2965    -3     1    -3     8    -2     -9  246457  2355686                                                                                                                   
 1606  1.00      77   77   155     3     1606   2810    -2     2    -6    10    -2    -11  246454  2355688                                                                                                                   
 1758  1.25      38   38   152     3     1758   2658     2     3    -4    12    -2    -13  246456  2355690                                                                                                                   
 2101  1.25      59   59   343     7     2101   2315     5     6     1    18    -3    -16  246461  2355696                                                                                                                   
 2303  1.25      71   71   202     4     2303   2113     2     4     3    22    -3    -18  246463  2355700                                                                                                                   
 2376  1.25      54   54    73     2     2376   2040     1     1     3    23    -1    -19  246463  2355701                                                                                                                   
 2416  1.44      57   57    40     1     2416   2000     1     1     4    24     0    -20  246464  2355702 
 2582  2.25      67   67   206     6     2582   1834     3     5     7    29    -4    -23  246467  2355707                                                                                                                   
 2779  2.00      75   75   197     7     2778   1638     2     7     9    35    -5    -28  246469  2355713                                                                                                                   
 2975  2.00      90   90   196     7     2974   1442     1     7    10    42    -6    -34  246470  2355720                                                                                                                   
 3150  1.75      79   79   175     6     3149   1267     1     6    10    48    -5    -39  246470  2355726                                                                                                                   
 3247  2.00      49   49    97     3     3246   1170     1     3    12    51    -2    -41  246472  2355729                                                        1170        3149  3150    10    48   -39  0.00 
 3278  1.00      22   22    31     1     3277   1139     1     0    12    51     0    -41  246472  2355729                                                                                                                   
 3309  0.00       0    0    31     0     3308   1108     0     0    13    51     0    -41  246473  2355729                                                                                                                   
 3341  1.50      75  285    32     0     3340   1076     0     0    13    51     0    -41  246473  2355729                                                                                                                   
 3372  2.25      86  274    31     1     3371   1045     0    -1    13    50     1    -40  246473  2355728                                                                                                                   
 3403  3.25      89  271    31     1     3402   1014     0    -1    13    49     1    -38  246473  2355727                                                                                                                   
 3417  3.58      88  272    14     1     3416   1000     0    -1    13    48     1    -38  246473  2355726 
 3435  4.00      86  274    32     2     3434    982     0    -2    13    47     2    -37  246473  2355725                                                                                                                   
 3465  5.00      85  275    30     2     3464    952     0    -2    14    44     2    -34  246474  2355722                                                                                                                   
