      WELL DATA SUMMARY                                                                                   
            
Well  BLM 24A-20    
                         
Sec Az  167         
Elev   4049 KB      
Coords North 247472 East 2E+06        2356629 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM E-LAM    
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      44  224                        4049     0     0     0     0     0     0  247472  2356629 
   49  0.02      44  224    49     0       49   4000     0     0     0     0     0     0  247472  2356629 
  500  0.21      44  224   500     1      500   3549    -1    -1    -1    -1     0     0  247471  2356628 
  609  0.25      44  224   109     0      609   3440     0     0    -1    -1     0     1  247471  2356628 
  693  0.00       3  177    84     0      693   3356     0     0    -1    -1     0     1  247471  2356628 
  757  1.00      50  130    64     1      757   3292     0     0    -2    -1     1     1  247470  2356628 
  820  2.00      60  120    63     2      820   3229    -1     1    -3     1     1     3  247469  2356630 
  852  2.75      52  128    32     1      852   3197    -1     1    -3     2     1     4  247469  2356631 
  885  3.75      50  130    33     2      885   3164    -1     1    -4     3     1     5  247468  2356632 
  918  4.50      47  133    33     2      918   3131    -2     2    -6     5     2     7  247466  2356634 
 1000  6.72      45  135    82     8      999   3050    -6     6   -12    11     7    14  247460  2356640 
 1001  6.75      45  135     1     0     1000   3049     0     0   -12    11     0    14  247460  2356640 
 1050  6.75      44  136    49     6     1049   3000    -4     4   -16    15     5    19  247456  2356644 
 1107  6.75      43  137   105    12     1106   2943    -9     9   -21    19    11    25  247451  2356648 
 1195  6.25      45  135    87    10     1193   2856    -7     7   -28    26     9    33  247444  2356655 
 1299  7.00      46  134   103    12     1296   2753    -8     9   -36    35    10    43  247436  2356664 
 1391  7.00      45  135    91    11     1388   2661    -8     8   -44    43     9    53  247428  2356672 
 1488  6.75      51  129    96    12     1484   2565    -8     9   -52    52    10    62  247420  2356681 
 1500  6.72      51  129    12     1     1496   2553    -1     1   -53    53     1    63  247419  2356682 
 1576  6.50      51  129    75     9     1571   2478    -6     7   -58    59     7    70  247414  2356688 
 1678  6.00      47  133   101    11     1673   2376    -7     8   -66    68     9    79  247406  2356697 
 1869  5.50      42  138   190    19     1863   2186   -14    13   -79    81    16    95  247393  2356710 
 1963  5.00      38  142    94     9     1956   2093    -7     6   -86    87     8   103  247386  2356716 
 2000  5.00      39  141    37     3     1993   2056    -3     2   -88    89     3   106  247384  2356718 
 2052  5.00      40  140    52     5     2045   2004    -4     3   -92    92     4   110  247380  2356721 
 2056  4.99      40  140     4     0     2049   2000     0     0   -92    92     0   110  247380  2356721 
 2147  4.75      36  144    95     8     2140   1909    -6     5   -98    97     7   117  247374  2356726 
 2305  3.75      31  149   158    12     2297   1752   -10     6  -108   103    11   128  247364  2356732 
 2449  4.75      36  144   144    11     2441   1608    -9     6  -117   109    10   138  247355  2356738 
 2500  6.00      36  144    51     5     2492   1557    -4     3  -121   112     4   143  247351  2356741 
 2551  7.25      36  144    51     6     2542   1507    -5     3  -125   115     5   148  247347  2356744 
 2656  8.00      38  142   104    14     2646   1403   -11     8  -137   124    13   161  247335  2356753 
 2670  8.00      40  140    14     2     2660   1389    -2     1  -138   125     2   163  247334  2356754 
