Name,Northing,Easting,Elevation,Temp
1,247569,2356487,4049,0
2,247569,2356488,3742,0
3,247568,2356489,3566,0
4,247568,2356489,3549,0
5,247568,2356490,3479,0
6,247567,2356491,3356,0
7,247565,2356491,3212,0
8,247567,2356490,3049,0
9,247568,2356490,3000,0
10,247569,2356491,2895,0
11,247571,2356492,2769,0
12,247574,2356493,2614,0
13,247575,2356493,2549,0
14,247576,2356494,2519,0
15,247577,2356494,2468,0
16,247578,2356493,2436,0
17,247579,2356493,2372,0
18,247579,2356492,2340,0
19,247578,2356491,2276,0
20,247577,2356489,2213,0
21,247576,2356488,2172,0
22,247575,2356487,2141,0
23,247573,2356485,2109,0
24,247572,2356483,2079,0
25,247570,2356481,2050,0
26,247570,2356480,2047,0
27,247567,2356477,2000,0
28,247558,2356468,1901,0
29,247549,2356459,1817,0
30,247529,2356436,1629,0
31,247521,2356426,1559,0
32,247521,2356425,1555,0
33,247518,2356421,1529,0
34,247515,2356415,1499,0
35,247512,2356409,1468,0
36,247511,2356403,1438,0
37,247507,2356378,1318,0
38,247509,2356359,1232,0
39,247510,2356353,1202,0
40,247511,2356346,1172,0
41,247513,2356340,1141,0
42,247515,2356334,1110,0
43,247517,2356329,1080,0
44,247518,2356326,1066,0
45,247520,2356324,1049,0
46,247523,2356318,1019,0
47,247525,2356315,1000,0
48,247526,2356313,989,0
49,247530,2356308,958,0
50,247534,2356303,927,0
51,247547,2356291,838,0
52,247565,2356277,722,0
53,247584,2356261,597,0
54,247588,2356258,576,0
55,247603,2356244,474,0
56,247621,2356227,351,0
57,247639,2356209,227,0
58,247661,2356189,86,0
59,247675,2356178,0,0
60,247676,2356176,-11,0
61,247682,2356172,-42,0
62,247687,2356169,-73,0
63,247703,2356159,-171,0
64,247718,2356150,-261,0
65,247724,2356147,-291,0
66,247729,2356144,-323,0
67,247735,2356142,-354,0
68,247744,2356138,-404,0
69,247748,2356137,-425,0
70,247767,2356131,-518,0
71,247780,2356126,-579,0
72,247793,2356122,-642,0
73,247805,2356117,-703,0
74,247818,2356112,-766,0
75,247843,2356103,-890,0
76,247844,2356102,-893,0
77,247849,2356101,-917,0
78,247866,2356094,-1000,505
79,247868,2356093,-1014,0
80,247893,2356083,-1139,0
81,247918,2356073,-1259,0
82,247944,2356060,-1381,0
83,247971,2356045,-1507,0
84,247997,2356030,-1628,0
85,248018,2356018,-1723,0
86,248025,2356014,-1753,0
87,248029,2356011,-1774,0
88,248050,2355999,-1866,0
89,248056,2355995,-1897,0
90,248078,2355982,-2000,495
91,248086,2355977,-2036,0
92,248116,2355959,-2173,0
93,248149,2355938,-2324,0
94,248155,2355935,-2350,0
95,248181,2355917,-2476,0
96,248209,2355898,-2631,0
97,248221,2355889,-2704,0
98,248233,2355879,-2782,0
99,248241,2355872,-2839,0
100,248253,2355861,-2938,0
101,248259,2355854,-3000,530
102,248263,2355849,-3038,0
103,248274,2355831,-3174,0
104,248283,2355816,-3284,0
105,248286,2355809,-3333,0
106,248292,2355797,-3420,0
107,248301,2355776,-3563,0
