Name,Northing,Easting,Elevation,Temp
1,249062,2357107,4008,
2,249062,2357107,3879,
3,249062,2357108,3778,
4,249061,2357108,3666,
5,249059,2357109,3565,
6,249058,2357108,3508,
7,249054,2357105,3299,
8,249051,2357101,3143,
9,249047,2357096,3000,
10,249046,2357095,2962,
11,249042,2357089,2828,
12,249039,2357083,2703,
13,249035,2357077,2559,
14,249030,2357069,2403,
15,249025,2357060,2248,
16,249018,2357051,2092,
17,249014,2357045,2000,
18,249011,2357040,1937,
19,249005,2357028,1782,
20,248998,2357014,1627,
21,248995,2357008,1566,
22,248986,2356994,1402,
23,248979,2356983,1279,
24,248975,2356974,1185,
25,248973,2356971,1159,
26,248972,2356968,1129,
27,248970,2356965,1098,
28,248969,2356963,1068,
29,248968,2356961,1038,
30,248967,2356960,1006,
31,248967,2356959,1000,455
32,248966,2356959,975,
33,248966,2356958,944,
34,248964,2356957,842,
35,248964,2356957,862,
36,248963,2356957,784,
37,248962,2356956,691,
38,248961,2356954,567,
39,248961,2356952,475,
40,248962,2356950,386,
41,248962,2356947,292,
42,248962,2356944,200,
43,248961,2356939,76,
44,248960,2356937,0,480
45,248959,2356934,-80,
46,248958,2356930,-173,
47,248957,2356927,-234,
48,248956,2356926,-265,
49,248953,2356921,-387,
50,248951,2356918,-448,
51,248949,2356914,-541,
52,248947,2356910,-634,
53,248944,2356904,-729,
54,248942,2356898,-818,
55,248941,2356896,-849,
56,248940,2356892,-903,
57,248939,2356890,-933,
58,248939,2356887,-964,
59,248939,2356885,-996,
60,248939,2356885,-1000,483
61,248939,2356883,-1027,
62,248940,2356881,-1056,
63,248940,2356879,-1087,
64,248940,2356878,-1117,
65,248940,2356877,-1149,
66,248941,2356876,-1188,
67,248942,2356876,-1238,
68,248943,2356875,-1302,
69,248948,2356871,-1643,
70,248952,2356867,-1985,
71,248952,2356867,-2000,465
72,248956,2356862,-2492,
