      WELL DATA SUMMARY                                                                                   
            
Well  BLM 33-19     
                         
Sec Az   35         
Elev   4140 KB      
CoordsNorth  247844 East 2E+06        2352084 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM E-LAM    
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      41  139                        4140     0     0     0     0     0     0  247844  2352084 
  140  0.80      41  139   140     1      140   4000    -1     1    -1     1     0     0  247843  2352085 
  500  2.86      41  139   500    12      500   3640    -9     8    -9     8    -3    -3  247835  2352092 
  525  3.00      41  139    25     1      525   3615    -1     1   -10     9     0    -3  247834  2352093 
  648  3.25      53  127   123     7      648   3492    -5     5   -15    14    -1    -4  247829  2352098 
  713  3.00      61  119    65     4      713   3427    -2     3   -17    17     0    -4  247827  2352101 
  744  3.00      70  110    31     2      743   3397    -1     1   -18    18     0    -4  247826  2352102 
  775  3.00      76  104    31     2      774   3366     0     2   -18    20     1    -3  247826  2352104 
  807  2.50      78  102    32     2      806   3334     0     1   -18    21     1    -3  247826  2352105 
  837  2.50      87   93    30     1      836   3304     0     1   -19    23     1    -2  247825  2352107 
  867  2.50      77   77    30     1      866   3274     0     1   -18    24     1    -1  247826  2352108 
  898  2.50      58   58    31     1      897   3243     1     1   -18    25     1     0  247826  2352109 
  930  2.75      52   52    32     1      929   3211     1     1   -17    26     1     1  247827  2352110 
  961  3.00      50   50    31     2      960   3180     1     1   -16    28     1     3  247828  2352112 
  992  3.25      48   48    31     2      991   3149     1     1   -15    29     2     4  247829  2352113 
 1000  3.44      47   47     8     0      999   3141     0     0   -15    29     0     5  247829  2352113 
 1023  4.00      46   46    23     1     1022   3118     1     1   -14    30     1     6  247830  2352114 
 1054  4.75      43   43    31     2     1053   3087     2     2   -12    32     2     9  247832  2352116 
 1085  5.50      40   40    31     3     1084   3056     2     2   -10    34     3    11  247834  2352118 
 1116  6.00      42   42    31     3     1115   3025     2     2    -8    36     3    14  247836  2352120 
 1141  6.60      43   43    25     3     1140   3000     2     2    -6    38     3    17  247838  2352122 
 1147  6.75      43   43    31     3     1146   2994     3     2    -5    38     3    18  247839  2352122 
 1178  7.00      45   45    31     4     1176   2964     3     3    -2    41     4    22  247842  2352125 
 1225  8.00      47   47    47     6     1223   2917     4     4     2    45     6    28  247846  2352129 
 1256  8.25      42   42    31     4     1254   2886     3     3     5    48     4    32  247849  2352132 
 1287  8.75      41   41    31     5     1284   2856     3     3     8    51     5    36  247852  2352135 
 1360  9.25      38   38    72    11     1356   2784     9     7    17    59    11    48  247861  2352143 
 1422 10.75      40   40    61    11     1417   2723     8     7    26    65    11    59  247870  2352149 
 1489 11.25      39   39    66    13     1483   2657    10     8    36    74    13    71  247880  2352158 
 1500 11.22      39   39    11     2     1494   2646     2     1    37    75     2    73  247881  2352159 
 1590 11.00      39   39    88    17     1582   2558    13    11    51    86    17    91  247895  2352170 
 1675 11.50      39   39    83    17     1666   2474    13    10    64    96    17   107  247908  2352180 
 1775 11.50      40   40    98    20     1764   2376    15    13    79   109    20   127  247923  2352193 
 1871 11.75      40   40    94    19     1858   2282    15    12    94   121    19   146  247938  2352205 
