  																																								P	/rva111..aj111~a111..aj111~						Puts file in format to print
		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!										#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!								/ma111..ak200~a115~					C	{GOTO}a1~/fcceinsert1~
		WELL DATA SUMMARY																																							/ca11..aj12~a112~						{GOTO}r11~/fcceinsert3~
		 																																							/rva59..aj59~a59..aj59~						/wgc6~
	Well	33B-19																																							/ma59..ak200~a63~						/rff0~a13..aj200~
	 	 	 	 																																					/ca11..aj12~a60~						/rff~c13..c200~
	Sec Azim	 	 																																						/ppr~gp{esc}{esc}{esc}						{GOTO}C3~WELL DATA SUMMARY~
	Elev	4140	KB																																												{GOTO}Q1~/WCS9~/WCHAH1~
 	Coords:	North	247827				2351874																																								/PPOMR240~QQ
 					Course		 																																								{GOTO}A1~/wcs9~
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM																															{GOTO}D1~/wcs8~
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________																															{GOTO}H1~/wcs9~
 				 																																											{GOTO}P1~/wcs8~
 	0	0.00	337	337	0	0	0	4140	0	0	0	0	0	0	247827	2351874																															/wchi1~
	140	0.17	337	337	140	0	140	4000	0	0	0	0	0	0	247827	2351874																															
 	203	0.25	337	337	203	0	203	3937	0	0	0	0	0	0	247827	2351874																															/wchi1~
 	402	0.50	80	80	199	-1	402	3738	1	1	2	0	1	2	247829	2351874																															/wchi1~
 	509	1.50	70	70	107	2	509	3631	0	2	2	2	0	2	247829	2351876																															/wchi1~
 	587	1.50	39	39	78	2	587	3553	1	2	3	4	1	3	247830	2351878																															/wchi1~
	600	1.47	40	40	13	0	600	3540	0	0	3	4	0	3	247830	2351878																															
 	708	1.25	47	47	121	3	708	3432	2	2	5	6	2	5	247832	2351880																															/wchi1~
	800	1.25	22	22	92	2	800	3340	2	1	7	7	2	7	247834	2351881																															
 	828	1.25	15	15	120	3	828	3312	2	1	8	7	2	8	247835	2351881																															/wchi1~
 	954	1.00	19	19	126	2	954	3186	2	1	10	8	2	10	247837	2351882																															/wchi1~
 	1133	1.00	29	29	179	3	1133	3007	3	1	13	9	3	13	247840	2351883																															/wchi1~
	1140	1.03	30	30	7	0	1140	3000	0	0	13	9	0	13	247840	2351883																															
 	1265	1.50	56	56	132	3	1265	2875	2	2	15	11	2	15	247842	2351885																															/wchi1~
	1300	1.43	58	58	35	1	1300	2840	0	1	15	12	0	15	247842	2351886																															
 	1391	1.25	64	64	126	3	1391	2749	2	3	16	14	2	16	247843	2351888																															/wchi1~
 	1513	1.50	74	74	122	3	1513	2627	1	3	17	17	1	17	247844	2351891																															/wchi1~
 	1639	2.00	74	74	126	4	1639	2501	1	4	19	20	1	19	247846	2351894																															/wchi1~
	1700	1.88	75	75	61	2	1700	2440	1	2	19	22	1	19	247846	2351896																															
 	1764	1.75	76	76	125	4	1764	2376	1	4	20	24	1	20	247847	2351898																															/wchi1~
