      WELL DATA SUMMARY                                                                                        
            
Well  BLM 35A-20    
                         
Sec Az  100 S 80 E  
Elev   4048 KB      
CoordsNorth  246427 East       2357440  2357490 
                         Course                 
  MD  Drift Drift D. AzimLength   DH      TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_______________________________________________________________________________________________________________
                                                                                                               
    0  0.00      52  308     0       0        0   4048     0     0     0     0     0        0  246427  2357490 
   48  0.10      52  308    48       0       48   4000     0     0     0     0     0        0  246427  2357490 
  115  0.25      52  308   115       0      115   3933     0     0     0     0     0        0  246427  2357490 
  271  0.75      52  308   156       1      271   3777     1    -1     1    -1    -1       -1  246428  2357489 
  441  1.00      52  308   170       3      441   3607     2    -2     3    -3    -2       -4  246430  2357487 
  500  1.44      52  308    59       1      500   3548     1    -1     3    -4    -1       -5  246430  2357486 
  542  1.75      52  308   101       2      542   3506     1    -2     4    -5    -2       -6  246431  2357485 
  632  2.00      61  299    90       3      632   3416     2    -2     6    -8    -3       -9  246433  2357482 
  724  2.00      64  296    92       3      724   3324     1    -3     7   -11    -3      -12  246434  2357479 
  880  2.00      48  312   156       5      880   3168     3    -5    10   -15    -5      -17  246437  2357475 
 1000  2.20      51  309   120       4     1000   3048     3    -3    13   -18    -4      -20  246440  2357472 
 1031  2.25      52  308   151       6     1031   3017     4    -4    14   -19    -5      -21  246441  2357471 
 1048  2.33      52  308    17       1     1048   3000     0    -1    14   -20    -1      -22  246441  2357470 
 1188  3.00      51  309   157       7     1187   2861     4    -6    18   -25    -6      -28  246445  2357465 
 1344  2.75      47  313   156       8     1343   2705     5    -6    23   -31    -7      -34  246450  2357459 
 1500  3.34      56  304   156       8     1499   2549     5    -7    29   -37    -7      -42  246456  2357453 
 1543  3.50      59  301   199      11     1542   2506     7    -9    30   -40   -10      -44  246457  2357450 
 1575  3.00      53  307    32       2     1574   2474     1    -2    31   -41    -2      -46  246458  2357449 
 1606  2.50      40  320    31       1     1605   2443     1    -1    32   -42    -1      -47  246459  2357448 
 1636  1.75      34  326    30       1     1635   2413     1    -1    33   -43    -1      -48  246460  2357447 
 1668  1.25      30  330    32       1     1667   2381     1     0    34   -43    -1      -48  246461  2357447 
 1700  1.00      23  337    32       1     1699   2349     1     0    34   -44     0      -49  246461  2357446 
 1731  0.50      66  294    31       0     1730   2318     0     0    34   -44     0      -49  246461  2357446 
 1767  0.50      44   44    36       0     1766   2282     0     0    34   -44     0      -49  246461  2357446 
 1818  1.50      76   76    51       1     1817   2231     0     1    35   -43     1      -48  246462  2357447 
 1868  1.25      61   61    50       1     1867   2181     0     1    35   -42     1      -47  246462  2357448 
 1899  0.75      66   66    31       1     1898   2150     0     0    35   -41     0      -47  246462  2357449 
 1944  1.25      60   60    45       1     1943   2105     0     1    36   -41     1      -46  246463  2357449 
 1975  1.25      53   53    31       1     1974   2074     0     1    36   -40     0      -46  246463  2357450 
 2000  1.88      66   66    25       1     1999   2049     0     1    36   -40     1      -45  246463  2357450 
 2005  2.00      69   69    30       1     2004   2044     0     1    36   -39     1      -45  246463  2357451 
 2037  2.25      81   81    32       1     2036   2012     0     1    37   -38     1      -44  246464  2357452 
