NAME,NORTHING,EASTING,ELEVATION,TEMP
1,245973,2352383,4152,
2,245973,2352383,4000,
3,245973,2352383,3902,
4,245973,2352383,3652,
5,245973,2352383,3402,
6,245973,2352383,3177,
7,245973,2352383,3152,
8,245973,2352383,3000,142
9,245973,2352383,2902,
10,245973,2352383,2734,
11,245973,2352383,2652,
12,245973,2352383,2582,
13,245973,2352383,2402,
14,245973,2352383,2152,
15,245973,2352383,2000,212
16,245973,2352383,1902,
17,245973,2352383,1652,
18,245973,2352383,1402,
19,245973,2352383,1152,
20,245973,2352383,1000,273
21,245973,2352383,902,
22,245973,2352383,652,
23,245973,2352383,402,
24,245973,2352383,152,
25,245973,2352383,0,337
26,245973,2352383,-98,
27,245973,2352383,-187,
