Name,Northing,Easting,Elevation,Temp
1,246284,2352618,4180,
2,246283,2352617,4000,
3,246283,2352617,3975,
4,246282,2352616,3852,
5,246283,2352614,3729,
6,246283,2352613,3680,
7,246283,2352612,3619,
8,246282,2352611,3517,
9,246281,2352609,3394,
10,246281,2352605,3301,
11,246281,2352601,3180,
12,246281,2352601,3179,
13,246282,2352599,3056,
14,246282,2352598,3000,
15,246282,2352597,2931,
16,246281,2352596,2807
17,246280,2352597,2680
18,246280,2352597,2678
19,246281,2352598,2557
20,246281,2352600,2420
21,246280,2352600,2295
22,246280,2352599,2180
23,246280,2352599,2170
24,246280,2352597,2045
25,246280,2352597,2000
26,246281,2352596,1934
27,246283,2352596,1810
28,246283,2352597,1716
29,246283,2352597,1700
30,246283,2352596,1678
31,246283,2352596,1646
32,246284,2352596,1615,
33,246285,2352596,1584,
34,246297,2352600,1426,
35,246300,2352601,1394,
36,246312,2352606,1312,
37,246328,2352610,1223,
38,246337,2352613,1181,
39,246343,2352615,1150,
40,246349,2352617,1119,
41,246354,2352619,1088,
42,246364,2352624,1038,
43,246372,2352628,1000,280
44,246377,2352630,976,
45,246385,2352634,938,
46,246388,2352636,921,
47,246405,2352644,842,
48,246418,2352650,781,
49,246432,2352656,721,
50,246445,2352661,662,
51,246459,2352667,602,
52,246473,2352672,543,
53,246488,2352677,482,
54,246501,2352683,422,
55,246515,2352689,363,
56,246532,2352696,297,
57,246546,2352702,238,
58,246560,2352708,176,
59,246575,2352714,116,
60,246589,2352719,56,
61,246602,2352725,0,380
62,246617,2352733,-64,
63,246632,2352739,-125,
64,246646,2352745,-185
65,246661,2352751,-246
66,246676,2352757,-306
67,246690,2352763,-367
68,246705,2352769,-428
69,246720,2352775,-489
70,246734,2352781,-548
71,246747,2352786,-602
72,246761,2352792,-661
73,246775,2352798,-719
74,246797,2352808,-807
75,246819,2352817,-896
76,246841,2352827,-987
77,246845,2352828,-1000
78,246865,2352836,-1078
79,246888,2352846,-1167
80,246912,2352855,-1256,
81,246936,2352864,-1347,
82,246959,2352872,-1435,
83,246983,2352881,-1527,
84,247007,2352889,-1619,
85,247029,2352898,-1708,
86,247052,2352906,-1799,
87,247082,2352918,-1921,
88,247102,2352925,-2000,552
89,247115,2352931,-2055,
90,247142,2352942,-2166,
91,247163,2352951,-2254,
92,247164,2352951,-2256,
93,247196,2352966,-2388,
94,247223,2352978,-2501,
95,247252,2352991,-2623,
96,247282,2353004,-2746,
97,247344,2353031,-3000,540
98,247356,2353036,-3052,
99,247387,2353049,-3176,
100,247417,2353062,-3299,
101,247448,2353076,-3426,
102,247476,2353090,-3547,
103,247490,2353097,-3608,
104,247496,2353100,-3638,
105,247510,2353108,-3700,
106,247523,2353115,-3760,
107,247531,2353119,-3794,
108,247550,2353130,-3887,
109,247562,2353136,-3949,
110,247573,2353142,-4000,
111,247575,2353143,-4011,
112,247591,2353152,-4092,
113,247609,2353162,-4185,
114,247626,2353173,-4278,
115,247644,2353184,-4372,
116,247661,2353194,-4466,
117,247689,2353210,-4624,
118,247699,2353216,-4685,
119,247721,2353227,-4810,
120,247743,2353239,-4936,
121,247754,2353244,-5000,620
122,247758,2353247,-5029,
123,247768,2353252,-5088,
124,247785,2353260,-5195,
125,247789,2353262,-5213,
126,247810,2353273,-5341,
127,247830,2353283,-5463,
128,247839,2353288,-5522
129,247850,2353292,-5586
130,247862,2353297,-5648
131,247874,2353301,-5702
132,247889,2353307,-5764
133,247905,2353313,-5827
134,247949,2353330,-5980
135,247955,2353332,-6000
136,247974,2353338,-6065
137,248012,2353351,-6194
138,248048,2353362,-6316
139,248085,2353373,-6438
140,248125,2353386,-6565
141,248160,2353397,-6680
142,248196,2353411,-6807
143,248228,2353423,-6930
144,248245,2353428,-6994
145,248246,2353428,-7000
146,248276,2353439,-7115
147,248311,2353451,-7239
148,248344,2353465,-7356
149,248377,2353478,-7476
150,248412,2353491,-7601
151,248531,2353534,-8000
152,248541,2353538,-8034
153,248620,2353566,-8286
154,248688,2353591,-8498
