Name,Northing,Easting,Elevation,Temp
1,245522,2357635,4101,0
2,245523,2357636,3836,0
3,245524,2357636,3714,0
4,245524,2357637,3625,0
5,245525,2357638,3476,0
6,245526,2357640,3292,0
7,245528,2357641,3138,0
8,245528,2357642,3101,0
9,245527,2357642,3000,0
10,245529,2357641,2983,0
11,245532,2357641,2821,0
12,245535,2357640,2728,0
13,245537,2357640,2641,0
14,245538,2357640,2601,0
15,245541,2357639,2516,0
16,245543,2357639,2452,0
17,245547,2357637,2322,0
18,245550,2357637,2227,0
19,245553,2357637,2106,0
20,245556,2357637,2000,0
21,245559,2357637,1850,0
22,245561,2357637,1764,0
23,245563,2357635,1602,0
24,245564,2357635,1552,0
25,245562,2357641,1302,0
26,245561,2357643,1271,0
27,245560,2357645,1240,0
28,245558,2357650,1187,0
29,245554,2357659,1103,0
30,245549,2357674,1000,0
31,245544,2357690,909,0
32,245529,2357754,633,0
33,245528,2357759,614,0
34,245509,2357826,363,0
35,245488,2357889,132,0
36,245485,2357899,95,0
37,245477,2357923,11,0
38,245476,2357926,0,390
39,245474,2357931,-19,0
40,245458,2357974,-171,0
41,245440,2358022,-347,0
42,245429,2358047,-442,0
43,245397,2358120,-712,0
44,245383,2358150,-827,0
45,245370,2358175,-925,0
46,245363,2358191,-986,0
47,245362,2358194,-1000,430
48,245361,2358197,-1010,0
49,245353,2358219,-1093,0
50,245352,2358221,-1101,0
51,245345,2358240,-1165,0
52,245339,2358256,-1222,0
53,245329,2358282,-1306,0
54,245328,2358286,-1316,0
55,245312,2358329,-1453,0
56,245302,2358357,-1537,0
57,245295,2358378,-1604,0
58,245293,2358384,-1621,0
59,245285,2358405,-1684,0
60,245282,2358414,-1713,0
61,245276,2358432,-1767,0
62,245275,2358436,-1779,0
63,245266,2358459,-1855,0
64,245259,2358477,-1913,0
65,245253,2358494,-1972,0
66,245250,2358502,-2000,0
67,245247,2358511,-2030,0
68,245242,2358526,-2088,0
69,245237,2358543,-2148,0
70,245232,2358558,-2207,0
71,245229,2358567,-2241,0
72,245228,2358571,-2258,0
73,245224,2358584,-2314,0
74,245215,2358610,-2438,0
75,245206,2358641,-2616,0
76,245199,2358662,-2748,0
77,245187,2358701,-3000,403
78,245182,2358718,-3108,0
