      WELL DATA SUMMARY                                                                                      
            
Well  BLM 47A-20    
                         
Sec Az  230 S 50 W  
Elev   4102 KB      
CoordsNorth  245645 East              2357550 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      44  136                        4102     0     0     0     0     0        0  245645  2357550 
  102  0.64      44  136   102     1      102   4000     0     0     0     0     0        0  245645  2357550 
  120  0.75      44  136   120     1      120   3982    -1     1    -1     1     0        0  245644  2357551 
  234  1.00      38  142   114     2      234   3868    -1     1    -2     2     0        0  245643  2357552 
  344  1.00      50  130   110     2      344   3758    -1     1    -3     3     0        0  245642  2357553 
  466  1.75      78  102   122     3      466   3636    -1     3    -5     6    -1       -1  245640  2357556 
  500  2.11      82   98    34     1      500   3602     0     1    -5     7    -1       -2  245640  2357557 
  560  2.75      89   91    94     4      560   3542     0     4    -5     9    -3       -4  245640  2357559 
  654  2.75      84   84    94     5      654   3448     0     5    -5    14    -4       -8  245640  2357564 
  748  2.75      89   89    94     5      748   3354     0     5    -4    18    -4      -11  245641  2357568 
  811  2.75      80   80    63     3      811   3291     0     3    -4    21    -2      -14  245641  2357571 
  905  2.50      88   88    94     4      904   3198     0     4    -4    26    -4      -17  245641  2357576 
  998  2.00      77   77    93     4      997   3105     0     4    -3    29    -3      -20  245642  2357579 
 1000  2.00      77   77     2     0      999   3103     0     0    -3    29     0      -20  245642  2357579 
 1091  2.00      80   80    93     3     1090   3012     1     3    -3    32    -3      -23  245642  2357582 
 1103  2.00      81   81    12     0     1102   3000     0     0    -3    33     0      -24  245642  2357583 
 1187  2.00      89   89    96     3     1186   2916     0     3    -2    36    -3      -26  245643  2357586 
 1281  1.50      84   84    94     3     1280   2822     0     3    -2    39    -2      -28  245643  2357589 
 1376  0.50      29   29    95     2     1375   2727     1     1    -1    40    -2      -30  245644  2357590 
 1468  0.75      21   21    92     1     1467   2635     1     0     0    40    -1      -31  245645  2357590 
 1500  0.75      15   15    32     0     1499   2603     0     0     0    41     0      -31  245645  2357591 
 1563  0.75       4    4    95     1     1562   2540     1     0     1    41    -1      -32  245646  2357591 
 1658  1.25      17   17    95     2     1657   2445     2     0     3    41    -1      -33  245648  2357591 
 1751  0.75       5  355    93    -2     1750   2352     2     0     4    41    -1      -34  245649  2357591 
 1844  0.75       7  353    93     1     1843   2259     1     0     5    41    -1      -35  245650  2357591 
 1939  1.00      16  344    95     1     1938   2164     1     0     7    41    -1      -36  245652  2357591 
 2000  0.84      17  343    61     1     1999   2103     1     0     8    40     0      -36  245653  2357590 
 2033  0.75      17  343    94     1     2032   2070     1     0     8    40    -1      -36  245653  2357590 
 2103  1.11       8  352    70     1     2102   2000     1     0     9    40    -1      -37  245654  2357590 
 2129  1.25       4  356    96     2     2128   1974     2     0    10    40    -1      -37  245655  2357590 
 2222  0.50      43  317    93     1     2221   1881     1    -1    11    39     0      -37  245656  2357589 
 2315  0.75      89  269    93     1     2314   1788     0    -1    12    39     0      -37  245657  2357589 
 2425  1.25      58  238   110     2     2424   1678    -1    -2    11    37     2      -35  245656  2357587 
