Point,Northing,Easting,Elev_ft
1,245645,2357550,4102
2,245644,2357551,3982
3,245643,2357552,3868
4,245642,2357553,3758
5,245640,2357556,3636
6,245640,2357557,3602
7,245640,2357559,3542
8,245640,2357564,3448
9,245641,2357568,3354
10,245641,2357571,3291
11,245641,2357576,3198
12,245642,2357579,3105
13,245642,2357582,3012
14,245642,2357583,3000
15,245643,2357586,2916
16,245643,2357589,2822
17,245644,2357590,2727
18,245645,2357590,2635
19,245645,2357591,2603
20,245646,2357591,2540
21,245648,2357591,2445
22,245649,2357591,2352
23,245650,2357591,2255
24,245652,2357591,2164
25,245653,2357590,2103
26,245654,2357590,2000
27,245655,2357590,1974
28,245656,2357589,1881
29,245657,2357589,1788
30,245656,2357587,1678
31,245656,2357586,1653
32,245655,2357586,1590
33,245654,2357586,1430
34,245654,2357584,1303
35,245653,2357582,1176
36,245651,2357579,1050
37,245650,2357578,1000
38,245649,2357577,948
39,245645,2357572,790
40,245642,2357568,667
41,245638,2357565,539
42,245634,2357561,412
43,245631,2357558,348
44,245626,2357553,221
45,245622,2357548,98
46,245619,2357543,0
47,245618,2357542,-29
48,245612,2357536,-156
49,245608,2357529,-285
50,245602,2357520,-412
51,245601,2357518,-443
52,245597,2357513,-518
53,245597,2357513,-519
54,245590,2357502,-705
55,245580,2357488,-894
56,245573,2357479,-1000
57,245570,2357475,-1052
58,245551,2357459,-1292
59,245530,2357448,-1548
60,245526,2357447,-1590
