      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  BLM 52-20     
                         
Sec Az  225 S45W    
Elev   3909 KB      
CoordsNorth  249116 EAST              2358472 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00       1  179     0     0        0   3909     0     0     0     0     0      0  249116  2358472 
  143  1.00       1  179   143     1      143   3766    -1     0    -1     0     1      1  249115  2358472 
  283  1.50     180  180   140     3      283   3626    -3     0    -4     0     2      3  249112  2358472 
  493  3.00      39  219   210     8      493   3416    -8    -3   -12    -3     7     10  249104  2358469 
  581  4.00      51  231    88     5      581   3328    -4    -4   -16    -7     5     16  249100  2358465 
  675  5.00      49  229    94     7      674   3235    -5    -6   -21   -12     7     23  249095  2358460 
  766  5.75      50  230    91     9      765   3144    -6    -6   -26   -19     8     32  249090  2358453 
  829  5.75      51  231    63     6      828   3081    -4    -5   -30   -24     6     38  249086  2358448 
  891  5.75      54  234    62     6      889   3020    -4    -5   -34   -28     6     44  249082  2358444 
  911  5.75      54  234    20     2      909   3000    -1    -2   -35   -30     2     46  249081  2358442 
  984  5.75      56  236    93     9      982   2927    -5    -8   -39   -36     9     53  249077  2358436 
 1172  5.50      51  231   187    18     1169   2740   -11   -15   -50   -51    18     72  249066  2358421 
 1261  5.75      49  229    89     9     1258   2651    -6    -7   -56   -58     9     80  249060  2358414 
 1350  5.25      46  226    89     9     1346   2563    -6    -6   -62   -64     9     89  249054  2358408 
 1447  5.25      47  227    97     9     1443   2466    -6    -6   -68   -70     9     98  249048  2358402 
 1633  5.00      45  225   185    17     1628   2281   -12   -12   -79   -82    17    114  249037  2358390 
 1724  5.00      44  224    91     8     1719   2190    -6    -6   -85   -88     8    122  249031  2358384 
 1818  4.75      44  224    94     8     1812   2097    -6    -6   -91   -93     8    130  249025  2358379 
 1911  4.00      54  234    93     7     1905   2004    -5    -5   -95   -99     7    137  249021  2358373 
 1915  4.01      54  234     4     0     1909   2000     0     0   -95   -99     0    137  249021  2358373 
 2004  4.25      59  239    93     7     1998   1911    -4    -6   -99  -104     7    144  249017  2358368 
 2100  4.25      44  224    96     7     2093   1816    -4    -6  -103  -110     7    151  249013  2358362 
 2163  4.75      52  232    63     5     2156   1753    -3    -4  -107  -114     5    156  249009  2358358 
 2286  4.50      54  234   123    10     2279   1630    -6    -8  -113  -121    10    166  249003  2358351 
 2381  5.00      49  229    95     8     2374   1535    -5    -6  -118  -128     8    173  248998  2358344 
 2474  4.75      46  226    93     8     2466   1443    -5    -6  -123  -133     8    181  248993  2358339 
 2610  5.25      47  227   135    12     2602   1307    -8    -9  -131  -142    12    193  248985  2358330 
 2672  6.00      49  229    62     6     2663   1246    -4    -5  -135  -147     6    199  248981  2358325 
 2734  6.50      56  236    62     7     2725   1184    -4    -5  -139  -152     7    206  248977  2358320 
 2790  7.75      52  232    56     7     2781   1128    -4    -6  -143  -158     7    213  248973  2358314 
 2799  7.88      54  234     9     1     2790   1119    -1    -1  -144  -158     1    214  248972  2358314 
