Point,Northing,Easting,Elev_ft,Elev_m
1,249116,2358472,3909,1191.4632
2,249115,2358472,3766,1147.8768
3,249112,2358472,3626,1105.2048
4,249104,2358469,3416,1041.1968
5,249100,2358465,3328,1014.3744
6,249095,2358460,3235,986.028
7,249090,2358453,3144,958.2912
8,249086,2358448,3081,939.0888
9,249082,2358444,3020,920.496
10,249081,2358442,3000,914.4
11,249077,2358436,2927,892.1496
12,249066,2358421,2740,835.152
13,249060,2358414,2651,808.0248
14,249054,2358408,2563,781.2024
15,249048,2358402,2466,751.6368
16,249037,2358390,2281,695.2488
17,249031,2358384,2190,667.512
18,249025,2358379,2097,639.1656
19,249021,2358373,2004,610.8192
20,249017,2358368,1911,582.4728
21,249013,2358362,1816,553.5168
22,249009,2358358,1753,534.3144
23,249003,2358351,1630,496.824
24,248998,2358344,1535,467.868
25,248993,2358339,1443,439.8264
26,248985,2358330,1307,398.3736
27,248981,2358325,1246,379.7808
28,248977,2358320,1184,360.8832
29,248973,2358314,1128,343.8144
30,248972,2358314,1119,341.0712
31,248970,2358310,1095,333.756
32,248968,2358307,1064,324.3072
33,248965,2358303,1033,314.8584
34,248962,2358299,1003,305.7144
35,248962,2358298,1000,304.8
36,248955,2358291,944,287.7312
37,248951,2358287,914,278.5872
38,248925,2358258,761,231.9528
39,248907,2358237,672,204.8256
40,248886,2358213,585,178.308
41,248866,2358190,512,156.0576
42,248820,2358134,341,103.9368
43,248797,2358107,257,78.3336
44,248781,2358088,201,61.2648
45,248756,2358059,115,35.052
46,248738,2358037,52,15.8496
47,248729,2358027,23,7.0104
48,248723,2358020,0,0
49,248722,2358019,-3,-0.9144
50,248716,2358012,-23,-7.0104
51,248705,2358001,-60,-18.288
52,248672,2357970,-166,-50.5968
53,248667,2357965,-181,-55.1688
54,248644,2357946,-252,-76.8096
55,248616,2357922,-339,-103.3272
56,248588,2357896,-425,-129.54
57,248560,2357871,-510,-155.448
58,248532,2357846,-594,-181.0512
59,248503,2357819,-679,-206.9592
60,248472,2357792,-767,-233.7816
61,248445,2357770,-846,-257.8608
62,248414,2357745,-938,-285.9024
63,248395,2357727,-1000,-304.8
64,248389,2357722,-1020,-310.896
65,248361,2357697,-1111,-338.6328
66,248335,2357673,-1199,-365.4552
67,248308,2357650,-1285,-391.668
68,248293,2357638,-1329,-405.0792
69,248280,2357627,-1371,-417.8808
70,248251,2357603,-1457,-444.0936
71,248224,2357580,-1540,-469.392
72,248197,2357558,-1627,-495.9096
73,248182,2357546,-1676,-510.8448
74,248176,2357541,-1696,-516.9408
75,248150,2357521,-1783,-543.4584
76,248142,2357515,-1812,-552.2976
77,248116,2357494,-1903,-580.0344
78,248092,2357474,-1993,-607.4664
79,248090,2357472,-2000,-609.6
80,248069,2357453,-2084,-635.2032
81,248047,2357433,-2176,-663.2448
82,248027,2357414,-2268,-691.2864
83,248007,2357396,-2361,-719.6328
84,247988,2357379,-2451,-747.0648
85,247973,2357367,-2515,-766.572
86,247967,2357362,-2545,-775.716
87,247947,2357345,-2638,-804.0624
88,247928,2357329,-2728,-831.4944
89,247907,2357313,-2821,-859.8408
90,247891,2357299,-2897,-883.0056
91,247874,2357286,-2971,-905.5608
92,247868,2357280,-3000,-914.4
93,247855,2357269,-3061,-932.9928
94,247836,2357254,-3155,-961.644
95,247818,2357239,-3249,-990.2952
96,247801,2357225,-3343,-1018.9464
97,247785,2357213,-3438,-1047.9024
98,247778,2357207,-3482,-1061.3136
99,247721,2357159,-4000,-1219.2
100,247716,2357154,-4086,-1245.4128
101,247707,2357147,-4246,-1294.1808
