      WELL DATA SUMMARY                                                                                      
            
Well  BLM 68A-20RD  
                         
Sec Az  155 S 25 E  
Elev   4046 KB      
CoordsNorth  245212 East              2358822 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM   E-LAM  
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      60   60     0     0        0   4046     0     0     0     0     0        0  245212  2358822 
   46  0.16      60   60    46     0       46   4000     0     0     0     0     0        0  245212  2358822 
  141  0.50      60   60   141     1      141   3905     0     1     0     1     0        0  245212  2358823 
  272  0.50      60   60   131     1      272   3774     1     1     1     2     0        0  245213  2358824 
  455  0.75      60   60   183     2      455   3591     1     2     2     3     0        0  245214  2358825 
  500  0.67      60   60    45     1      500   3546     0     0     2     4     0        0  245214  2358826 
  588  0.50      60   60   133     1      588   3458     1     1     3     5     0        0  245215  2358827 
  746  0.75      25   25   158     2      746   3300     1     1     4     6    -1       -1  245216  2358828 
  896  0.50      23   23   150     2      896   3150     1     1     5     6    -1       -2  245217  2358828 
 1000  0.29      56   56   104     1     1000   3046     1     0     6     7     0       -2  245218  2358829 
 1018  0.25      62   62   122     1     1018   3028     1     1     6     7     0       -2  245218  2358829 
 1046  0.33      59   59    28     0     1046   3000     0     0     6     7     0       -3  245218  2358829 
 1110  0.50      52   52    92     1     1110   2936     0     1     6     7     0       -3  245218  2358829 
 1270  0.25      40  220   160     1     1270   2776    -1     1     6     8     1       -2  245218  2358830 
 1358  0.75      28  152    88     1     1358   2688    -1     0     5     8     1       -1  245217  2358830 
 1500  0.75      14  189   142     2     1500   2546    -2     0     3     8     2        1  245215  2358830 
 1514  0.75      13  193   156     2     1514   2532    -2     0     3     8     2        1  245215  2358830 
 1637  0.75       4  176   123     2     1637   2409    -2     0     1     8     1        2  245213  2358830 
 1761  1.00      36  154   124     2     1761   2285    -2     0    -1     9     2        4  245211  2358831 
 1857  0.50      11  191    96     1     1857   2189    -1     0    -2     9     1        5  245210  2358831 
 1969  1.75      22  202   112     2     1969   2077    -2    -1    -4     8     2        7  245208  2358830 
 2000  1.25      20  200    31     1     2000   2046    -1     0    -5     8     1        8  245207  2358830 
 2030  0.75      14  194    30     1     2030   2016    -1     0    -5     8     0        8  245207  2358830 
 2046  0.49      35  215    16     0     2046   2000     0     0    -5     8     0        8  245207  2358830 
 2061  0.25      55  235    31     0     2061   1985     0     0    -6     8     0        8  245206  2358830 
 2091  0.50      68   68    30     0     2091   1955     0     0    -6     8     0        8  245206  2358830 
 2123  1.00      68   68    32     0     2123   1923     0     0    -6     8     0        8  245206  2358830 
 2216  2.00      52   52    93     2     2216   1830     1     2    -4    10     0        8  245208  2358832 
 2248  2.25      50   50    32     1     2248   1798     1     1    -4    11     0        8  245208  2358833 
 2279  2.75      47   47    31     1     2279   1767     1     1    -3    12     0        8  245209  2358834 
 2307  3.25      47   47    28     1     2307   1739     1     1    -2    13     0        7  245210  2358835 
 2338  3.75      43   43    31     2     2338   1708     1     1     0    15    -1        6  245212  2358837 
 2370  4.50      40   40    32     2     2370   1676     2     2     1    16    -1        6  245213  2358838 
