Point,NORTHING,EASTING,Elev_ft,Elev_m
1,245212,2358822,4046,1233
2,245212,2358822,4000,1219
3,245212,2358823,3905,1190
4,245213,2358824,3774,1150
5,245214,2358825,3591,1095
6,245214,2358826,3546,1081
7,245215,2358827,3458,1054
8,245216,2358828,3300,1006
9,245217,2358828,3150,960
10,245218,2358829,3046,928
11,245218,2358829,3028,923
12,245218,2358829,3000,914
13,245218,2358829,2936,895
14,245218,2358830,2776,846
15,245217,2358830,2688,819
16,245215,2358830,2546,776
17,245215,2358830,2532,772
18,245213,2358830,2409,734
19,245211,2358831,2285,696
20,245210,2358831,2189,667
21,245208,2358830,2077,633
22,245207,2358830,2046,624
23,245207,2358830,2016,614
24,245207,2358830,2000,610
25,245206,2358830,1985,605
26,245206,2358830,1955,596
27,245206,2358830,1923,586
28,245208,2358832,1830,558
29,245208,2358833,1798,548
30,245209,2358834,1767,539
31,245210,2358835,1739,530
32,245212,2358837,1708,521
33,245213,2358838,1676,511
34,245215,2358840,1646,502
35,245222,2358846,1558,475
36,245223,2358847,1547,472
37,245228,2358851,1492,455
38,245232,2358854,1453,443
39,245235,2358858,1395,425
40,245238,2358862,1338,408
41,245239,2358867,1276,389
42,245239,2358870,1243,379
43,245239,2358876,1180,360
44,245238,2358882,1118,341
45,245237,2358885,1086,331
46,245235,2358889,1050,320
47,245233,2358891,1025,312
48,245232,2358893,1000,305
49,245229,2358897,960,293
50,245226,2358899,930,283
51,245219,2358904,871,265
52,245219,2358904,869,265
53,245207,2358910,785,239
54,245195,2358916,709,216
55,245188,2358920,664,202
56,245181,2358922,630,192
57,245166,2358927,556,169
58,245162,2358928,537,164
59,245142,2358934,444,135
60,245122,2358938,353,108
61,245103,2358942,263,80
62,245089,2358945,201,61
63,245069,2358950,110,34
64,245059,2358951,68,21
65,245059,2358951,65,20
66,245044,2358953,0,0
67,245040,2358954,-17,-5
68,245018,2358956,-117,-36
69,245005,2358958,-177,-54
70,244999,2358959,-208,-63
71,244982,2358963,-296,-90
72,244965,2358968,-388,-118
73,244959,2358970,-421,-128
74,244948,2358973,-478,-146
75,244929,2358978,-569,-173
76,244910,2358983,-660,-201
77,244891,2358988,-752,-229
78,244885,2358990,-782,-238
79,244865,2358996,-877,-267
80,244858,2358998,-910,-277
81,244845,2359002,-969,-295
82,244839,2359004,-1000,-305
83,244827,2359008,-1055,-322
84,244810,2359014,-1137,-347
85,244807,2359015,-1151,-351
86,244788,2359022,-1243,-379
87,244768,2359028,-1334,-407
88,244753,2359032,-1398,-426
89,244747,2359034,-1426,-435
90,244732,2359039,-1495,-456
91,244727,2359040,-1517,-462
92,244708,2359046,-1605,-489
93,244687,2359053,-1702,-519
94,244669,2359059,-1789,-545
95,244648,2359067,-1885,-575
96,244636,2359071,-1945,-593
97,244624,2359075,-2000,-610
98,244617,2359078,-2032,-619
99,244608,2359081,-2075,-632
100,244604,2359083,-2095,-639
101,244599,2359085,-2119,-646
102,244573,2359095,-2246,-685
103,244546,2359106,-2373,-723
104,244541,2359108,-2399,-731
105,244519,2359119,-2511,-765
106,244488,2359133,-2665,-812
107,244459,2359146,-2812,-857
108,244449,2359151,-2861,-872
109,244447,2359152,-2872,-875
