      WELL DATA SUMMARY                                                                                      
            
Well  BLM 72B-19    
                         
Sec Az  235         
Elev   4170 KB      
CoordsNorth  248887 East              2354505 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0  216                        4170     0     0     0     0     0        0  248887  2354505 
  158  1.03      25  216   158     1      158   4012    -1    -1    -1    -1     1        1  248886  2354504 
  170  1.11      27  216    12     0      170   4000     0     0    -1    -1     0        2  248886  2354504 
  230  1.50      36  216   230     3      230   3940    -2    -2    -2    -2     3        3  248885  2354503 
  461  3.25      49  229   231    10      461   3709    -7    -6    -9    -8     9       12  248878  2354497 
  531  3.00      64  244    70     4      531   3639    -2    -3   -12   -11     4       16  248875  2354494 
  625  2.75      59  239    94     5      625   3545    -2    -4   -14   -16     5       21  248873  2354489 
  719  3.00      84  264    94     5      718   3452    -1    -4   -15   -20     5       25  248872  2354485 
  813  2.50      85  265    94     5      812   3358     0    -4   -16   -25     4       29  248871  2354480 
  912  3.00      74  254    99     5      911   3259    -1    -5   -17   -29     4       33  248870  2354476 
  999  3.00      85  265    87     5      998   3172    -1    -4   -17   -34     4       38  248870  2354471 
 1095  3.00      80  260    96     5     1094   3076    -1    -5   -18   -39     4       42  248869  2354466 
 1159  3.26      79  259    64     3     1158   3012    -1    -3   -19   -42     3       45  248868  2354463 
 1171  3.31      79  259    12     1     1170   3000     0    -1   -19   -43     1       46  248868  2354462 
 1217  3.50      79  259   122     7     1216   2954    -1    -7   -19   -45     6       48  248868  2354460 
 1347  4.25      83  263   130     9     1345   2825    -1    -9   -21   -54     8       56  248866  2354451 
 1478  4.50      89  269   131    10     1476   2694    -1   -10   -21   -64     9       65  248866  2354441 
 1529  4.75      84  264    51     4     1527   2643     0    -4   -22   -68     4       68  248865  2354437 
 1559  5.25      90  270    30     3     1557   2613     0    -3   -22   -71     2       71  248865  2354434 
 1590  5.00      81  261    31     3     1588   2582     0    -3   -22   -74     2       73  248865  2354431 
 1620  4.25      84  264    30     2     1618   2552     0    -2   -22   -76     2       75  248865  2354429 
 1652  4.00      80  260    32     2     1650   2520     0    -2   -23   -78     2       77  248864  2354427 
 1683  4.00      80  260    31     2     1680   2490     0    -2   -23   -80     2       79  248864  2354425 
 1714  3.25      81  261    31     2     1711   2459     0    -2   -23   -82     2       81  248864  2354423 
 1745  2.75      71  251    31     2     1742   2428     0    -2   -24   -84     2       82  248863  2354421 
 1777  2.00      71  251    32     1     1774   2396     0    -1   -24   -85     1       84  248863  2354420 
 1807  1.00      69  249    30     1     1804   2366     0    -1   -24   -86     1       84  248863  2354419 
 1870  0.75      70  110    63     1     1867   2303    -1     0   -25   -86     1       85  248862  2354419 
 1994  0.75      26  154   124     2     1991   2179    -1     1   -27   -85     0       85  248860  2354420 
 2117  1.00      28  208   123     2     2114   2056    -2     0   -28   -85     1       86  248859  2354420 
 2161  0.82      24  192    44     1     2158   2012    -1     0   -29   -85     1       86  248858  2354420 
 2173  0.77      23  188    12     0     2170   2000     0     0   -29   -85     0       86  248858  2354420 
