Point,Northing,Easting,Elev_ft
1,254048,2354593,4207
2,254049,2354592,4000
3,254051,2354591,3740
4,254052,2354590,3707
5,254053,2354590,3624
6,254055,2354590,3500
7,254057,2354589,3374
8,254060,2354588,3249
9,254061,2354588,3207
10,254064,2354588,3126
11,254067,2354586,3002
12,254068,2354583,2847
13,254068,2354582,2722
14,254067,2354580,2600
15,254066,2354579,2506
16,254065,2354576,2383
17,254063,2354572,2228
18,254063,2354571,2207
19,254063,2354565,2074
20,254064,2354562,2000
21,254064,2354561,1971
22,254066,2354556,1897
23,254065,2354555,1864
24,254067,2354551,1833
25,254068,2354549,1801
26,254070,2354544,1770
27,254074,2354531,1675
28,254076,2354526,1645
29,254078,2354520,1611
30,254081,2354509,1547
31,254090,2354485,1426
32,254095,2354471,1364
33,254124,2354402,1090
34,254136,2354378,1000
35,254175,2354300,646
36,254183,2354284,620
