Point,NORTHING,EASTING,Elev_ft,Elev_m
1,247402,2354499,4150,1265
2,247402,2354499,4010,1222
3,247403,2354499,4000,1219
4,247403,2354499,3997,1218
5,247403,2354498,3960,1207
6,247404,2354497,3814,1163
7,247406,2354496,3650,1113
8,247407,2354495,3577,1090
9,247408,2354494,3503,1068
10,247408,2354494,3441,1049
11,247409,2354493,3378,1030
12,247409,2354493,3316,1011
13,247410,2354493,3254,992
14,247410,2354493,3190,972
15,247411,2354492,3158,963
16,247411,2354492,3150,960
17,247411,2354492,3127,953
18,247412,2354491,3095,943
19,247413,2354490,3064,934
20,247413,2354488,3033,924
21,247415,2354487,3002,915
22,247415,2354487,3000,914
23,247419,2354481,2913,888
24,247422,2354476,2851,869
25,247426,2354472,2788,850
26,247434,2354464,2665,812
27,247434,2354463,2652,808
28,247441,2354456,2540,774
29,247447,2354449,2419,737
30,247452,2354444,2325,709
31,247453,2354443,2294,699
32,247456,2354439,2231,680
33,247459,2354436,2167,661
34,247460,2354435,2153,656
35,247461,2354435,2135,651
36,247464,2354431,2068,630
37,247467,2354426,2000,610
38,247468,2354425,1978,603
39,247471,2354417,1884,574
40,247475,2354406,1759,536
41,247478,2354395,1655,504
42,247479,2354394,1640,500
43,247482,2354384,1546,471
44,247487,2354370,1424,434
45,247492,2354352,1269,387
46,247492,2354348,1237,377
47,247492,2354344,1205,367
48,247491,2354339,1159,353
49,247491,2354337,1142,348
50,247486,2354325,1051,320
51,247483,2354318,1000,305
52,247481,2354313,959,292
53,247477,2354305,897,273
54,247470,2354291,802,244
55,247464,2354277,711,217
56,247461,2354268,665,203
57,247457,2354260,620,189
58,247449,2354241,528,161
59,247440,2354222,437,133
60,247430,2354200,348,106
61,247421,2354183,280,85
62,247417,2354176,250,76
63,247405,2354158,180,55
64,247403,2354154,166,51
65,247393,2354139,107,33
66,247376,2354112,0,0
67,247374,2354108,-12,-4
68,247361,2354086,-101,-31
69,247347,2354064,-192,-59
70,247334,2354043,-280,-85
71,247331,2354038,-299,-91
72,247325,2354028,-340,-104
73,247313,2354006,-430,-131
74,247300,2353983,-515,-157
75,247290,2353968,-573,-175
76,247275,2353944,-663,-202
77,247261,2353921,-751,-229
78,247256,2353914,-778,-237
79,247245,2353899,-839,-256
80,247230,2353877,-930,-283
81,247218,2353860,-1000,-305
82,247209,2353848,-1051,-320
83,247194,2353827,-1140,-347
84,247179,2353806,-1230,-375
85,247174,2353799,-1257,-383
86,247163,2353784,-1319,-402
87,247147,2353762,-1407,-429
88,247130,2353739,-1496,-456
89,247110,2353711,-1605,-489
90,247092,2353687,-1695,-517
91,247085,2353677,-1734,-529
92,247058,2353641,-1876,-572
93,247043,2353620,-1961,-598
94,247036,2353609,-2000,-610
95,247026,2353596,-2049,-625
96,246992,2353548,-2208,-673
97,246981,2353532,-2256,-688
98,246939,2353477,-2430,-741
99,246903,2353434,-2576,-785
100,246879,2353405,-2674,-815
101,246868,2353392,-2720,-829
102,246833,2353350,-2868,-874
103,246802,2353313,-3000,-914
104,246799,2353308,-3016,-919
105,246769,2353272,-3143,-958
106,246734,2353231,-3285,-1001
107,246701,2353190,-3432,-1046
108,246676,2353156,-3570,-1088
109,246668,2353146,-3616,-1102
110,246656,2353130,-3691,-1125
111,246617,2353074,-4000,-1219
112,246617,2353074,-4006,-1221
113,246615,2353070,-4028,-1228
