Point,NORTHING,EASTING,Elev_ft,Elev_m
1,245409,2360723,3889,1185
2,245410,2360724,3680,1122
3,245412,2360725,3528,1075
4,245412,2360726,3435,1047
5,245411,2360727,3389,1033
6,245411,2360728,3307,1008
7,245410,2360730,3190,972
8,245409,2360731,3078,938
9,245408,2360732,3000,914
10,245408,2360732,2981,909
11,245408,2360733,2889,881
12,245408,2360734,2849,868
13,245407,2360735,2731,832
14,245409,2360736,2598,792
15,245410,2360735,2471,753
16,245411,2360734,2389,728
17,245411,2360733,2348,716
18,245411,2360732,2231,680
19,245410,2360731,2121,646
20,245409,2360731,2005,611
21,245409,2360731,2000,610
22,245407,2360732,1889,576
23,245407,2360732,1880,573
24,245406,2360733,1783,543
25,245405,2360735,1649,503
26,245404,2360736,1503,458
27,245404,2360736,1489,454
28,245403,2360737,1464,446
29,245403,2360736,1432,436
30,245402,2360735,1402,427
31,245401,2360734,1371,418
32,245400,2360732,1340,408
33,245398,2360730,1309,399
34,245396,2360728,1279,390
35,245394,2360725,1248,380
36,245391,2360722,1217,371
37,245388,2360719,1186,361
38,245384,2360715,1156,352
39,245380,2360711,1124,343
40,245371,2360702,1061,323
41,245363,2360693,1000,305
42,245358,2360689,970,296
43,245344,2360674,881,269
44,245328,2360658,790,241
45,245312,2360642,702,214
46,245295,2360625,614,187
47,245288,2360619,584,178
48,245276,2360607,525,160
49,245265,2360599,480,146
50,245251,2360586,422,129
51,245244,2360579,393,120
52,245237,2360571,364,111
53,245230,2360564,337,103
54,245213,2360545,273,83
55,245182,2360510,163,50
56,245157,2360483,78,24
57,245133,2360458,0,0
58,245131,2360455,-9,-3
59,245105,2360427,-93,-28
60,245081,2360399,-177,-54
61,245056,2360371,-262,-80
62,245032,2360345,-346,-105
63,245007,2360317,-431,-131
64,244976,2360282,-544,-166
65,244944,2360248,-656,-200
66,244942,2360246,-662,-202
67,244920,2360223,-741,-226
68,244888,2360190,-854,-260
69,244854,2360157,-969,-295
70,244845,2360148,-1000,-305
71,244829,2360132,-1056,-322
72,244797,2360099,-1171,-357
73,244765,2360068,-1286,-392
74,244734,2360038,-1403,-428
75,244719,2360023,-1461,-445
76,244676,2359980,-1632,-497
77,244649,2359952,-1747,-532
78,244623,2359923,-1861,-567
79,244596,2359893,-1974,-602
80,244590,2359886,-2000,-610
81,244567,2359861,-2091,-637
82,244539,2359831,-2196,-669
83,244507,2359796,-2313,-705
84,244474,2359760,-2426,-739
85,244441,2359722,-2540,-774
86,244406,2359683,-2657,-810
87,244373,2359646,-2770,-844
88,244331,2359598,-2917,-889
89,244308,2359572,-3000,-914
90,244299,2359562,-3033,-924
91,244274,2359533,-3132,-955
92,244268,2359526,-3155,-962
93,244230,2359482,-3317,-1011
94,244179,2359424,-3554,-1083
95,244140,2359379,-3767,-1148
96,244093,2359324,-4069,-1240
97,244072,2359300,-4208,-1283
