      WELL DATA SUMMARY                                                                                   
            
Well  NAVY I 16A-8  
                         
Sec Az  157 S 45 E  
Elev   4389 KB      
CoordsNorth  256652 East              2355430 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM E-LAM    
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      18  198                        4389     0     0     0     0     0     0  256652  2355430 
  144  0.25      18  198   144     0      144   4245     0     0     0     0     0     0  256652  2355430 
  291  0.50      18  198   147     1      291   4098    -1     0    -1     0     1     1  256651  2355430 
  389  0.50      18  198    98     1      389   4000    -1     0    -2    -1     1     2  256650  2355429 
  443  0.50      18  198   152     1      443   3946    -1     0    -2    -1     1     2  256650  2355429 
  500  0.83      18  198    57     1      500   3889    -1     0    -3    -1     0     2  256649  2355429 
  530  1.00      18  198    30     0      530   3859     0     0    -4    -1     0     3  256648  2355429 
  565  1.31      18  198    35     1      565   3824    -1     0    -4    -1     1     3  256648  2355429 
  614  1.75      18  198    49     1      614   3775    -1     0    -5    -2     1     4  256647  2355428 
  644  1.75       3  177    30     1      644   3745    -1     0    -6    -2     1     5  256646  2355428 
  674  2.00      16  164    30     1      674   3715    -1     0    -7    -2     1     6  256645  2355428 
  706  2.25      28  152    32     1      706   3683    -1     0    -8    -1     1     7  256644  2355429 
  737  2.50      41  139    31     1      737   3652    -1     1   -10    -1     1     9  256642  2355429 
  767  3.00      45  135    30     1      767   3622    -1     1   -11     0     1    10  256641  2355430 
  800  3.50      42  138    33     2      800   3589    -1     1   -12     2     2    12  256640  2355432 
  832  4.00      41  139    32     2      832   3557    -2     1   -13     3     2    14  256639  2355433 
  864  4.50      43  137    32     2      864   3525    -2     2   -15     5     2    16  256637  2355435 
  895  5.25      42  138    31     3      895   3494    -2     2   -17     6     2    18  256635  2355436 
  935  6.00      42  138    40     4      934   3455    -3     3   -20     9     4    22  256632  2355439 
  956  6.50      41  139    21     2      955   3434    -2     2   -22    11     2    24  256630  2355441 
  988  7.00      46  134    32     4      987   3402    -3     3   -25    13     4    28  256627  2355443 
 1000  7.28      48  132    12     1      999   3390    -1     1   -26    14     1    29  256626  2355444 
 1020  7.75      51  129    20     3     1019   3370    -2     2   -27    16     2    31  256625  2355446 
 1050  8.25      53  127    30     4     1048   3341    -3     3   -30    20     4    35  256622  2355450 
 1081  8.75      53  127    31     5     1079   3310    -3     4   -33    23     4    39  256619  2355453 
 1113  9.25      51  129    32     5     1111   3278    -3     4   -36    27     4    43  256616  2355457 
 1194 10.25      54  126    80    14     1191   3198    -8    11   -44    38    12    55  256608  2355468 
 1225 10.25      51  129    31     6     1221   3168    -3     4   -47    42     5    60  256605  2355472 
 1351 11.00      51  129   124    23     1345   3044   -15    18   -62    60    21    81  256590  2355490 
 1396 10.46      51  129    44     8     1389   3000    -5     6   -67    67     7    88  256585  2355497 
 1475  9.50      50  130   122    22     1467   2922   -14    17   -76    77    20   100  256576  2355507 
 1500  9.55      51  129    25     4     1492   2897    -3     3   -79    81     4   104  256573  2355511 
 1599  9.75      53  127    98    17     1589   2800   -10    13   -89    94    15   118  256563  2355524 
