      WELL DATA SUMMARY                                                                                   
            
Well  NAVY I  24-8  
                         
Sec Az  265         
Elev   4294 KB      
CoordsNorth  257933 East              2356206 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec N-LAMB    E-LAMB 
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      66  114                        4294     0     0     0     0     0        257933  2356206 
  294  0.81      66  114   294     2      294   4000    -1     2    -1     2    -2    -2  257932  2356208 
  361  1.00      66  114   361     3      361   3933    -1     3    -1     3    -3    -3  257932  2356209 
  437  0.75      66  114    76     1      437   3857     0     1    -2     4    -1    -4  257931  2356210 
  500  0.94      66  114    63     1      500   3794     0     1    -2     5    -1    -5  257931  2356211 
  519  1.00      66  114    19     0      519   3775     0     0    -2     5     0    -5  257931  2356211 
  550  0.50      21  161    31     0      550   3744     0     0    -3     5     0    -5  257930  2356211 
  582  0.75      32  212    32     0      582   3712     0     0    -3     5     0    -5  257930  2356211 
  613  1.25      69  249    31     1      613   3681     0     0    -3     5     0    -5  257930  2356211 
  645  2.00      69  249    32     1      645   3649     0    -1    -4     4     1    -4  257929  2356210 
  707  4.00      74  254    62     3      707   3587    -1    -3    -5     1     3    -1  257928  2356207 
  738  5.00      77  257    31     2      738   3556    -1    -2    -5    -1     2     2  257928  2356205 
  770  5.75      85  265    32     3      770   3524     0    -3    -6    -4     3     5  257927  2356202 
  800  6.50      86  266    30     3      799   3495     0    -3    -6    -8     3     8  257927  2356198 
  834  7.00      86  266    34     4      833   3461     0    -4    -6   -12     4    12  257927  2356194 
  865  7.75      86  266    31     4      864   3430     0    -4    -6   -15     4    16  257927  2356191 
  896  8.25      86  266    31     4      895   3399     0    -4    -7   -20     4    20  257926  2356186 
  926  8.75      86  266    30     4      924   3370     0    -4    -7   -24     4    25  257926  2356182 
  957  9.25      86  266    31     5      955   3339     0    -5    -7   -29     5    30  257926  2356177 
  988 10.00      90  270    31     5      986   3308     0    -5    -8   -34     5    35  257925  2356172 
 1000 10.28      90  270    12     2      997   3297     0    -2    -8   -36     2    37  257925  2356170 
 1020 10.75      89  269    20     4     1017   3277     0    -4    -8   -40     4    41  257925  2356166 
 1052 11.00      86  266    31     6     1048   3246     0    -6    -8   -46     6    47  257925  2356160 
 1084 11.50      87  267    31     6     1080   3214     0    -6    -8   -52     6    53  257925  2356154 
 1115 12.00      86  266    30     6     1110   3184     0    -6    -9   -59     6    59  257924  2356147 
 1146 12.50      86  266    30     7     1140   3154     0    -7    -9   -65     7    66  257924  2356141 
 1177 12.75      84  264    30     7     1171   3123    -1    -7   -10   -72     7    72  257923  2356134 
 1209 13.25      83  263    31     7     1202   3092    -1    -7   -11   -79     7    80  257922  2356127 
 1241 13.75      84  264    31     7     1233   3061    -1    -7   -11   -86     7    87  257922  2356120 
 1271 14.25      86  266    29     7     1262   3032    -1    -7   -12   -94     7    94  257921  2356112 
 1301 14.75      86  266    29     8     1291   3003    -1    -7   -13  -101     8   102  257920  2356105 
 1304 14.77      86  266     3     1     1294   3000     0    -1   -13  -102     1   103  257920  2356104 
