Point,Northing,Easting,Elevation
1,258644,2351584,4215
2,258644,2351585,3921
3,258644,2351586,3815
4,258644,2351587,3715
5,258644,2351588,3548
6,258643,2351590,3415
7,258643,2351591,3337
8,258642,2351591,3315
9,258641,2351592,3215
10,258640,2351592,3115
11,258639,2351591,3023
12,258638,2351591,3000
13,258637,2351591,2831
14,258637,2351592,2715
15,258636,2351593,2615
16,258636,2351594,2525
17,258636,2351596,2415
18,258636,2351599,2315
19,258637,2351601,2246
20,258637,2351602,2215
21,258638,2351604,2115
22,258641,2351607,2015
23,258643,2351609,1915
24,258645,2351611,1815
25,258648,2351614,1715
26,258650,2351617,1616
27,258652,2351620,1516
28,258654,2351623,1416
29,258656,2351626,1316
30,258657,2351628,1251
31,258658,2351629,1216
32,258659,2351630,1162
33,258661,2351630,1116
34,258661,2351631,1091
35,258662,2351631,1067
36,258663,2351631,1000
37,258663,2351632,916
38,258664,2351631,875
39,258665,2351630,781
40,258666,2351629,716
41,258667,2351628,686
42,258669,2351627,616
43,258670,2351627,589
44,258672,2351627,516
45,258673,2351627,475
46,258674,2351626,416
47,258675,2351622,349
48,258673,2351621,316
49,258669,2351617,216
50,258664,2351613,117
51,258659,2351609,0
52,258656,2351607,-53
53,258654,2351606,-83
54,258650,2351601,-183
55,258648,2351599,-228
56,258645,2351596,-283
57,258640,2351591,-377
58,258640,2351590,-382
59,258634,2351585,-482
60,258631,2351582,-531
61,258628,2351579,-582
62,258626,2351575,-626
63,258623,2351569,-681
64,258620,2351563,-721
65,258617,2351553,-780
66,258615,2351548,-805
67,258613,2351543,-829
68,258610,2351534,-877
69,258602,2351518,-970
70,258602,2351517,-976
71,258600,2351512,-1000
72,258595,2351502,-1061
73,258594,2351500,-1074
74,258593,2351498,-1090
75,258592,2351497,-1093
76,258590,2351491,-1124
77,258588,2351481,-1172
78,258588,2351478,-1186
79,258587,2351472,-1217
80,258586,2351465,-1247
81,258586,2351461,-1270
82,258584,2351452,-1317
83,258584,2351452,-1319
84,258583,2351448,-1344
85,258583,2351443,-1368
86,258583,2351442,-1374
87,258583,2351441,-1382
88,258581,2351430,-1444
89,258580,2351426,-1467
90,258579,2351424,-1479
91,258578,2351420,-1505
92,258575,2351409,-1565
93,258574,2351403,-1599
94,258571,2351391,-1661
95,258571,2351391,-1663
96,258571,2351380,-1723
97,258571,2351373,-1762
98,258571,2351371,-1774
99,258572,2351369,-1786
100,258574,2351358,-1846
101,258574,2351356,-1860
102,258575,2351352,-1882
103,258580,2351340,-1946
104,258582,2351338,-1958
105,258583,2351334,-1976
106,258586,2351330,-2000
107,258586,2351329,-2007
108,258593,2351321,-2056
109,258595,2351319,-2069
110,258606,2351310,-2129
111,258610,2351306,-2154
112,258618,2351302,-2191
113,258632,2351296,-2251
114,258632,2351296,-2252
115,258654,2351288,-2343
116,258655,2351288,-2348
117,258679,2351282,-2432
118,258682,2351281,-2444
119,258706,2351275,-2520
120,258713,2351273,-2539
121,258736,2351267,-2604
122,258746,2351265,-2632
123,258771,2351258,-2697
124,258782,2351255,-2725
125,258805,2351250,-2783
126,258819,2351246,-2818
127,258839,2351241,-2867
128,258856,2351236,-2910
129,258872,2351232,-2950
130,258893,2351227,-3000
131,258894,2351227,-3002
132,258899,2351225,-3014
133,258931,2351217,-3094
134,258932,2351217,-3096
135,258944,2351214,-3125
136,258965,2351209,-3179
137,258968,2351209,-3187
138,258987,2351204,-3233
139,259005,2351200,-3280
140,259028,2351196,-3336
141,259044,2351193,-3371
142,259078,2351187,-3450
143,259083,2351186,-3463
144,259123,2351178,-3554
145,259143,2351174,-3600
146,259163,2351170,-3646
147,259192,2351165,-3712
148,259203,2351163,-3737
149,259242,2351156,-3829
150,259250,2351155,-3846
151,259262,2351152,-3876
152,259281,2351150,-3921
153,259310,2351146,-4000
154,259311,2351146,-4003
155,259315,2351146,-4015
156,259333,2351144,-4068
157,259343,2351143,-4098
158,259347,2351143,-4109
159,259379,2351139,-4204
160,259383,2351139,-4219
161,259402,2351137,-4280
162,259408,2351136,-4300
163,259435,2351134,-4396
164,259455,2351132,-4469
165,259461,2351132,-4493
166,259471,2351131,-4527
167,259501,2351130,-4627
168,259576,2351125,-4851
169,259629,2351119,-5000
170,259785,2351099,-5449
171,259805,2351097,-5505
