Name,Northing,Easting,Elevation,Temp
1,257861,2362018,3955,0
2,257861,2362018,3781,0
3,257861,2362017,3644,0
4,257862,2362016,3522,0
5,257862,2362015,3455,0
6,257863,2362014,3385,0
7,257864,2362011,3230,0
8,257866,2362009,3073,0
9,257866,2362008,3000,0
10,257867,2362008,2955,0
11,257867,2362008,2916,0
12,257868,2362007,2760,0
13,257868,2362006,2666,0
14,257868,2362005,2602,0
15,257867,2362004,2455,0
16,257867,2362004,2445,0
17,257865,2362001,2289,0
18,257865,2362001,2258,0
19,257862,2362000,2100,0
20,257860,2362000,2006,0
21,257860,2362000,2000,0
22,257859,2361999,1955,0
23,257857,2361999,1852,0
24,257857,2361999,1849,0
25,257854,2362000,1697,0
26,257853,2361999,1610,0
27,257849,2362000,1474,0
28,257849,2362000,1455,0
29,257844,2362002,1321,0
30,257843,2362002,1286,0
31,257839,2362005,1195,0
32,257837,2362007,1134,0
33,257832,2362010,1012,0
34,257832,2362010,1000,0
35,257830,2362011,956,0
36,257829,2362012,918,0
37,257826,2362014,853,0
38,257821,2362016,728,0
39,257816,2362016,635,0
40,257812,2362016,543,0
41,257809,2362017,456,0
42,257807,2362017,417,0
43,257804,2362018,295,0
44,257797,2362020,56,0
45,257795,2362019,0,446
46,257794,2362019,-43,0
47,257793,2362020,-69,0
48,257789,2362021,-225,0
49,257787,2362023,-393,0
50,257785,2362025,-521,0
51,257785,2362025,-543,0
52,257783,2362026,-648,0
53,257782,2362028,-775,0
54,257778,2362031,-1000,450
55,257777,2362031,-1043,0
56,257777,2362031,-1090,0
57,257776,2362033,-1260,0
58,257777,2362033,-1418,0
59,257777,2362032,-1543,0
60,257777,2362032,-1557,0
61,257775,2362031,-1727,0
62,257773,2362030,-1872,0
63,257773,2362027,-1997,0
64,257773,2362027,-2000,0
65,257771,2362027,-2043,0
66,257774,2362029,-2150,0
67,257777,2362031,-2309,0
68,257783,2362032,-2478,0
69,257786,2362032,-2543,0
70,257789,2362031,-2620,0
71,257797,2362029,-2831,0
72,257802,2362027,-3000,497
73,257802,2362027,-3007,0
74,257804,2362026,-3043,0
75,257806,2362025,-3115,0
76,257811,2362024,-3259,0
77,257814,2362024,-3389,0
78,257815,2362024,-3409,0
