Point,Northing,Easting,Elev_ft
1,256094,2362122,3857
2,256096,2362121,3654
3,256099,2362120,3529
4,256101,2362121,3367
5,256103,2362124,3217
6,256106,2362127,3057
7,256106,2362129,3000
8,256106,2362132,2898
9,256107,2362134,2822
10,256107,2362135,2785
11,256106,2362139,2627
12,256106,2362140,2504
13,256107,2362141,2440
14,256107,2362143,2315
15,256105,2362143,2188
16,256105,2362144,2000
17,256103,2362143,1933
18,256105,2362143,1805
19,256106,2362144,1685
20,256106,2362145,1679
21,256105,2362147,1519
22,256104,2362146,1370
23,256105,2362145,1267
24,256104,2362144,1196
25,256102,2362146,1046
26,256103,2362147,1000
27,256101,2362149,858
28,256096,2362149,669
29,256091,2362154,500
30,256087,2362158,395
31,256086,2362158,382
32,256082,2362162,254
33,256076,2362165,28
34,256075,2362164,0
35,256075,2362161,-89
36,256075,2362156,-202
37,256072,2362153,-294
38,256071,2362153,-319
39,256069,2362152,-382
40,256068,2362151,-446
41,256069,2362150,-511
42,256070,2362148,-575
43,256074,2362146,-638
44,256079,2362145,-702
45,256089,2362146,-792
46,256093,2362147,-828
47,256097,2362148,-860
48,256106,2362149,-922
49,256119,2362151,-993
50,256121,2362152,-1000
51,256141,2362155,-1101
52,256173,2362161,-1259
53,256203,2362166,-1416
54,256215,2362168,-1479
55,256236,2362171,-1594
56,256247,2362172,-1657
57,256259,2362174,-1717
58,256272,2362176,-1786
59,256279,2362177,-1818
60,256291,2362179,-1879
61,256297,2362181,-1911
62,256302,2362183,-1943
63,256308,2362185,-1975
64,256312,2362186,-2000
65,256313,2362187,-2006
66,256317,2362189,-2032
67,256336,2362199,-2157
68,256346,2362204,-2223
69,256356,2362209,-2285
70,256371,2362217,-2380
71,256390,2362227,-2503
72,256405,2362234,-2590
73,256416,2362240,-2658
74,256439,2362252,-2782
75,256462,2362264,-2908
76,256479,2362273,-3000
77,256491,2362279,-3063
78,256513,2362290,-3182
79,256537,2362303,-3307
80,256561,2362317,-3431
81,256572,2362323,-3486
82,256577,2362326,-3510
83,256595,2362335,-3592
84,256614,2362345,-3679
85,256640,2362358,-3801
86,256669,2362371,-3926
87,256685,2362379,-4000
88,256776,2362422,-4403
89,256883,2362481,-4871
90,256914,2362498,-5000
91,256993,2362544,-5335
92,257065,2362586,-5639
