WELL DATA SUMMARY  										
Well  38B-9										
										
Sec Az  260										
										
Elev   3856 KB										
										
CoordsNorth  256045 EAST  2362157										
										
MD	Drift	Drift	D.Azim	TVD	SSD	N-S	E-W	Sec	N-LAM	E-LAM
										
0	0.00	0	24	0	3856	0	0	0	256045	2362157
143	1.00	24	24	143	3713	1	1	-1	256046	2362158
348	0.75	98	98	348	3508	3	3	-4	256048	2362160
542	0.50	95	95	542	3314	2	5	-6	256047	2362162
760	1.75	142	142	760	3096	0	9	-9	256045	2362166
856	1.75	142	142	856	3000	-2	11	-10	256043	2362168
946	1.75	142	142	946	2910	-4	13	-12	256041	2362170
1197	1.75	141	141	1197	2659	-10	17	-15	256035	2362174
1400	1.75	121	121	1400	2456	-14	22	-19	256031	2362179
1620	1.75	183	183	1620	2236	-20	25	-21	256025	2362182
1838	1.15	163	163	1837	2019	-26	26	-21	256019	2362183
1857	1.10	161	161	1856	2000	-26	26	-21	256019	2362183
1892	1.00	158	158	1891	1965	-27	26	-21	256018	2362183
2052	0.75	160	160	2051	1805	-29	27	-22	256016	2362184
2082	0.91	169	169	2081	1775	-29	27	-22	256016	2362184
2105	1.04	176	176	2104	1752	-30	27	-22	256015	2362184
2234	1.75	214	214	2233	1623	-33	27	-21	256012	2362184
2395	2.00	213	213	2394	1462	-37	26	-19	256008	2362183
2465	2.17	215	215	2464	1392	-39	24	-17	256006	2362181
2712	2.75	220	220	2711	1145	-48	18	-9	255997	2362175
2856	2.75	236	236	2855	1001	-52	13	-4	255993	2362170
3057	2.75	258	258	3056	800	-56	4	6	255989	2362161
3218	2.00	230	230	3217	639	-59	-2	12	255986	2362155
3394	2.00	215	215	3392	464	-64	-6	17	255981	2362151
3491	2.00	206	206	3489	367	-67	-8	19	255978	2362149
3858	1.05	221	221	3856	0	-75	-13	26	255970	2362144
3876	1.00	222	222	3874	-18	-73	-14	27	255972	2362143
4063	1.75	206	206	4061	-205	-77	-17	30	255968	2362140
4317	2.25	198	198	4315	-459	-85	-20	34	255960	2362137
4601	3.00	199	199	4599	-743	-98	-24	41	255947	2362133
4859	3.36	191	191	4856	-1000	-112	-28	47	255933	2362129
4959	3.50	188	188	4956	-1100	-117	-29	49	255928	2362128
5295	3.00	184	184	5292	-1436	-136	-31	54	255909	2362126
5455	3.00	162	162	5451	-1595	-145	-30	54	255900	2362127
5530	3.75	194	194	5526	-1670	-149	-30	55	255896	2362127
5562	4.00	209	209	5558	-1702	-151	-30	56	255894	2362127
5594	4.25	229	229	5590	-1734	-153	-32	58	255892	2362125
5658	4.00	259	259	5654	-1798	-155	-36	62	255890	2362121
5690	4.75	252	252	5686	-1830	-156	-38	65	255889	2362119
5754	5.75	274	274	5750	-1894	-156	-44	71	255889	2362113
5843	5.75	281	281	5838	-1982	-155	-53	79	255890	2362104
5861	5.89	279	279	5856	-2000	-155	-55	81	255890	2362102
5907	6.25	274	274	5902	-2046	-154	-60	86	255891	2362097
5971	6.00	281	281	5965	-2109	-153	-66	92	255892	2362091
6029	6.25	274	274	6023	-2167	-153	-73	98	255892	2362084
6096	6.50	284	284	6090	-2234	-151	-80	105	255894	2362077
6159	6.75	286	286	6152	-2296	-150	-87	112	255895	2362070
6193	7.50	284	284	6186	-2330	-148	-91	115	255897	2362066
6228	8.00	282	282	6221	-2365	-147	-96	120	255898	2362061
6257	8.75	282	282	6249	-2393	-146	-100	124	255899	2362057
6289	9.00	278	278	6281	-2425	-146	-105	128	255899	2362052
6350	9.75	268	268	6341	-2485	-145	-115	138	255900	2362042
6443	10.75	264	264	6433	-2577	-146	-131	154	255899	2362026
6506	11.25	265	265	6495	-2639	-147	-143	166	255898	2362014
6570	12.00	264	264	6557	-2701	-149	-156	179	255896	2362001
6636	13.25	264	264	6622	-2766	-150	-170	194	255895	2361987
6700	13.75	264	264	6684	-2828	-152	-185	209	255893	2361972
6763	13.75	265	265	6745	-2889	-153	-200	224	255892	2361957
6825	13.00	264	264	6805	-2949	-155	-214	238	255890	2361943
6877	13.95	263	263	6856	-3000	-156	-226	250	255889	2361931
6880	14.00	263	263	6859	-3003	-156	-227	251	255889	2361930
6941	14.50	265	265	6918	-3062	-158	-242	266	255887	2361915
7002	14.25	265	265	6977	-3121	-159	-257	281	255886	2361900
7063	14.75	266	266	7036	-3180	-160	-272	296	255885	2361885
7157	15.75	269	269	7127	-3271	-161	-297	320	255884	2361860
7220	15.25	268	268	7188	-3332	-162	-314	337	255883	2361843
7377	15.75	270	270	7339	-3483	-162	-356	379	255883	2361801
7416	15.56	270	270	7376	-3520	-162	-366	389	255883	2361791
7531	15.00	271	271	7487	-3631	-162	-397	419	255883	2361760
7692	14.25	267	267	7643	-3787	-163	-437	459	255882	2361720
7910	14.25	269	269	7854	-3998	-165	-491	512	255880	2361666
7912	14.24	269	269	7856	-4000	-165	-491	512	255880	2361666
8212	13.00	287	287	8148	-4292	-155	-561	580	255890	2361596
8332	13.25	280	280	8265	-4409	-148	-588	605	255897	2361569
8524	12.75	261	261	8452	-4596	-148	-631	647	255897	2361526
8645	12.00	281	281	8570	-4714	-147	-657	673	255898	2361500
8650	12.01	281	281	8575	-4719	-147	-658	673	255898	2361499
8938	12.48	257	257	8856	-5000	-149	-719	734	255896	2361438
8950	12.50	256	256	8868	-5012	-149	-722	737	255896	2361435
9005	12.50	256	256	8922	-5066	-152	-733	748	255893	2361424
