Point,Northing,Easting,Elev_ft
1,256195,2362121,3856
2,256193,2362122,3639
3,256191,2362123,3449
4,256186,2362125,3255
5,256181,2362127,3136
6,256177,2362129,3041
7,256175,2362129,3000
8,256171,2362131,2881
9,256165,2362133,2723
10,256156,2362134,2500
11,256142,2362131,2262
12,256130,2362127,2055
13,256127,2362126,2000
14,256121,2362124,1894
15,256119,2362123,1862
16,256114,2362122,1787
17,256108,2362120,1691
18,256106,2362119,1660
19,256102,2362118,1598
20,256100,2362117,1568
21,256097,2362113,1472
22,256096,2362112,1442
23,256095,2362111,1409
24,256095,2362109,1366
25,256097,2362107,1313
26,256100,2362107,1250
27,256102,2362108,1188
28,256104,2362109,1156
29,256105,2362111,1123
30,256107,2362112,1091
31,256110,2362115,1044
32,256114,2362117,1000
33,256119,2362119,950
34,256122,2362120,918
35,256129,2362123,854
36,256138,2362127,758
37,256145,2362132,677
38,256153,2362137,587
39,256168,2362143,464
40,256180,2362145,370
41,256191,2362144,275
42,256198,2362143,215
43,256208,2362139,110
44,256213,2362137,64
45,256215,2362136,44
46,256220,2362134,0
47,256225,2362131,-45
48,256229,2362128,-74
49,256236,2362122,-143
50,256250,2362111,-270
51,256266,2362098,-410
52,256269,2362095,-441
53,256277,2362085,-537
54,256283,2362072,-630
55,256286,2362055,-724
56,256289,2362038,-816
57,256292,2362019,-908
58,256295,2361998,-1000
59,256300,2361972,-1110
60,256304,2361955,-1177
61,256305,2361948,-1202
62,256313,2361917,-1323
63,256320,2361885,-1445
64,256329,2361842,-1597
65,256334,2361807,-1720
66,256339,2361771,-1842
67,256343,2361746,-1933
68,256347,2361728,-2000
69,256348,2361723,-2022
70,256357,2361685,-2175
71,256365,2361649,-2324
72,256378,2361597,-2539
73,256391,2361551,-2721
74,256393,2361544,-2747
75,256404,2361507,-2892
76,256405,2361505,-2901
77,256411,2361484,-2981
78,256412,2361479,-3000
79,256415,2361469,-3041
80,256427,2361427,-3203
81,256443,2361373,-3415
82,256457,2361321,-3621
83,256471,2361276,-3817
84,256472,2361270,-3840
85,256480,2361243,-3962
86,256482,2361235,-4000
87,256489,2361205,-4120
88,256502,2361162,-4304
89,256511,2361136,-4419
90,256527,2361088,-4630
91,256528,2361086,-4641
92,256542,2361047,-4822
93,256558,2361011,-5000
94,256560,2361005,-5033
95,256570,2360983,-5150
96,256605,2360904,-5585
