Point,Northing,Easting,Elev_ft
1,256195,2362121,3856
2,256193,2362122,3639
3,256191,2362123,3449
4,256186,2362125,3255
5,256181,2362127,3136
6,256177,2362129,3041
7,256175,2362129,3000
8,256171,2362131,2881
9,256165,2362133,2723
10,256156,2362134,2500
11,256142,2362131,2262
12,256130,2362127,2055
13,256127,2362126,2000
14,256121,2362124,1894
15,256119,2362123,1862
16,256114,2362122,1787
17,256108,2362120,1691
18,256106,2362119,1660
19,256102,2362118,1598
20,256100,2362117,1568
21,256097,2362113,1472
22,256096,2362112,1442
23,256095,2362111,1409
24,256095,2362109,1366
25,256097,2362107,1313
26,256100,2362107,1250
27,256102,2362108,1188
28,256104,2362109,1156
29,256105,2362111,1123
30,256107,2362112,1091
31,256110,2362115,1044
32,256114,2362117,1000
33,256119,2362119,950
34,256122,2362120,918
35,256129,2362123,854
36,256138,2362127,758
37,256145,2362132,677
38,256153,2362137,587
39,256168,2362143,464
40,256180,2362145,370
41,256191,2362144,275
42,256198,2362143,215
43,256208,2362139,110
44,256213,2362137,64
45,256215,2362136,44
46,256220,2362134,0
47,256225,2362131,-45
48,256229,2362128,-74
49,256236,2362122,-143
50,256250,2362111,-270
51,256266,2362098,-410
52,256269,2362095,-441
53,256277,2362085,-537
54,256283,2362072,-630
55,256286,2362055,-724
56,256289,2362038,-816
57,256292,2362019,-908
58,256295,2361998,-1000
59,256300,2361972,-1110
60,256304,2361955,-1177
61,256305,2361948,-1202
62,256313,2361917,-1323
63,256320,2361885,-1445
64,256329,2361842,-1597
65,256334,2361807,-1720
66,256339,2361771,-1842
67,256343,2361746,-1933
68,256346,2361733,-1983
69,256346,2361728,-2000
70,256344,2361715,-2050
71,256341,2361698,-2114
72,256336,2361671,-2201
73,256333,2361650,-2266
74,256333,2361630,-2326
75,256337,2361612,-2385
76,256342,2361588,-2476
77,256344,2361555,-2607
78,256345,2361535,-2678
79,256347,2361509,-2768
80,256350,2361474,-2888
81,256352,2361439,-3000
82,256353,2361436,-3010
83,256354,2361417,-3070
84,256357,2361388,-3160
85,256359,2361369,-3219
86,256362,2361344,-3295
87,256362,2361334,-3327
88,256362,2361325,-3356
89,256364,2361308,-3413
90,256365,2361290,-3473
91,256367,2361272,-3533
92,256368,2361259,-3577
93,256370,2361237,-3648
94,256372,2361221,-3704
95,256374,2361203,-3774
96,256376,2361190,-3826
97,256377,2361183,-3856
98,256379,2361171,-3921
99,256380,2361160,-3983
100,256381,2361157,-4000
101,256382,2361148,-4045
102,256389,2361118,-4198
103,256393,2361105,-4259
104,256397,2361092,-4320
105,256400,2361079,-4381
106,256405,2361065,-4443
107,256408,2361055,-4490
108,256413,2361043,-4552
109,256414,2361040,-4567
110,256418,2361032,-4611
111,256431,2360999,-4795
112,256438,2360963,-5000
113,256438,2360961,-5010
114,256439,2360949,-5077
115,256439,2360934,-5164
116,256439,2360927,-5203
117,256440,2360906,-5320
118,256440,2360905,-5327
119,256440,2360896,-5373
120,256441,2360894,-5386
