Name,Northing,Easting,Elevation,Temp
1,256137,2357453,4341,0
2,256135,2357452,3765,0
3,256133,2357450,3677,0
4,256134,2357449,3589,0
5,256134,2357450,3481,0
6,256133,2357450,3341,0
7,256133,2357451,3307,0
8,256134,2357450,3165,0
9,256138,2357448,3090,0
10,256141,2357446,3029,0
11,256143,2357444,3000,0
12,256144,2357443,2981,0
13,256145,2357442,2965,0
14,256147,2357441,2934,0
15,256149,2357438,2904,0
16,256150,2357432,2844,0
17,256151,2357425,2785,0
18,256151,2357421,2753,0
19,256151,2357417,2723,0
20,256150,2357413,2693,0
21,256150,2357408,2662,0
22,256149,2357404,2631,0
23,256148,2357399,2600,0
24,256147,2357394,2570,0
25,256144,2357384,2505,0
26,256139,2357368,2415,0
27,256135,2357354,2349,0
28,256133,2357349,2327,0
29,256126,2357326,2233,0
30,256122,2357314,2185,0
31,256119,2357303,2146,0
32,256113,2357279,2056,0
33,256109,2357264,2000,458
34,256106,2357255,1968,0
35,256100,2357230,1880,0
36,256098,2357226,1867,0
37,256091,2357201,1792,0
38,256082,2357170,1707,0
39,256070,2357134,1622,0
40,256061,2357110,1568,0
41,256056,2357096,1540,0
42,256044,2357069,1485,0
43,256028,2357031,1413,0
44,256021,2357017,1387,0
45,256014,2357001,1357,0
46,256008,2356987,1330,0
47,255990,2356930,1227,0
48,255979,2356885,1147,0
49,255968,2356840,1066,0
50,255958,2356802,1000,421
51,255956,2356798,992,0
52,255954,2356791,981,0
53,255944,2356753,914,0
54,255932,2356707,835,0
55,255928,2356693,809,0
56,255919,2356661,754,0
57,255907,2356618,675,0
58,255895,2356575,597,0
59,255888,2356548,549,0
60,255878,2356512,482,0
61,255868,2356471,408,0
62,255861,2356445,360,0
63,255839,2356353,194,0
64,255828,2356308,115,0
65,255816,2356258,26,0
66,255813,2356244,0,0
67,255800,2356189,-99,0
68,255793,2356158,-155,0
69,255781,2356106,-251,0
