Name,Northing,Easting,Elevation,Temp
1,258026,2353378,4206,0
2,258026,2353378,4106,0
3,258026,2353379,4006,0
4,258026,2353379,4000,0
5,258026,2353379,3906,0
6,258026,2353379,3806,0
7,258025,2353380,3706,0
8,258025,2353380,3606,0
9,258023,2353382,3506,0
10,258018,2353386,3406,0
11,258011,2353393,3307,0
12,258001,2353403,3208,0
13,257989,2353416,3109,0
14,257976,2353431,3011,0
15,257974,2353433,3000,0
16,257961,2353449,2914,0
17,257943,2353469,2818,0
18,257925,2353489,2721,0
19,257907,2353509,2625,0
20,257889,2353529,2529,0
21,257871,2353549,2433,0
22,257855,2353567,2343,0
23,257854,2353568,2336,0
24,257837,2353585,2239,0
25,257820,2353602,2142,0
26,257802,2353619,2045,0
27,257792,2353629,2000,0
28,257781,2353639,1949,0
29,257757,2353660,1854,0
30,257732,2353679,1759,0
31,257708,2353697,1664,0
32,257684,2353715,1568,0
33,257660,2353732,1473,0
34,257635,2353749,1378,0
35,257608,2353767,1283,0
36,257597,2353774,1245,0
37,257591,2353778,1223,0
38,257581,2353785,1189,0
39,257558,2353805,1101,0
40,257550,2353814,1065,0
41,257546,2353818,1050,0
42,257546,2353819,1047,0
43,257543,2353822,1036,0
44,257537,2353829,1007,0
45,257536,2353831,1000,0
46,257532,2353836,979,0
47,257529,2353840,964,0
48,257525,2353845,946,0
49,257517,2353856,904,0
50,257514,2353861,886,0
51,257498,2353884,799,0
52,257482,2353906,714,0
53,257482,2353907,711,0
54,257465,2353931,620,0
55,257450,2353954,534,0
56,257418,2353999,357,0
57,257407,2354015,295,0
58,257391,2354037,202,0
59,257376,2354059,111,0
60,257360,2354081,20,0
61,257356,2354085,0,0
62,257351,2354093,-32,0
63,257343,2354111,-103,0
64,257339,2354127,-164,0
65,257334,2354143,-225,0
66,257330,2354158,-285,0
67,257325,2354175,-345,0
68,257319,2354197,-417,0
69,257318,2354202,-434,0
70,257310,2354230,-523,0
71,257301,2354259,-613,0
72,257292,2354288,-702,0
73,257284,2354315,-784,0
74,257276,2354342,-864,0
75,257261,2354387,-1000,390
76,257257,2354400,-1040,0
77,257245,2354436,-1148,0
78,257237,2354459,-1218,0
79,257225,2354494,-1326,0
80,257208,2354544,-1480,0
81,257196,2354583,-1599,0
82,257183,2354620,-1717,0
83,257170,2354657,-1840,0
84,257158,2354692,-1955,0
85,257152,2354706,-2000,376
86,257143,2354729,-2077,0
87,257129,2354764,-2197,0
88,257120,2354789,-2283,0
89,257104,2354826,-2405,0
90,257089,2354860,-2519,0
91,257072,2354897,-2644,0
92,257055,2354928,-2762,0
93,257046,2354943,-2822,0
94,257030,2354967,-2924,0
95,257027,2354971,-2941,0
96,257021,2354981,-2985,0
97,257018,2354985,-3000,367
98,257011,2354997,-3046,0
99,256993,2355026,-3165,0
100,256974,2355055,-3285,0
101,256965,2355068,-3337,0
102,256953,2355084,-3406,0
103,256932,2355110,-3520,0
104,256931,2355111,-3525,0
105,256929,2355113,-3534,0
106,256908,2355139,-3645,0
107,256899,2355151,-3697,0
108,256887,2355168,-3765,0
109,256873,2355189,-3840,0
110,256865,2355203,-3883,0
111,256860,2355213,-3912,0
112,256843,2355244,-4000,359
113,256840,2355249,-4015,0
114,256834,2355262,-4049,0
115,256819,2355290,-4129,0
116,256804,2355320,-4216,0
117,256800,2355327,-4235,0
118,256665,2355592,-5000,356
