      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I 61-7   
                         
Sec Az   81         
Elev   4143 KB      
CoordsNorth  259266 East              4354270 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM   E-LAM  
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      64  244                        4143     0     0     0     0     0        0  259266  2354207 
  143  0.23      64  244   143     0      143   4000     0     0     0     0     0        0  259266  2354207 
  460  0.75      64  244   460     3      460   3683    -1    -3    -1    -3    -3       -3  259265  2354204 
  500  1.50      64  244    40     1      500   3643     0    -1    -2    -3    -1       -4  259264  2354204 
  527  2.00      64  244    27     1      527   3616     0    -1    -2    -4    -1       -4  259264  2354203 
  558  1.75      64  244    31     1      558   3585     0    -1    -2    -5    -1       -5  259264  2354202 
  590  1.50      62  242    32     1      590   3553     0    -1    -3    -6    -1       -6  259263  2354201 
  618  1.75      60  240    28     1      618   3525     0    -1    -3    -7    -1       -7  259263  2354200 
  651  1.25      62  242    33     1      651   3492     0    -1    -4    -7    -1       -8  259262  2354200 
  682  0.75      22  202    31     1      682   3461     0     0    -4    -8     0       -8  259262  2354199 
  719  0.75      20  160    37     0      719   3424     0     0    -5    -8     0       -8  259261  2354199 
  742  1.00      42  138    23     0      742   3401     0     0    -5    -8     0       -8  259261  2354199 
  773  1.50      52  128    31     1      773   3370     0     0    -5    -7     0       -8  259261  2354200 
  804  2.00      70  110    31     1      804   3339     0     1    -6    -6     1       -7  259260  2354201 
  838  2.50      78  102    34     1      838   3305     0     1    -6    -5     1       -6  259260  2354202 
  868  3.00      84   96    30     1      868   3275     0     1    -6    -3     1       -4  259260  2354204 
  899  3.50      90   90    31     2      899   3244     0     2    -6    -2     2       -3  259260  2354205 
  931  4.50      89   89    32     2      931   3212     0     2    -6     1     2       -1  259260  2354208 
 1000  5.78      81   81    69     6      999   3144     1     6    -6     7     6        6  259260  2354214 
 1025  6.25      78   78    25     3     1024   3119     0     3    -5     9     3        8  259261  2354216 
 1056  7.00      79   79    31     4     1055   3088     1     4    -5    13     4       12  259261  2354220 
 1087  7.50      83   83    31     4     1086   3057     1     4    -4    17     4       16  259262  2354224 
 1118  8.25      86   86    31     4     1117   3026     0     4    -4    21     4       20  259262  2354228 
 1145  9.02      85   85    27     4     1143   3000     0     4    -3    25     4       24  259263  2354232 
 1214 11.00      81   81    95    16     1211   2932     2    16    -2    37    16       36  259264  2354244 
 1278 11.25      81   81    63    12     1274   2869     2    12     0    49    12       48  259266  2354256 
 1328 11.25      81   81    49    10     1323   2820     2    10     2    59    10       58  259268  2354266 
 1387 11.25      81   81    58    12     1381   2762     2    11     3    70    12       70  259269  2354277 
 1449 11.75      76   76    61    12     1442   2701     2    12     6    82    12       82  259272  2354289 
 1485 12.80      76   76    35     8     1477   2666     2     7     8    90     8       90  259274  2354297 
 1500 13.24      76   76    15     3     1491   2652     1     3     9    93     3       93  259275  2354300 
 1543 14.50      76   76    42    10     1533   2610     2    10    11   103    10      103  259277  2354310 
 1611 16.50      74   74    66    18     1599   2544     5    18    16   120    18      121  259282  2354327 
