Point,Northing,Easting,Elevation
1,259542,2353976,4145
2,259542,2353977,4000
3,259541,2353977,3845
4,259540,2353976,3695
5,259539,2353976,3522
6,259538,2353973,3345
7,259537,2353970,3212
8,259536,2353966,3055
9,259536,2353964,3000
10,259536,2353959,2871
11,259537,2353954,2713
12,259537,2353949,2588
13,259534,2353944,2405
14,259532,2353941,2280
15,259529,2353937,2128
16,259527,2353934,2000
17,259526,2353934,1966
18,259524,2353931,1851
19,259523,2353931,1819
20,259522,2353929,1770
21,259520,2353925,1664
22,259518,2353919,1536
23,259517,2353910,1381
24,259517,2353907,1329
25,259518,2353899,1215
26,259518,2353891,1082
27,259518,2353889,1063
28,259519,2353885,1000
29,259520,2353879,906
30,259522,2353870,750
31,259523,2353865,668
32,259523,2353863,623
33,259524,2353860,576
34,259525,2353856,525
35,259526,2353853,495
36,259526,2353852,484
37,259526,2353850,466
38,259526,2353846,436
39,259525,2353839,374
40,259524,2353836,345
41,259522,2353832,314
42,259516,2353819,217
43,259509,2353805,123
44,259504,2353796,71
45,259497,2353784,0
46,259495,2353780,-22
47,259484,2353757,-143
48,259476,2353739,-234
49,259465,2353717,-353
50,259458,2353701,-442
51,259450,2353685,-534
52,259442,2353670,-624
53,259436,2353658,-693
54,259434,2353655,-716
55,259425,2353639,-809
56,259416,2353624,-901
57,259414,2353620,-928
58,259407,2353608,-1000
59,259405,2353604,-1022
60,259393,2353583,-1145
61,259381,2353563,-1265
62,259369,2353538,-1407
63,259368,2353537,-1414
64,259362,2353522,-1497
65,259352,2353495,-1651
66,259349,2353485,-1711
67,259345,2353472,-1782
68,259344,2353468,-1807
69,259341,2353457,-1869
70,259341,2353456,-1872
71,259338,2353445,-1931
72,259337,2353442,-1947
73,259335,2353436,-1979
74,259335,2353434,-1990
75,259334,2353432,-2000
76,259332,2353425,-2037
77,259322,2353400,-2142
78,259315,2353386,-2195
79,259311,2353378,-2233
80,259301,2353361,-2294
81,259292,2353343,-2352
82,259282,2353324,-2411
83,259272,2353305,-2470
84,259256,2353277,-2557
85,259234,2353239,-2674
86,259222,2353220,-2735
87,259205,2353191,-2824
88,259188,2353161,-2911
89,259170,2353132,-3000
90,259164,2353122,-3029
91,259135,2353071,-3173
92,259111,2353028,-3294
93,259088,2352988,-3410
94,259065,2352951,-3525
95,259045,2352918,-3638
96,259033,2352900,-3704
97,259002,2352851,-3882
