      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  NAVY I 66-7   
                         
Sec Az  220         
Elev   4385 KB      
CoordsNorth  256200 East              2353486 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00       0  322     0     0        0   4385     0     0     0     0     0      0  256200  2353486                                                                                                                   
  171  1.00      38  322   171     1      171   4214     1    -1     1    -1     0      0  256201  2353485                                                                                                                   
  197  1.00      44  316    26     0      197   4188     0     0     2    -1     0      0  256202  2353485                                                                                                                   
  315  1.00      31  329   118     2      315   4070     2    -1     3    -2     0     -1  256203  2353484                                                                                                                   
  385  1.12      41  319    70     1      385   4000     1    -1     4    -3     0     -1  256204  2353483 
  458  1.25      51  309   143     3      458   3927     2    -2     5    -4     0     -1  256205  2353482                                                                                                                   
  649  1.25      57  303   191     4      649   3736     2    -3     8    -8     0     -1  256208  2353478                                                                                                                   
  861  1.25      76  284   212     5      861   3524     2    -4    10   -12     1      0  256210  2353474                                                                                                                   
  963  1.00      80  280   102     2      963   3422     0    -2    10   -14     1      1  256210  2353472                                                                                                                   
 1160  0.50      80  280   197     3     1160   3225     0    -3    10   -16     1      3  256210  2353470                                                                                                                   
 1190  1.00      71  289    30     0     1190   3195     0     0    11   -17     0      3  256211  2353469                                                                                                                   
 1220  1.25      71  289    30     1     1220   3165     0    -1    11   -17     0      3  256211  2353469                                                                                                                   
 1251  1.00      67  293    31     1     1251   3134     0    -1    11   -18     0      3  256211  2353468                                                                                                                   
 1281  1.25      81  279    30     1     1281   3104     0    -1    11   -18     0      3  256211  2353468                                                                                                                   
 1311  1.25      69  249    30     1     1311   3074     0    -1    11   -19     0      4  256211  2353467                                                                                                                   
 1342  1.75      56  236    31     1     1342   3043     0    -1    11   -20     1      5  256211  2353466                                                                                                                   
 1374  2.00      40  220    32     1     1374   3011    -1    -1    10   -21     1      6  256210  2353465                                                                                                                   
 1385  2.18      36  216    11     0     1385   3000     0     0    10   -21     0      6  256210  2353465                                                        3000        1374  1374    10   -21     6  0.00 
 1405  2.50      30  210    31     1     1405   2980    -1    -1     9   -21     1      7  256209  2353465                                                                                                                   
 1436  3.50      29  209    31     2     1436   2949    -1    -1     8   -22     2      8  256208  2353464                                                                                                                   
 1467  4.25      26  206    31     2     1467   2918    -2    -1     6   -23     2     10  256206  2353463                                                                                                                   
 1527  5.50      48  228    60     5     1526   2859    -4    -3     2   -26     5     16  256202  2353460                                                                                                                   
 1558  6.25      40  220    31     3     1557   2828    -2    -2    -1   -28     3     19  256199  2353458                                                                                                                   
 1590  7.25      43  223    32     4     1589   2796    -3    -2    -3   -31     4     23  256197  2353455                                                                                                                   
 1621  8.00      45  225    31     4     1620   2765    -3    -3    -6   -34     4     27  256194  2353452                                                                                                                   
 1651  8.75      45  225    30     4     1649   2736    -3    -3   -10   -37     4     31  256190  2353449                                                                                                                   
 1682  9.75      45  225    31     5     1680   2705    -4    -4   -13   -40     5     36  256187  2353446                                                                                                                   
