Name,Northing,Easting,Elevation,Temp
1,256344,2353554,4382,0
2,256343,2353555,4000,0
3,256342,2353557,3902,0
4,256344,2353562,3636,0
5,256347,2353565,3417,0
6,256348,2353566,3370,0
7,256349,2353566,3340,0
8,256350,2353567,3309,0
9,256352,2353567,3277,0
10,256352,2353568,3262,0
11,256354,2353567,3247,0
12,256356,2353567,3217,0
13,256359,2353566,3186,0
14,256362,2353565,3155,0
15,256375,2353559,3016,0
16,256377,2353558,3000,0
17,256386,2353552,2908,0
18,256390,2353549,2877,0
19,256393,2353545,2846,0
20,256397,2353542,2816,0
21,256406,2353534,2756,0
22,256416,2353524,2695,0
23,256434,2353507,2604,0
24,256443,2353498,2563,0
25,256455,2353486,2515,0
26,256477,2353462,2429,0
27,256485,2353453,2400,0
28,256520,2353419,2285,0
29,256529,2353411,2256,0
30,256539,2353403,2226,0
31,256566,2353381,2142,0
32,256594,2353357,2055,0
33,256612,2353342,2000,0
34,256623,2353333,1969,0
35,256652,2353310,1883,0
36,256671,2353296,1826,0
37,256700,2353275,1743,0
38,256731,2353253,1657,0
39,256764,2353231,1574,0
40,256798,2353207,1489,0
41,256830,2353182,1408,0
42,256846,2353168,1365,0
43,256870,2353148,1303,0
44,256876,2353143,1289,0
45,256896,2353126,1238,0
46,256964,2353078,1069,0
47,256993,2353061,1000,0
48,257003,2353055,974,0
49,257021,2353044,927,0
50,257033,2353037,898,0
51,257003,2353037,0,420
