Point,NORTHING,EASTING,Elev_ft,Elev_m
1,259979,2354435,4143,1263
2,259980,2354435,4000,1219
3,259980,2354435,3962,1208
4,259985,2354435,3692,1125
5,259986,2354434,3643,1110
6,259985,2354434,3603,1098
7,259982,2354433,3478,1060
8,259977,2354433,3214,980
9,259975,2354432,3143,958
10,259974,2354432,3108,947
11,259971,2354430,3000,914
12,259968,2354430,2874,876
13,259965,2354429,2699,823
14,259964,2354429,2643,806
15,259963,2354428,2581,787
16,259963,2354428,2457,749
17,259963,2354427,2332,711
18,259965,2354425,2208,673
19,259966,2354425,2143,653
20,259967,2354424,2086,636
21,259969,2354423,2000,610
22,259970,2354422,1962,598
23,259971,2354419,1899,579
24,259972,2354417,1841,561
25,259974,2354412,1717,523
26,259975,2354409,1644,501
27,259975,2354407,1564,477
28,259976,2354404,1471,448
29,259977,2354402,1425,434
30,259980,2354397,1285,392
31,259984,2354391,1150,351
32,259984,2354390,1144,349
33,259987,2354385,1028,313
34,259988,2354384,1000,305
35,259989,2354379,907,276
36,259990,2354373,784,239
37,259992,2354368,675,206
38,259993,2354367,645,197
39,259994,2354363,551,168
40,259996,2354356,427,130
41,259998,2354349,294,90
42,260000,2354343,181,55
43,260000,2354341,146,45
44,260002,2354337,63,19
45,260003,2354334,0,0
46,260009,2354318,-342,-104
47,260009,2354317,-354,-108
48,260024,2354299,-853,-260
49,260029,2354297,-1000,-305
50,260030,2354297,-1037,-316
51,260040,2354293,-1353,-412
52,260043,2354292,-1423,-434
53,260045,2354291,-1503,-458
