ID,Northing,Easting,Elevation,Temp,Type
0,258489,2354475,4189,0,Production
1,258490,2354474,3895,0,Production
2,258493,2354471,3689,0,Production
3,258494,2354470,3619,0,Production
4,258495,2354469,3578,0,Production
5,258495,2354467,3547,0,Production
6,258495,2354466,3516,0,Production
7,258495,2354465,3485,0,Production
8,258495,2354464,3455,0,Production
9,258495,2354462,3424,0,Production
10,258493,2354460,3361,0,Production
11,258492,2354459,3329,0,Production
12,258491,2354459,3308,0,Production
13,258491,2354458,3299,0,Production
14,258490,2354458,3267,0,Production
15,258488,2354458,3236,0,Production
16,258486,2354458,3204,0,Production
17,258485,2354458,3189,0,Production
18,258483,2354458,3143,0,Production
19,258480,2354459,3112,0,Production
20,258478,2354459,3081,0,Production
21,258474,2354461,3030,0,Production
22,258472,2354462,3000,360,Production
23,258467,2354463,2947,0,Production
24,258465,2354464,2917,0,Production
25,258457,2354467,2857,0,Production
26,258453,2354469,2826,0,Production
27,258449,2354472,2795,0,Production
28,258445,2354474,2764,0,Production
29,258440,2354477,2734,0,Production
30,258434,2354480,2702,0,Production
31,258432,2354481,2693,0,Production
32,258418,2354490,2618,0,Production
33,258402,2354501,2527,0,Production
34,258401,2354501,2525,0,Production
35,258391,2354508,2466,0,Production
36,258387,2354510,2447,0,Production
37,258373,2354519,2376,0,Production
38,258354,2354530,2288,0,Production
39,258334,2354541,2207,0,Production
40,258332,2354542,2198,0,Production
41,258327,2354545,2178,0,Production
42,258317,2354551,2141,0,Production
43,258300,2354560,2077,0,Production
44,258290,2354565,2000,467,Production
