      WELL DATA SUMMARY                                                                                   
            
Well  NAVY I 76B-7  
                         
Sec Az   29         
Elev   4346 KB      
CoordsNorth  256699 East              2354308 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM E-LAM    
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      48  228                        4346     0     0     0     0     0     0  256699  2354308 
  346  1.53      48  228   346     5      346   4000    -3    -3    -3    -3    -4    -4  256696  2354305 
  500  2.22      48  228   500    10      500   3846    -6    -7    -6    -7    -9    -9  256693  2354301 
  564  2.50      48  228    64     3      564   3782    -2    -2    -8    -9    -2   -12  256691  2354299 
  598  2.75      59  239    34     2      598   3748    -1    -1    -9   -10    -1   -13  256690  2354298 
  629  2.25      74  204    31     1      629   3717    -1    -1   -10   -11    -1   -14  256689  2354297 
  690  2.00      40  320    61     2      690   3656     0    -2   -10   -14    -1   -16  256689  2354294 
  722  2.75      18  342    32     1      722   3624     1    -1    -9   -14     1   -15  256690  2354294 
  753  3.50      11  349    31     2      753   3593     2     0    -8   -15     1   -14  256691  2354293 
  784  4.50       2  358    31     2      784   3562     2     0    -6   -15     2   -12  256693  2354293 
  816  5.50       1    1    32    -3      815   3531     3     0    -3   -15     2   -10  256696  2354293 
  847  6.50       3    3    31     3      846   3500     3     0     0   -15     3    -7  256699  2354293 
  878  7.75       6    6    31     4      877   3469     4     0     4   -14     3    -3  256703  2354294 
  909  8.25      13   13    31     4      908   3438     4     1     9   -14     4     1  256708  2354294 
  940  9.50      13   13    31     5      938   3408     5     1    13   -13     5     5  256712  2354295 
  972 11.00      17   17    31     6      970   3376     6     1    19   -11     6    11  256718  2354297 
 1000 11.21      18   18    27     5      997   3349     5     2    24   -10     5    16  256723  2354298 
 1139 12.25      25   25   136    28     1133   3213    26    10    50     1    28    44  256749  2354309 
 1169 12.75      26   26    29     6     1163   3183     6     3    56     4     6    51  256755  2354312 
 1199 12.99      26   26    29     7     1192   3154     6     3    62     7     7    57  256761  2354315 
 1200 13.00      26   26     1     0     1193   3153     0     0    62     7     0    58  256761  2354315 
 1233 13.50      23   23    32     8     1225   3121     7     3    69    10     8    65  256768  2354318 
 1292 14.75      24   24    57    14     1282   3064    13     6    82    16    14    80  256781  2354324 
 1358 16.36      25   25    64    18     1346   3000    16     7    98    23    18    97  256797  2354331 
 1384 17.00      26   26    88    25     1371   2975    23    11   105    26    25   105  256804  2354334 
 1476 19.00      26   26    87    28     1458   2888    26    12   131    39    28   133  256830  2354347 
 1500 19.45      27   27    23     8     1481   2865     7     4   138    42     8   141  256837  2354350 
 1569 20.75      29   29    65    24     1546   2800    21    11   159    53    24   165  256858  2354361 
 1663 23.00      29   29    87    35     1633   2713    31    17   189    70    35   200  256888  2354378 
 1689 23.41      30   30    24    10     1657   2689     9     5   198    75    10   210  256897  2354383 
 1757 24.50      31   31    62    28     1719   2627    24    14   222    89    28   237  256921  2354397 
 1830 25.75      30   30    66    31     1785   2561    27    16   249   105    31   268  256948  2354413 
 1903 27.00      29   29    65    32     1851   2495    28    16   277   121    32   301  256976  2354429 
