Point,Northing,Easting,Elev_ft,Temp,Type
1,255893,2354881,4402,0,Production
2,255894,2354881,4328,0,Production
3,255893,2354882,4247,0,Production
4,255892,2354881,4176,0,Production
5,255891,2354879,4038,0,Production
6,255892,2354878,4000,0,Production
7,255892,2354877,3949,0,Production
8,255894,2354873,3726,0,Production
9,255895,2354870,3632,0,Production
10,255897,2354866,3502,0,Production
11,255897,2354863,3455,0,Production
12,255898,2354856,3363,0,Production
13,255898,2354852,3333,0,Production
14,255898,2354848,3301,0,Production
15,255897,2354845,3270,0,Production
16,255895,2354839,3229,0,Production
17,255894,2354835,3197,0,Production
18,255889,2354822,3104,0,Production
19,255885,2354808,3000,0,Production
20,255884,2354805,2980,0,Production
21,255881,2354792,2891,0,Production
22,255877,2354777,2800,0,Production
23,255873,2354759,2707,0,Production
24,255868,2354738,2615,0,Production
25,255861,2354711,2502,0,Production
26,255860,2354709,2495,0,Production
27,255854,2354687,2414,0,Production
28,255847,2354668,2337,0,Production
29,255852,2354679,2383,0,Production
30,255845,2354662,2314,0,Production
31,255834,2354637,2223,0,Production
32,255823,2354610,2135,0,Production
33,255810,2354578,2047,0,Production
34,255802,2354558,2000,0,Production
35,255796,2354542,1962,0,Production
36,255782,2354507,1880,0,Production
37,255767,2354471,1797,0,Production
38,255752,2354435,1712,0,Production
39,255745,2354418,1674,0,Production
40,255725,2354374,1569,0,Production
41,255745,2354418,1674,0,Production
42,255725,2354374,1569,0,Production
43,255701,2354323,1448,0,Production
44,255680,2354279,1345,0,Production
45,255656,2354232,1230,0,Production
46,255633,2354186,1122,0,Production
47,255611,2354141,1008,0,Production
48,255610,2354137,1000,465,Production
49,255591,2354097,892,0,Production
50,255569,2354054,774,0,Production
51,255558,2354033,713,0,Production
52,255551,2354018,672,0,Production
53,255537,2353990,0,420,Production
