Name,Northing,Easting,Elevation,Temp
1,253619,2360669,3960,0
2,253618,2360670,3840,0
3,253615,2360671,3640,0
4,253612,2360671,3496,0
5,253611,2360671,3460,0
6,253610,2360672,3356,0
7,253608,2360672,3237,0
8,253606,2360671,3084,0
9,253605,2360671,3000,0
10,253604,2360671,2960,0
11,253609,2360672,2933,0
12,253611,2360670,2788,0
13,253615,2360668,2619,0
14,253620,2360666,2467,0
15,253625,2360664,2313,0
16,253630,2360661,2164,0
17,253634,2360658,2034,0
18,253635,2360657,2000,369
19,253636,2360657,1979,0
20,253637,2360657,1947,0
21,253638,2360657,1916,0
22,253639,2360657,1885,0
23,253641,2360658,1853,0
24,253642,2360659,1822,0
25,253643,2360661,1791,0
26,253645,2360663,1759,0
27,253645,2360664,1745,0
28,253646,2360665,1728,0
29,253649,2360667,1697,0
30,253651,2360670,1667,0
31,253653,2360674,1635,0
32,253656,2360677,1604,0
33,253663,2360686,1537,0
34,253670,2360695,1475,0
35,253671,2360697,1464,0
36,253678,2360705,1415,0
37,253684,2360713,1367,0
38,253706,2360738,1238,0
39,253713,2360746,1199,0
40,253730,2360765,1117,0
41,253745,2360779,1053,0
42,253758,2360792,1000,345
43,253762,2360796,983,0
44,253766,2360800,967,0
45,253786,2360820,884,0
46,253808,2360842,792,0
47,253831,2360865,704,0
48,253856,2360889,607,0
49,253875,2360908,538,0
50,253882,2360914,512,0
51,253903,2360935,437,0
52,253928,2360959,352,0
53,253953,2360983,264,0
54,253974,2361004,187,0
55,253999,2361028,95,0
56,254012,2361041,47,0
57,254023,2361051,9,0
58,254025,2361054,0,347
59,254053,2361081,-105,0
60,254076,2361104,-191,0
61,254113,2361143,-338,0
62,254134,2361165,-422,0
63,254156,2361188,-511,0
64,254199,2361230,-684,0
65,254231,2361262,-820,0
66,254248,2361281,-895,0
67,254264,2361298,-967,0
68,254270,2361306,-1000,353
69,254294,2361332,-1110,0
70,254319,2361358,-1229,0
71,254348,2361388,-1373,0
72,254355,2361395,-1406,0
73,254384,2361427,-1558,0
74,254391,2361435,-1594,0
75,254397,2361442,-1628,0
76,254404,2361449,-1661,0
77,254418,2361464,-1734,0
78,254434,2361481,-1815,0
79,254441,2361489,-1854,0
80,254455,2361504,-1926,0
81,254470,2361519,-2000,400
82,254471,2361521,-2008,0
83,254507,2361559,-2190,0
84,254535,2361589,-2334,0
85,254629,2361690,-2815,0
86,254633,2361694,-2834,0
