Name,Northing,Easting,Elevation,Temp
1,254135,2361744,4060,0
2,254135,2361744,4000,0
3,254134,2361744,3877,0
4,254133,2361743,3711,0
5,254132,2361741,3590,0
6,254132,2361740,3492,0
7,254132,2361741,3338,0
8,254132,2361742,3260,0
9,254135,2361745,3119,0
10,254137,2361746,3057,0
11,254139,2361749,3000,0
12,254139,2361749,2995,0
13,254143,2361753,2934,0
14,254146,2361756,2903,0
15,254151,2361761,2836,0
16,254155,2361768,2768,0
17,254157,2361772,2732,0
18,254159,2361786,2610,0
19,254159,2361795,2517,0
20,254158,2361807,2393,0
21,254157,2361821,2237,0
22,254157,2361831,2132,0
23,254156,2361843,2025,0
24,254156,2361846,2000,0
25,254156,2361863,1871,0
26,254155,2361875,1787,0
27,254153,2361888,1693,0
28,254152,2361903,1600,0
29,254151,2361917,1507,0
30,254150,2361921,1483,0
31,254149,2361935,1385,0
32,254147,2361948,1290,0
33,254146,2361951,1261,0
34,254146,2361952,1254,0
35,254144,2361967,1133,0
36,254142,2361979,1016,0
37,254142,2361981,1000,0
38,254142,2361983,985,0
39,254142,2361986,953,0
40,254143,2361996,863,0
41,254145,2362003,796,0
42,254145,2362003,793,0
43,254147,2362011,724,0
44,254147,2362012,717,0
45,254150,2362025,595,0
46,254152,2362032,537,0
47,254152,2362041,467,0
48,254154,2362057,344,0
49,254155,2362073,222,0
50,254155,2362091,100,0
51,254156,2362099,39,0
52,254156,2362105,0,0
53,254157,2362114,-64,0
54,254157,2362121,-124,0
55,254158,2362129,-185,0
56,254159,2362137,-245,0
57,254161,2362149,-338,0
58,254163,2362161,-431,0
59,254166,2362171,-517,0
60,254167,2362174,-547,0
61,254167,2362178,-578,0
62,254168,2362181,-609,0
63,254168,2362190,-678,0
64,254167,2362203,-771,0
65,254166,2362217,-866,0
66,254166,2362230,-957,0
67,254166,2362237,-1000,0
68,254166,2362244,-1050,0
69,254165,2362259,-1141,0
70,254164,2362273,-1229,0
71,254164,2362285,-1313,0
72,254164,2362291,-1352,0
73,254164,2362300,-1415,0
74,254164,2362314,-1508,0
75,254164,2362321,-1567,0
76,254164,2362326,-1598,0
77,254164,2362339,-1690,0
78,254164,2362356,-1812,0
79,254165,2362373,-1935,0
80,254165,2362382,-2000,0
81,254166,2362390,-2058,0
82,254166,2362408,-2184,0
83,254167,2362425,-2304,0
84,254168,2362429,-2338,0
85,254169,2362442,-2425,0
86,254170,2362457,-2531,0
87,254170,2362459,-2547,0
88,254171,2362478,-2670,0
89,254173,2362497,-2794,0
90,254175,2362509,-2868,0
91,254176,2362517,-2917,0
92,254179,2362531,-3000,0
93,254180,2362537,-3041,0
94,254182,2362554,-3145,0
95,254182,2362556,-3155,0
96,254183,2362560,-3184,0
97,254184,2362576,-3277,0
98,254186,2362598,-3399,0
99,254188,2362610,-3467,0
100,254188,2362620,-3522,0
101,254189,2362622,-3529,0
102,254190,2362644,-3646,0
103,254191,2362652,-3686,0
104,254192,2362668,-3766,0
105,254195,2362691,-3888,0
106,254200,2362712,-4000,0
107,254201,2362714,-4012,0
108,254201,2362716,-4020,0
109,254209,2362736,-4134,0
110,254217,2362758,-4256,0
111,254228,2362780,-4377,0
112,254239,2362801,-4500,0
113,254250,2362823,-4622,0
114,254262,2362844,-4746,0
115,254275,2362864,-4870,0
116,254289,2362884,-4993,0
117,254290,2362885,-5000,0
118,254301,2362901,-5095,0
119,254304,2362905,-5120,0
