      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 37B-17
                         
Sec Az  265 S 85 W  
Elev   3942 KB      
CoordsNorth  250938 East              2357109 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0    0                        3942     0     0     0     0     0        0  250938  2357109 
  446  0.00       0    0   446     0      446   3496     0     0     0     0     0        0  250938  2357109 
  500  0.09       9   56    54     0      500   3442     0     0     0     0     0        0  250938  2357109 
  747  0.50      50  310   301     1      747   3195    -1     1    -1     1     0        0  250937  2357110 
  942  0.94      25  214   195     2      942   3000     0    -2    -2    -2     2        2  250936  2357107 
  969  1.00      21  201   222     3      969   2973    -1    -3    -2    -2     3        2  250936  2357107 
 1000  1.08      23  203    31     1     1000   2942    -1     0    -2    -2     0        3  250936  2357107 
 1275  1.75      36  216   306     7     1275   2667    -6    -4    -8    -6     4        6  250930  2357103 
 1500  1.55      43  223   225     6     1500   2442    -5    -4   -13   -10     5       11  250925  2357099 
 1551  1.50      45  225   276     8     1551   2391    -6    -5   -14   -11     6       12  250924  2357098 
 1942  1.96      20  200   391    12     1942   2000   -10    -6   -24   -17     7       19  250914  2357092 
 1973  2.00      18  198   422    13     1973   1969   -11    -7   -25   -18     8       20  250913  2357091 
 2000  2.09      18  198    27     1     2000   1942    -1     0   -26   -18     0       20  250912  2357091 
 2199  2.75      21  201   226     9     2198   1744    -9    -3   -34   -21     4       24  250904  2357088 
 2484  3.00      19  199   285    14     2483   1459   -13    -5   -48   -26     6       30  250890  2357083 
 2500  3.10      21  201    16     1     2499   1443    -1     0   -48   -26     0       30  250890  2357083 
 2606  3.75      36  216   122     7     2605   1337    -6    -3   -54   -29     4       34  250884  2357080 
 2637  3.75      44  224    31     2     2636   1306    -2    -1   -55   -30     1       35  250883  2357079 
 2698  3.75      61  241    61     4     2697   1245    -2    -3   -58   -33     3       38  250880  2357076 
 2727  4.00      74  254    29     2     2726   1216    -1    -2   -59   -35     2       40  250879  2357074 
 2759  4.25      87  267    32     2     2757   1185     0    -2   -59   -37     2       42  250879  2357072 
 2790  5.00      87  267    31     2     2788   1154     0    -2   -59   -40     2       45  250879  2357069 
 2821  6.00      88  268    31     3     2819   1123     0    -3   -59   -43     3       48  250879  2357066 
 2853  6.75      89  269    32     4     2851   1091     0    -4   -59   -46     4       51  250879  2357063 
 2945  8.82      86  266    91    12     2942   1000    -1   -12   -60   -59    12       64  250878  2357050 
 2953  9.00      86  266    99    14     2950    992    -1   -14   -60   -60    14       65  250878  2357049 
 3000  9.19      86  266    46     7     2996    946    -1    -7   -61   -68     7       73  250877  2357041 
 3015  9.25      86  266    61    10     3011    931    -1   -10   -61   -70    10       75  250877  2357039 
 3074  9.25      86  266    58     9     3070    872    -1    -9   -61   -79     9       84  250877  2357030 
 3135  9.75      87  267    60    10     3130    812    -1   -10   -62   -89    10       95  250876  2357020 
 3183 10.25      83  263    47     8     3177    765    -1    -8   -63   -98     8      103  250875  2357011 
 3249 11.75      84  264    65    13     3242    700    -1   -13   -64  -110    13      115  250874  2356999 
