Point,Northing,Easting,Elevation
1,254769,2363815,3746
2,254769,2363815.9,3442
3,254768.3,2363819,3261
4,254766.1,2363820.4,3128
5,254765.1,2363822.3,3001
6,254765.1,2363822.3,3000
7,254762.4,2363823.2,2835
8,254758.7,2363823.1,2646
9,254755.4,2363824,2491
10,254753.4,2363826.1,2335
11,254753.3,2363826.3,2309
12,254752.7,2363827.1,2088
13,254752.5,2363827.3,2000
14,254751.8,2363828.8,1870
15,254751.2,2363830.2,1793
16,254750,2363832.1,1699
17,254747.7,2363834.8,1550
18,254745.3,2363837,1424
19,254744.6,2363837.6,1392
20,254743.2,2363838.8,1337
21,254742.3,2363839.5,1306
22,254740.6,2363841.6,1239
23,254739.9,2363842.6,1205
24,254739.6,2363842.9,1178
25,254739.8,2363843.9,1115
26,254741.4,2363845.3,1055
27,254742.7,2363846.4,1024
28,254744,2363847.4,1000
29,254746.9,2363849.6,958
30,254752.5,2363854.1,896
31,254759.8,2363859.8,834
32,254768.5,2363866.3,772
33,254772.9,2363869.5,743
34,254783.7,2363876.4,680
35,254789.4,2363879.6,649
36,254795.7,2363883,619
37,254818.4,2363895.2,512
38,254841.2,2363907.6,403
39,254863.2,2363919.5,297
40,254882.4,2363929.7,205
41,254923.7,2363952.9,0
42,254931.9,2363957.8,-42
43,254934.2,2363959.1,-54
44,254949.8,2363968.7,-134
45,254977.5,2363986.3,-274
46,255016.8,2364013.9,-463
47,255019,2364015.5,-473
48,255044.4,2364030.8,-582
49,255058.7,2364037.1,-637
50,255070.3,2364041.5,-680
51,255099.7,2364052,-789
52,255111.6,2364056.4,-833
53,255119.7,2364059.8,-864
54,255131.5,2364065.2,-909
55,255142.5,2364070.3,-952
56,255155.2,2364075.7,-1000
57,255157.5,2364076.6,-1008
58,255166.8,2364080.2,-1043
59,255172.2,2364082.1,-1063
60,255197,2364092.1,-1153
61,255229.7,2364108,-1271
62,255264.4,2364126.5,-1395
63,255279.7,2364135.1,-1449
64,255306.4,2364148.4,-1538
65,255321,2364155.8,-1585
66,255330,2364161.2,-1615
67,255347.5,2364171.4,-1676
68,255358.9,2364177.9,-1718
69,255363.4,2364180.4,-1735
70,255370.3,2364184,-1761
71,255377.4,2364187.6,-1788
72,255381.6,2364189.4,-1803
73,255371.3,2364184.6,-1765
74,255386.9,2364192.3,-1825
75,255402.3,2364199.6,-1885
76,255416.6,2364206.4,-1945
77,255429.5,2364212,-2000
78,255430.7,2364212.4,-2005
79,255444.8,2364217.4,-2066
80,255450.2,2364219.1,-2090
81,255458.7,2364221.3,-2127
82,255472.2,2364224.7,-2188
83,255484.7,2364227.7,-2250
84,255496.6,2364229,-2311
85,255508.7,2364228.5,-2373
86,255521,2364226.6,-2434
87,255532.8,2364224.4,-2497
88,255543,2364222.4,-2558
89,255552.6,2364219.8,-2620
90,255561.4,2364216.4,-2682
91,255569.7,2364212.7,-2744
92,255581.1,2364206.3,-2837
93,255584.8,2364203.8,-2869
94,255588.5,2364201.3,-2901
95,255596,2364195.6,-2964
96,255600.6,2364191.8,-3000
97,255604.1,2364188.5,-3028
98,255615.1,2364176.1,-3116
99,255619.2,2364171.1,-3152
100,255622.7,2364166.8,-3182
101,255625.5,2364163.3,-3208
102,255629.5,2364158.7,-3244
103,255635.7,2364151.8,-3304
104,255642,2364144.5,-3367
105,255655.2,2364127.6,-3506
106,255670.7,2364108.8,-3662
107,255686.3,2364091.8,-3811
108,255704.8,2364074.2,-3984
109,255706.5,2364072.8,-4000
110,255722.7,2364060.2,-4153
111,255739.7,2364048.7,-4312
112,255759.3,2364037.6,-4472
113,255779.7,2364026.3,-4626
114,255799.1,2364015.5,-4761
115,255817.4,2364006.7,-4871
116,255818.6,2364006.1,-4878
117,255840.4,2363996.9,-5000
118,255846.1,2363994.7,-5031
119,255876.9,2363983.9,-5188
120,255887.9,2363980.5,-5238
121,255893.3,2363978.9,-5263
122,256053.8,2363947.7,-5819
123,256070.4,2363945.9,-5866
