Name,Northing,Easting,Elevation,Temp
1,250368,2353110,4171,0
2,250368,2353110,4000,0
3,250368,2353110,3921,0
4,250368,2353110,3671,0
5,250368,2353110,3517,0
6,250368,2353110,3421,0
7,250368,2353110,3327,0
8,250368,2353110,3171,0
9,250368,2353110,3000,241
10,250368,2353110,2921,0
11,250368,2353110,2671,0
12,250368,2353110,2421,0
13,250368,2353110,2171,0
14,250368,2353110,2000,382
15,250368,2353110,1921,0
16,250368,2353110,1671,0
17,250368,2353110,1482,0
18,250368,2353110,1346,0
19,250368,2353110,1000,523
