Point,Northing,Easting,Elevation
1,250079,2353064,4192
2,250080,2353063,4045
3,250081,2353062,3841
4,250082,2353062,3682
5,250083,2353062,3520
6,250086,2353059,3355
7,250082,2353053,3182
8,250081,2353047,3051
9,250080,2353045,3000
10,250079,2353043,2956
11,250079,2353035,2832
12,250079,2353026,2705
13,250079,2353019,2609
14,250078,2353014,2546
15,250078,2353009,2476
16,250079,2353006,2444
17,250080,2353002,2412
18,250081,2352999,2381
19,250083,2352996,2349
20,250084,2352993,2318
21,250086,2352990,2287
22,250087,2352987,2260
23,250089,2352985,2231
24,250092,2352982,2199
25,250094,2352979,2170
26,250098,2352975,2124
27,250101,2352972,2092
28,250104,2352968,2061
29,250107,2352965,2030
30,250109,2352961,2000
31,250110,2352961,1999
32,250113,2352957,1968
33,250116,2352953,1936
34,250123,2352945,1874
35,250127,2352941,1842
36,250136,2352933,1781
37,250153,2352919,1684
38,250170,2352904,1595
39,250190,2352888,1510
40,250214,2352867,1422
41,250239,2352844,1337
42,250256,2352829,1278
43,250272,2352814,1220
44,250295,2352792,1134
45,250320,2352768,1036
46,250325,2352763,1018
47,250329,2352758,1000
48,250340,2352747,959
49,250355,2352732,900
50,250377,2352709,813
51,250398,2352687,730
52,250454,2352634,522
53,250476,2352614,440
54,250501,2352589,344
55,250521,2352568,262
56,250536,2352552,205
57,250553,2352535,144
58,250585,2352500,18
59,250590,2352495,0
60,250607,2352477,-63
61,250610,2352474,-76
62,250632,2352451,-159
63,250649,2352433,-228
64,250681,2352400,-355
65,250711,2352371,-474
66,250741,2352341,-594
67,250756,2352327,-655
68,250785,2352301,-776
69,250813,2352275,-901
70,250821,2352268,-940
71,250834,2352255,-1000
72,250838,2352252,-1015
73,250854,2352238,-1088
74,250876,2352219,-1191
75,250896,2352201,-1295
76,250913,2352186,-1384
77,250930,2352172,-1478
78,250947,2352159,-1570
79,250964,2352147,-1663
80,250981,2352134,-1760
81,250997,2352122,-1858
82,251012,2352110,-1960
83,251018,2352106,-2000
84,251029,2352101,-2072
85,251032,2352100,-2089
86,251064,2352087,-2332
87,251092,2352077,-2572
88,251115,2352070,-2779
89,251116,2352069,-2815
90,251132,2352063,-3000
91,251141,2352060,-3123
92,251148,2352057,-3216
93,251196,2352003,-3862
94,251203,2351981,-4000
95,251204,2351979,-4012
96,251206,2351973,-4041
97,251213,2351953,-4142
98,251221,2351929,-4253
