      WELL DATA SUMMARY                                                                                   
            
Well  NAVY II 63-18RD    
                         
Sec Az   45         
Elev   4121 KB      
CoordsNorth  253434 East 2E+06        2353565 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM E-LAM    
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00       0    0                        4121     0     0     0     0     0     0  253434  2353565 
  121  0.00       0    0   121     0      121   4000     0     0     0     0     0     0  253434  2353565 
  473  0.00       0    0   473     0      473   3648     0     0     0     0     0     0  253434  2353565 
  473  0.00      55  305     0     0      473   3648     0     0     0     0     0     0  253434  2353565 
  500  1.17      55  305    27     0      500   3621     0     0     0     0     0     0  253434  2353565 
  525  2.25      55  305    25     1      525   3596     0    -1     1    -1     0     0  253435  2353564 
  556  2.25      51  309    31     1      556   3565     1    -1     1    -2     0     0  253435  2353563 
  650  3.00      46  314    94     4      650   3471     3    -3     4    -5     0    -1  253438  2353560 
  744  3.75      45  315    94     6      744   3377     4    -4     8    -9     0    -1  253442  2353556 
  837  4.75      48  312    93     7      836   3285     5    -5    13   -14     0    -1  253447  2353551 
  930  5.00      49  311    93     8      929   3192     5    -6    18   -20     0    -1  253452  2353545 
 1000  5.00      48  312    70     6      999   3122     4    -5    22   -24     0    -2  253456  2353541 
 1024  5.00      48  312    24     2     1023   3098     1    -2    24   -26     0    -2  253458  2353539 
 1118  5.00      47  313    94     8     1116   3005     6    -6    29   -32     0    -2  253463  2353533 
 1123  4.95      47  313     5     0     1121   3000     0     0    29   -32     0    -2  253463  2353533 
 1211  4.00      46  314    93     7     1209   2912     5    -5    34   -37     0    -2  253468  2353528 
 1305  4.00      48  312    94     7     1303   2818     4    -5    39   -42     0    -2  253473  2353523 
 1369  4.00      47  313    64     4     1367   2754     3    -3    42   -45     0    -3  253476  2353520 
 1401  4.50      47  313    32     2     1399   2722     2    -2    43   -47     0    -3  253477  2353518 
 1416  4.50      47  313    15     1     1414   2707     1    -1    44   -48     0    -3  253478  2353517 
 1500  4.07      50  310    84     6     1497   2624     4    -5    48   -53     0    -3  253482  2353512 
 1561  3.75      52  308    61     4     1558   2563     3    -3    51   -56     0    -3  253485  2353509 
 1716  4.40      55  305   155    11     1713   2408     7    -9    57   -65    -2    -5  253491  2353500 
 1792  5.25      65  295    76     6     1789   2332     3    -6    61   -70    -2    -7  253495  2353495 
 1824  5.75      59  301    32     3     1820   2301     1    -3    62   -73    -1    -8  253496  2353492 
 1853  5.50      54  306    29     3     1849   2272     2    -2    64   -75    -1    -8  253498  2353490 
 1886  5.00      43  317    33     3     1882   2239     2    -2    66   -78     0    -8  253500  2353487 
 1918  4.25      40  320    32     3     1914   2207     2    -2    68   -79     0    -8  253502  2353486 
 1949  3.50      32  328    31     2     1945   2176     2    -1    69   -80     0    -8  253503  2353485 
 1980  3.00      20  340    31     2     1976   2145     2    -1    71   -81     1    -7  253505  2353484 
 2000  3.00       8  352    20     1     1996   2125     1     0    72   -81     1    -7  253506  2353484 
 2012  3.00       1  359    12     1     2008   2113     1     0    73   -82     0    -6  253507  2353483 
