      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 65-18 
                         
Sec Az   80 N 80 E  
Elev   4139 KB      
CoordsNorth  252003 East              2353451 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0    0                        4139     0     0     0     0     0        0  252003  2353451 
  139  0.23      51  274   139     0      139   4000     0     0     0     0     0        0  252003  2353451 
  154  0.25      56  304   154     0      154   3985     0     0     0     0     0        0  252003  2353451 
  304  0.50      49  229   150     1      304   3835     0    -1     0    -1    -1       -1  252003  2353450 
  474  0.25      29  209   170     1      474   3665    -1    -1    -1    -2    -1       -2  252002  2353449 
  500  0.25      26  227    26     0      500   3639     0     0    -1    -2     0       -2  252002  2353449 
  686  0.25       1  359   212     1      686   3453     0    -1    -1    -2    -1       -3  252002  2353449 
  863  0.50      61  299   177     1      863   3276     1    -1     0    -3     0       -3  252003  2353448 
 1000  0.35      62  298   137     1     1000   3139     0    -1     0    -4    -1       -4  252003  2353447 
 1094  0.25      63  297   231     2     1094   3045     1    -1     1    -4    -1       -4  252004  2353447 
 1139  0.36      59  242    45     0     1139   3000     0     0     1    -5     0       -4  252004  2353446 
 1302  0.75      44   44   208    -2     1302   2837     2     0     2    -5     0       -4  252005  2353446 
 1427  0.25      64   64   125     1     1427   2712     1     1     3    -4     1       -3  252006  2353447 
 1500  0.25      76  181    73     0     1500   2639     0     0     3    -4     0       -3  252006  2353447 
 1552  0.25      85  265   125     1     1552   2587    -1     0     3    -4     0       -3  252006  2353447 
 1696  0.50      72  288   144     1     1696   2443     0    -1     3    -5    -1       -4  252006  2353446 
 1774  0.25       5  185    78     1     1774   2365     0     0     2    -5     0       -4  252005  2353446 
 1835  1.25      76  104    61     1     1835   2304    -1     0     2    -5     0       -4  252005  2353446 
 1867  1.75      86   94    32     1     1867   2272     0     1     2    -4     1       -3  252005  2353447 
 1928  3.75      87   93    61     3     1928   2211     0     3     1    -1     3       -1  252004  2353450 
 1959  4.50      89   89    31     2     1959   2180     0     2     1     1     2        2  252004  2353452 
 1991  5.25      83   83    32     3     1991   2148     0     3     2     4     3        4  252005  2353455 
 2000  5.48      82   82     9     1     2000   2139     0     1     2     5     1        5  252005  2353456 
 2021  6.00      80   80    30     3     2021   2118     0     3     2     7     3        7  252005  2353458 
 2084  7.75      80   80    63     8     2083   2056     1     7     3    15     8       15  252006  2353466 
 2141  9.09      80   80    56     8     2139   2000     1     8     5    23     8       23  252008  2353474 
 2148  9.25      80   80    63     9     2146   1993     2     9     5    24     9       24  252008  2353475 
 2242 10.25      81   81    93    16     2239   1900     3    16     8    40    16       40  252011  2353491 
 2333 11.25      82   82    89    17     2328   1811     3    17    10    56    17       57  252013  2353507 
 2428 12.25      82   82    93    19     2421   1718     3    19    13    75    19       77  252016  2353526 
 2500 13.26      80   80    70    16     2492   1647     2    16    15    91    16       92  252018  2353542 
 2551 13.97      79   79   120    28     2541   1598     5    28    17   103    28      104  252020  2353554 
 2553 14.00      79   79   122    28     2543   1596     5    28    18   103    28      105  252021  2353554 
