Point,Northing,Easting,Elevation,Temp,Type
1,254048,2354593,4207,0,Abandoned
2,254049,2354592,4000,0,Abandoned
3,254051,2354591,3740,0,Abandoned
4,254052,2354590,3707,0,Abandoned
5,254053,2354590,3624,0,Abandoned
6,254055,2354590,3500,0,Abandoned
7,254057,2354589,3374,0,Abandoned
8,254060,2354588,3249,0,Abandoned
9,254061,2354588,3207,0,Abandoned
10,254064,2354588,3126,0,Abandoned
11,254067,2354586,3002,0,Abandoned
12,254068,2354583,2847,0,Abandoned
13,254068,2354582,2722,0,Abandoned
14,254067,2354580,2600,0,Abandoned
15,254066,2354579,2506,0,Abandoned
16,254065,2354576,2383,0,Abandoned
17,254063,2354572,2228,0,Abandoned
18,254063,2354571,2207,0,Abandoned
19,254063,2354565,2074,0,Abandoned
20,254064,2354562,2000,0,Abandoned
21,254064,2354559,1917,0,Abandoned
22,254065,2354553,1762,0,Abandoned
23,254066,2354550,1708,0,Abandoned
24,254068,2354547,1628,0,Abandoned
25,254068,2354546,1604,0,Abandoned
26,254069,2354544,1553,0,Abandoned
27,254070,2354538,1449,0,Abandoned
28,254071,2354531,1320,0,Abandoned
29,254072,2354525,1209,0,Abandoned
30,254072,2354522,1167,0,Abandoned
31,254072,2354513,1011,0,Abandoned
32,254072,2354512,1000,0,Abandoned
33,254073,2354504,854,0,Abandoned
34,254074,2354496,709,0,Abandoned
35,254074,2354494,669,0,Abandoned
36,254075,2354491,631,0,Abandoned
