ID,Northing,Easting,Elevation,Temp,Type
1,254043,2354660,4228,0,Production
2,254045,2354660,4011,0,Production
3,254048,2354659,3761,0,Production
4,254049,2354659,3673,0,Production
5,254051,2354660,3515,0,Production
6,254053,2354661,3359,0,Production
7,254051,2354661,3228,0,Production
8,254055,2354661,3203,0,Production
9,254053,2354658,3000,0,Production
10,254060,2354661,2925,0,Production
11,254060,2354662,2894,0,Production
12,254061,2354662,2863,0,Production
13,254061,2354663,2831,0,Production
14,254061,2354664,2769,0,Production
15,254061,2354665,2739,0,Production
16,254061,2354666,2728,0,Production
17,254060,2354666,2707,0,Production
18,254060,2354668,2677,0,Production
19,254059,2354669,2647,0,Production
20,254058,2354671,2615,0,Production
21,254057,2354673,2583,0,Production
22,254055,2354676,2554,0,Production
23,254053,2354678,2523,0,Production
24,254051,2354682,2491,0,Production
25,254040,2354701,2344,0,Production
26,254037,2354706,2312,0,Production
27,254027,2354721,2233,0,Production
28,254022,2354730,2190,0,Production
29,254009,2354751,2102,0,Production
30,253995,2354776,2012,0,Production
31,253993,2354779,2000,0,Production
32,253980,2354802,1924,0,Production
33,253976,2354809,1904,0,Production
34,253964,2354830,1842,0,Production
35,253947,2354859,1760,0,Production
36,253929,2354888,1674,0,Production
37,253910,2354915,1591,0,Production
38,253891,2354943,1503,0,Production
39,253872,2354971,1410,0,Production
40,253854,2354997,1323,0,Production
41,253848,2355006,1293,0,Production
42,253836,2355023,1234,0,Production
43,253817,2355048,1147,0,Production
44,253798,2355072,1057,0,Production
45,253786,2355087,1000,500,Production
46,253779,2355095,969,0,Production
47,253766,2355111,909,0,Production
48,253753,2355127,850,0,Production
49,253746,2355135,820,0,Production
50,253741,2355143,791,0,Production
51,253729,2355161,730,0,Production
52,253715,2355188,643,0,Production
53,253707,2355207,583,0,Production
54,253697,2355226,523,0,Production
55,253687,2355244,467,0,Production
56,253682,2355255,435,0,Production
57,253667,2355282,349,0,Production
58,253661,2355292,316,0,Production
59,253644,2355322,221,0,Production
60,253627,2355351,129,0,Production
61,253611,2355377,47,0,Production
62,253602,2355391,0,448,Production
63,253595,2355402,-36,0,Production
64,253579,2355427,-121,0,Production
65,253572,2355437,-155,0,Production
66,253542,2355482,-310,0,Production
