Point,NORTHING,EASTING,Elev_ft,Elev_m
1,253110,2354521,4100,1250
2,253110,2354521,4000,1219
3,253108,2354519,3600,1097
4,253108,2354518,3530,1076
5,253107,2354517,3405,1038
6,253106,2354515,3286,1002
7,253106,2354514,3192,973
8,253106,2354512,3100,945
9,253106,2354512,3092,942
10,253105,2354511,3000,914
11,253105,2354510,2945,898
12,253104,2354509,2810,856
13,253103,2354508,2721,829
14,253102,2354506,2600,792
15,253101,2354506,2571,784
16,253100,2354503,2446,746
17,253100,2354502,2389,728
18,253099,2354501,2358,719
19,253099,2354499,2326,709
20,253098,2354497,2295,700
21,253096,2354494,2239,682
22,253094,2354490,2173,662
23,253092,2354488,2145,654
24,253091,2354486,2114,644
25,253090,2354485,2101,640
26,253089,2354484,2093,638
27,253084,2354478,2030,619
28,253082,2354474,2000,610
29,253078,2354469,1960,597
30,253071,2354461,1903,580
31,253062,2354452,1832,558
32,253054,2354443,1773,540
33,253041,2354428,1680,512
34,253031,2354415,1610,491
35,253028,2354412,1589,484
36,253017,2354399,1524,465
37,253005,2354386,1464,446
38,252986,2354362,1375,419
39,252965,2354336,1289,393
40,252941,2354307,1204,367
41,252921,2354284,1141,348
42,252915,2354276,1122,342
43,252890,2354246,1049,320
44,252872,2354225,1000,305
45,252860,2354210,966,294
46,252830,2354175,884,269
47,252781,2354117,748,228
48,252765,2354098,704,215
49,252732,2354058,613,187
50,252684,2354001,477,145
51,252634,2353945,339,103
52,252628,2353938,321,98
53,252627,2353937,319,97
54,252608,2353916,266,81
55,252585,2353891,202,62
56,252536,2353837,64,20
57,252514,2353812,0,0
58,252488,2353784,-72,-22
59,252452,2353743,-177,-54
60,252431,2353719,-237,-72
61,252371,2353653,-410,-125
62,252312,2353589,-576,-176
63,252296,2353572,-620,-189
64,252272,2353547,-685,-209
65,252210,2353483,-851,-259
66,252154,2353425,-1000,-305
67,252149,2353420,-1014,-309
68,252131,2353402,-1060,-323
69,252096,2353367,-1153,-351
70,252033,2353308,-1314,-401
71,251968,2353250,-1480,-451
72,251959,2353243,-1502,-458
73,251896,2353188,-1662,-507
74,251879,2353173,-1706,-520
75,251829,2353130,-1828,-557
76,251811,2353115,-1870,-570
77,251780,2353090,-1943,-592
78,251759,2353072,-1993,-607
79,251756,2353069,-2000,-610
80,251693,2353015,-2155,-657
81,251653,2352980,-2254,-687
82,251641,2352970,-2283,-696
