Point,NORTHING,EASTING,Elev_ft,Elev_m
1,254759,2355098,4326,1319
2,254759,2355097,4194,1278
3,254759,2355097,4176,1273
4,254759,2355097,4170,1271
5,254759,2355097,4164,1269
6,254759,2355097,4123,1257
7,254759,2355096,4086,1245
8,254759,2355096,4067,1240
9,254759,2355095,4033,1229
10,254758,2355095,4000,1219
11,254756,2355094,3906,1191
12,254755,2355095,3851,1174
13,254755,2355095,3826,1166
14,254753,2355096,3749,1143
15,254749,2355097,3624,1105
16,254745,2355098,3468,1057
17,254741,2355099,3326,1014
18,254741,2355099,3314,1010
19,254737,2355101,3159,963
20,254734,2355102,3054,931
21,254732,2355103,3022,921
22,254731,2355103,3000,914
23,254730,2355103,2990,911
24,254728,2355103,2960,902
25,254726,2355103,2929,893
26,254723,2355103,2900,884
27,254716,2355102,2827,862
28,254706,2355101,2757,840
29,254696,2355099,2698,822
30,254684,2355098,2637,804
31,254671,2355095,2576,785
32,254656,2355093,2515,767
33,254631,2355087,2425,739
34,254606,2355082,2340,713
35,254605,2355082,2337,712
36,254577,2355075,2248,685
37,254545,2355069,2160,658
38,254508,2355061,2069,631
39,254476,2355056,2000,610
40,254473,2355055,1992,607
41,254433,2355049,1911,582
42,254417,2355047,1880,573
43,254390,2355044,1824,556
44,254310,2355035,1665,507
45,254264,2355029,1573,479
46,254239,2355025,1522,464
47,254224,2355023,1491,454
48,254196,2355019,1432,436
49,254184,2355017,1408,429
50,254183,2355017,1405,428
51,254168,2355015,1375,419
52,254129,2355009,1293,394
53,254079,2355000,1190,363
54,254068,2354998,1167,356
55,254040,2354992,1109,338
56,254021,2354988,1068,326
57,253997,2354983,1018,310
58,253988,2354982,1000,305
59,253980,2354980,983,300
60,253971,2354979,965,294
61,253916,2354968,851,259
62,253858,2354956,732,223
63,253769,2354937,554,169
64,253760,2354935,536,163
65,253746,2354931,508,155
66,253692,2354918,397,121
67,253677,2354914,367,112
68,253636,2354902,286,87
69,253581,2354886,175,53
70,253538,2354874,92,28
71,253527,2354871,70,21
72,253491,2354860,0,0
73,253471,2354854,-39,-12
74,253415,2354837,-149,-45
75,253358,2354819,-258,-79
76,253327,2354810,-317,-97
77,253313,2354805,-343,-105
78,253310,2354804,-347,-106
79,253299,2354801,-367,-112
80,253234,2354780,-488,-149
81,253186,2354764,-576,-176
