Site,Northing,Easting,Elevation,Temp
1,253506,2365489,3644,0
2,253506,2365490,3484,0
3,253505,2365493,3304,0
4,253505,2365494,3173,0
5,253504,2365497,3000,238
6,253504,2365497,2977,0
7,253504,2365500,2879,0
8,253503,2365503,2755,0
9,253503,2365507,2633,0
10,253502,2365510,2540,0
11,253501,2365513,2416,0
12,253500,2365517,2293,0
13,253497,2365520,2169,0
14,253496,2365522,2046,0
15,253496,2365523,2000,0
16,253493,2365527,1742,0
17,253492,2365527,1708,0
18,253491,2365527,1670,0
19,253489,2365528,1546,0
20,253486,2365529,1425,0
21,253483,2365531,1285,0
22,253482,2365532,1170,0
23,253481,2365532,1135,0
24,253481,2365532,1104,0
25,253481,2365531,1073,0
26,253481,2365531,1052,0
27,253482,2365530,1042,0
28,253483,2365530,1012,0
29,253483,2365530,1000,325
30,253484,2365529,981,0
31,253486,2365528,950,0
32,253492,2365526,879,0
33,253501,2365523,787,0
34,253511,2365520,694,0
35,253516,2365518,643,0
36,253520,2365516,613,0
37,253524,2365513,572,0
38,253539,2365506,452,0
39,253557,2365497,299,0
40,253571,2365489,177,0
41,253584,2365481,53,0
42,253590,2365478,0,367
43,253597,2365474,-71,0
44,253607,2365470,-177,0
45,253613,2365468,-229,0
46,253625,2365468,-355,0
47,253629,2365470,-403,0
48,253633,2365470,-434,0
49,253636,2365470,-465,0
50,253639,2365470,-495,0
51,253642,2365470,-525,0
52,253645,2365470,-555,0
53,253648,2365469,-586,0
54,253650,2365468,-617,0
55,253653,2365467,-648,0
56,253655,2365465,-679,0
57,253658,2365463,-709,0
58,253661,2365461,-739,0
59,253664,2365458,-771,0
60,253668,2365456,-802,0
61,253673,2365453,-831,0
62,253678,2365450,-863,0
63,253685,2365445,-912,0
64,253689,2365442,-934,0
65,253699,2365435,-995,0
66,253700,2365435,-1000,406
67,253704,2365432,-1022,0
68,253711,2365427,-1070,0
69,253716,2365424,-1100,0
70,253726,2365417,-1161,0
71,253737,2365409,-1228,0
72,253746,2365402,-1284,0
73,253759,2365392,-1377,0
74,253769,2365382,-1456,0
75,253777,2365374,-1518,0
76,253778,2365373,-1526,0
77,253797,2365353,-1677,0
78,253792,2365358,-1640,0
79,253810,2365342,-1762,0
80,253812,2365340,-1777,0
81,253827,2365326,-1884,0
82,253844,2365310,-2000,432
83,253846,2365309,-2007,0
84,253851,2365305,-2041,0
85,253860,2365297,-2102,0
86,253865,2365293,-2132,0
87,253868,2365291,-2149,0
88,253870,2365289,-2162,0
89,253876,2365285,-2193,0
90,253877,2365285,-2197,0
91,253882,2365282,-2224,0
92,253888,2365278,-2254,0
93,253894,2365275,-2284,0
94,253914,2365267,-2373,0
95,253927,2365262,-2434,0
96,253948,2365255,-2526,0
97,253962,2365251,-2587,0
98,253977,2365246,-2647,0
99,253999,2365239,-2739,0
100,254020,2365232,-2829,0
101,254034,2365228,-2890,0
102,254055,2365222,-2980,0
103,254060,2365220,-3000,508
104,254069,2365218,-3041,0
105,254082,2365214,-3102,0
106,254096,2365210,-3163,0
107,254110,2365207,-3223,0
108,254111,2365206,-3228,0
109,254130,2365202,-3317,0
110,254142,2365198,-3378,0
111,254161,2365193,-3470,0
112,254180,2365189,-3562,0
113,254190,2365187,-3615,0
114,254194,2365186,-3636,0
115,254205,2365184,-3698,0
116,254223,2365180,-3789,0
117,254242,2365178,-3882,0
118,254260,2365177,-3974,0
119,254265,2365177,-4000,530
120,254271,2365177,-4033,0
121,254276,2365176,-4058,0
122,254283,2365176,-4093,0
123,254296,2365176,-4157,0
124,254314,2365175,-4249,0
125,254333,2365175,-4342,0
126,254343,2365175,-4390,0
127,254351,2365175,-4433,0
128,254381,2365176,-4585,0
129,254399,2365177,-4677,0
130,254411,2365180,-4746,0
131,254422,2365182,-4802,0
132,254429,2365184,-4846,0
133,254433,2365184,-4870,0
134,254448,2365188,-4962,0
135,254455,2365190,-5000,540
136,254459,2365191,-5029,0
137,254468,2365193,-5082,0
138,254477,2365195,-5143,0
139,254496,2365200,-5259,0
140,254501,2365201,-5288,0
141,254514,2365204,-5359,0
142,254531,2365207,-5449,0
143,254538,2365209,-5481,0
144,254564,2365214,-5603,0
145,254572,2365215,-5635,0
146,254595,2365218,-5740,0
147,254635,2365225,-5916,0
148,254644,2365226,-5955,0
149,254654,2365228,-6000,0
150,254708,2365236,-6217,0
151,254715,2365237,-6244,0
