Point,Northing,Easting,Depth_ft,Temp
1,264072,2353628,4367,0
2,264073,2353628,4157,0
3,264077,2353628,4059,0
4,264083,2353628,3961,0
5,264092,2353627,3864,0
6,264101,2353627,3867,0
7,264112,2353624,3767,0
8,264124,2353621,3682,0
9,264139,2353613,3583,0
10,264155,2353601,3491,0
11,264174,2353583,3380,0
12,264194,2353564,3368,0
13,264215,2353541,3280,0
14,264236,2353514,3186,0
15,264257,2353484,3156,0
16,264278,2353447,3093,0
17,264301,2353403,3004,0
18,264324,2353351,2918,0
19,264346,2353297,2869,0
20,264368,2353239,2814,0
21,264386,2353172,2671,0
22,264397,2353089,2501,0
23,264395,2353086,2471,0
24,264404,2352999,2440,0
25,264409,2352906,2410,0
26,264411,2352809,2375,0
27,264409,2352707,2355,0
28,264410,2352611,2371,0
29,264401,2352598,2313,0
30,264400,2352500,2297,0
31,264381,2352380,2197,0
32,264352,2352252,2101,0
33,264311,2352118,2004,382
34,264259,2351981,1921,0
35,264201,2351841,1877,0
36,264138,2351699,1829,0
37,264064,2351552,1742,0
38,263981,2351403,1682,0
39,263973,2351400,1630,0
40,263879,2351247,1547,0
41,263761,2351084,1395,0
42,263641,2350920,1382,0
43,263517,2350750,1300,0
44,263393,2350569,1190,0
45,263394,2350563,1123,0
46,263271,2350380,1092,0
47,263151,2350185,1010,377
48,263036,2349980,910,0
49,262922,2349774,884,0
50,262813,2349561,817,0
51,262709,2349341,726,0
52,262610,2349115,623,0
53,262517,2348882,533,0
54,262428,2348641,428,0
55,262340,2348397,386,0
56,262255,2348148,346,0
57,262173,2347890,269,0
58,262093,2347619,166,0
59,262015,2347337,93,0
60,261937,2347038,-9,357
61,261857,2346730,-69,0
62,261775,2346414,-108,0
63,261688,2346087,-173,0
64,261592,2345746,-243,0
65,261481,2345388,-342,0
66,261466,2345372,-444,0
67,261355,2345014,-446,0
