      WELL DATA SUMMARY                                                                                      
            
Well  Navy II 13-16 
                         
Sec Az  230 S 50 W  
Elev   3960 KB      
CoordsNorth  253465 East              2360817 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      86  266     0     0        0   3960     0     0     0     0     0        0  253465  2360817 
  176  0.75      86  266   176     1      176   3784     0    -1     0    -1     1        1  253465  2360816 
  299  0.75      72  288   123     2      299   3661     0    -2     0    -3     1        2  253465  2360814 
  453  0.75      68  292   154     2      453   3507     1    -2     1    -5     1        3  253466  2360812 
  460  0.75      68  290     7     0      460   3500     0     0     1    -5     0        3  253466  2360812 
  500  0.75      68  278    47     1      500   3460     0    -1     1    -5     0        3  253466  2360812 
  601  0.75      69  249   148     2      601   3359     0    -2     1    -7     1        5  253466  2360810 
  754  1.00      23  157   153     2      754   3206    -2    -1    -1    -7     2        7  253464  2360810 
  878  1.50      24  204   124     3      878   3082    -3     0    -4    -8     2        8  253461  2360809 
  960  1.17      17  197    82     2      960   3000    -2    -1    -6    -8     2       10  253459  2360809 
 1000  1.01      13  193   122     3     1000   2960    -3    -1    -7    -8     2       11  253458  2360809 
 1002  1.00      13  193   124     3     1002   2958    -3    -1    -7    -8     2       11  253458  2360809 
 1189  1.00      46  226   187     3     1189   2771    -3    -2    -9   -10     3       14  253456  2360807 
 1406  1.25      18  198   217     4     1406   2554    -4    -2   -13   -12     4       18  253452  2360805 
 1500  1.25      40  220    94     2     1500   2460    -2    -1   -15   -13     2       20  253450  2360804 
 1627  1.25      70  250   221     5     1627   2333    -3    -3   -17   -16     5       23  253448  2360801 
 1850  1.25      84  264   223     5     1850   2110    -1    -5   -18   -20     4       27  253447  2360797 
 1953  1.25      84  264   103     2     1953   2007     0    -2   -18   -23     2       29  253447  2360794 
 1960  1.60      87  267     7     0     1960   2000     0     0   -18   -23     0       29  253447  2360794 
 1963  1.75      88  268    10     0     1963   1997     0     0   -18   -23     0       29  253447  2360794 
 1971  1.75      88  268     8     0     1971   1989     0     0   -18   -23     0       29  253447  2360794 
 2000  1.75      88  268    29     1     2000   1960     0    -1   -18   -24     1       30  253447  2360793 
 2058  1.75      88  268    87     3     2058   1902     0    -3   -18   -26     2       31  253447  2360791 
 2101  1.99      82  262    43     1     2101   1859     0    -1   -18   -27     1       32  253447  2360790 
 2147  2.25      76  256    46     2     2147   1813     0    -2   -18   -29     1       34  253447  2360788 
 2201  2.75      74  254    54     2     2201   1759    -1    -2   -19   -31     2       36  253446  2360786 
 2232  3.25      66  246    31     2     2231   1729    -1    -2   -20   -33     2       38  253445  2360784 
 2263  4.00      56  236    31     2     2262   1698    -1    -2   -21   -34     2       39  253444  2360783 
 2294  4.25      55  235    31     2     2293   1667    -1    -2   -22   -36     2       42  253443  2360781 
 2325  4.75      50  230    31     2     2324   1636    -1    -2   -23   -38     2       44  253442  2360779 
 2356  5.25      52  232    31     3     2355   1605    -2    -2   -25   -40     3       47  253440  2360777 
 2386  6.00      54  234    30     3     2385   1575    -2    -2   -27   -43     3       50  253438  2360774 
