			WELL DATA SUMMARY																																			/ca11..aj12~a112~						{GOTO}r11~/fcceinsert3~
			 																																			/rva59..aj59~a59..aj59~						/wgc6~
		Well	51B-16 Drilling																																			/ma59..ak200~a63~						/rff0~a13..aj200~
		 	 	 	 																																	/ca11..aj12~a60~						/rff~c13..c200~
		Sec Azim	 	 																																		/ppr~gp{esc}{esc}{esc}						{GOTO}C3~WELL DATA SUMMARY~
		Elev	3746	KB																																								{GOTO}Q1~/WCS9~/WCHAH1~
	 	Coords:	North	254769	EAST	2363815																																						/PPOMR240~QQ
	 					 																																						{GOTO}A1~/wcs9~
Casing	 	MD	Drift A.	Drift D.	Azim	TVD	SSD	DNS	DEW	N-S	E-W	N-LAM	E-LAM																															{GOTO}D1~/wcs8~
	 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________																															{GOTO}H1~/wcs9~
	 				 																																							{GOTO}P1~/wcs8~
xxxxx	 	0	0	0	89	0	3746	0.0	0.0	0.0	0.0	254769.0	2363815.0																															/wchi1~
xxxxx	 	159	0	0	89	159	3587	0.0	0.0	0.0	0.0	254769.0	2363815.0																															/wchi1~
xxxxx	 	304	1	0	89	304	3442	0.0	0.9	0.0	0.9	254769.0	2363815.9																															/wchi1~
xxxxx	 	485	1	0	119	485	3261	-0.8	3.1	-0.7	4.0	254768.3	2363819.0																															/wchi1~
xxxxx		618	1	0	175	618	3128	-2.2	1.4	-2.9	5.4	254766.1	2363820.4																															
xxxxx	 	745	1	0	149	745	3001	-3.2	3.3	-3.9	7.3	254765.1	2363822.3																															/wchi1~
xxxxx		746	1	0	149	746	3000	0.0	0.0	-3.9	7.3	254765.1	2363822.3																															
xxxxx	 	911	1	0	173	911	2835	-2.7	0.9	-6.6	8.2	254762.4	2363823.2																															/wchi1~
xxxxx	 	1100	1	0	192	1100	2646	-3.7	-0.2	-10.3	8.1	254758.7	2363823.1																															/wchi1~
xxxxx		1255	2	0	136	1255	2491	-3.3	0.9	-13.6	9.0	254755.4	2363824.0																															
xxxxx	LC	1411	1	0	130	1411	2335	-2.0	2.1	-15.6	11.1	254753.4	2363826.1																															
xxxxx		1437	1	0	129	1437	2309	-2.1	2.3	-15.7	11.3	254753.3	2363826.3																															
xxxxx		1658	0	0	129	1658	2088	-0.6	0.7	-16.3	12.1	254752.7	2363827.1																															
xxxxx		1746	0	0	120	1746	2000	-0.2	0.3	-16.5	12.3	254752.5	2363827.3																															
xxxxx		1876	1	0	107	1876	1870	-0.9	1.7	-17.2	13.8	254751.8	2363828.8																															
xxxxx	-300BPH	1953	1	0	116	1953	1793	-0.6	1.4	-17.8	15.2	254751.2	2363830.2																															
xxxxx		2047	2	0	128	2047	1699	-1.7	3.3	-19.0	17.1	254750.0	2363832.1																															
xxxxx		2196	1	0	134	2196	1550	-2.3	2.7	-21.3	19.8	254747.7	2363834.8																															
xxxxx	 -440BPH	2322	2	0	139	2322	1424	-2.3	2.2	-23.7	22.0	254745.3	2363837.0																															
xxxxx	 -300BPH	2354	2	0	140	2354	1392	-0.7	0.6	-24.4	22.6	254744.6	2363837.6																															
xxxxx		2409	2	0	142	2409	1337	-4.5	4.0	-25.8	23.8	254743.2	2363838.8																															
xxxxx	LC	2440	2	0	136	2440	1306	-0.9	0.7	-26.7	24.5	254742.3	2363839.5
xxxxx		2507	3	0	125	2507	1239	-2.6	2.8	-28.4	26.6	254740.6	2363841.6
xxxxx	LC	2541	1	0	126	2541	1205	-0.7	0.9	-29.1	27.6	254739.9	2363842.6
xxxxx		2568	1	0	128	2568	1178	-0.9	1.3	-29.4	27.9	254739.6	2363842.9
xxxxx		2631	1	0	36	2631	1115	0.1	1.0	-29.2	28.9	254739.8	2363843.9
xxxxx		2692	3	0	45	2691	1055	1.6	1.4	-27.6	30.3	254741.4	2363845.3
xxxxx		2723	4	0	36	2722	1024	1.3	1.1	-26.3	31.4	254742.7	2363846.4
xxxxx		2747	4	0	37	2746	1000	1.3	1.0	-25.0	32.4	254744.0	2363847.4
xxxxx		2789	6	0	40	2788	958	4.2	3.3	-22.1	34.6	254746.9	2363849.6
xxxxx		2851	8	0	38	2850	896	5.6	4.5	-16.5	39.1	254752.5	2363854.1
xxxxx		2914	9	0	37	2912	834	7.4	5.7	-9.2	44.8	254759.8	2363859.8
xxxxx		2977	11	0	37	2974	772	8.7	6.5	-0.5	51.3	254768.5	2363866.3
xxxxx		3006	11	0	35	3003	743	4.4	3.1	3.9	54.5	254772.9	2363869.5
xxxxx		3071	12	0	30	3066	680	10.8	6.9	14.7	61.4	254783.7	2363876.4
xxxxx		3102	13	0	29	3097	649	5.8	3.2	20.4	64.6	254789.4	2363879.6
xxxxx		3133	14	0	29	3127	619	6.2	3.4	26.7	68.0	254795.7	2363883.0
xxxxx		3243	14	0	28	3234	512	22.8	12.2	49.4	80.2	254818.4	2363895.2
xxxxx		3355	13	0	29	3343	403	22.8	12.4	72.2	92.6	254841.2	2363907.6
xxxxx		3464	13	0	28	3449	297	22.0	11.9	94.2	104.5	254863.2	2363919.5
xxxxx		3559	13	0	28	3541	205	19.2	10.2	113.4	114.7	254882.4	2363929.7
xxxxx		3769	13	0	30	3746	0	41.4	23.2	154.7	137.9	254923.7	2363952.9
xxxxx		3812	13	0	31	3788	-42	49.5	28.0	162.9	142.8	254931.9	2363957.8
xxxxx	csg 13-3/8	3824	13	0	31	3800	-54	2.3	1.4	165.2	144.1	254934.2	2363959.1
xxxxx		3907	13	0	32	3880	-134	17.9	11.0	180.8	153.7	254949.8	2363968.7
xxxxx		4050	14	0	33	4020	-274	27.6	17.6	208.5	171.3	254977.5	2363986.3
xxxxx		4245	15	0	37	4209	-463	39.3	27.5	247.8	198.9	255016.8	2364013.9
xxxxx	-260 bph	4256	15	0	36	4219	-473	2.3	1.7	250.0	200.5	255019.0	2364015.5
xxxxx	LC	4369	16	0	26	4328	-582	25.4	15.3	275.4	215.8	255044.4	2364030.8
xxxxx		4426	16	0	21	4383	-637	42.0	23.3	289.7	222.1	255058.7	2364037.1
xxxxx	LC	4471	16	0	20	4426	-680	11.6	4.4	301.3	226.5	255070.3	2364041.5
xxxxx		4584	16	0	19	4535	-789	40.9	14.9	330.7	237.0	255099.7	2364052.0
xxxxx	section line	4630	16	0	22	4579	-833	11.9	4.4	342.6	241.4	255111.6	2364056.4
