      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 15A-17
                         
Sec Az   77 N 77 E  
Elev   4050 KB      
CoordsNorth  252008 East              2355501 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      20   20     0     0        0   4050     0     0     0     0     0        0  252008  2355501 
   50  0.27      20   20    50     0       50   4000     0     0     0     0     0        0  252008  2355501 
  139  0.75      20   20   139     1      139   3911     1     0     1     0     0        0  252009  2355501 
  303  2.25      89   89   164     4      303   3747     2     3     3     4     4        4  252011  2355505 
  390  1.75      88   88    87     3      390   3660     0     3     3     7     3        7  252011  2355508 
  490  1.75      88   88   100     3      490   3560     0     3     4    10     3       10  252012  2355511 
  500  1.73      86   86    10     0      500   3550     0     0     4    10     0       11  252012  2355511 
  600  1.50      70   70   100     3      600   3450     1     3     4    13     3       14  252012  2355514 
  725  1.25      68   68   125     3      725   3325     1     3     5    16     3       17  252013  2355517 
  851  1.75      86   94   126     3      851   3199     1     3     6    19     3       20  252014  2355520 
  975  1.50      81   99   124     4      975   3075     0     3     5    23     3       23  252013  2355524 
 1000  1.45      79  101    25     1     1000   3050     0     1     5    23     1       24  252013  2355524 
 1050  1.35      75  105    50     1     1050   3000     0     1     5    24     1       25  252013  2355525 
 1100  1.25      71  109   100     2     1100   2950    -1     2     5    25     2       26  252013  2355526 
 1225  0.75      28  152   125     2     1225   2825    -1     2     3    27     1       27  252011  2355528 
 1352  0.50      61   61   127     1     1352   2698     0     1     3    28     1       28  252011  2355529 
 1500  0.73      69  233   148    -2     1500   2550     1    -1     4    28    -1       28  252012  2355529 
 1515  0.75      70  250    15     0     1515   2535     0     0     4    27     0       28  252012  2355528 
 1595  1.25      44  224    80     1     1595   2455    -1    -1     3    26    -1       26  252011  2355527 
 1723  1.00      60  240   128     3     1723   2327    -2    -2     2    24    -2       24  252010  2355525 
 1878  1.50      60  240   155     3     1878   2172    -2    -3     0    21    -3       21  252008  2355522 
 2000  1.74      59  261   122     3     1999   2051    -1    -3    -1    18    -3       17  252007  2355519 
 2051  1.84      58  269    51     2     2050   2000     0    -2    -1    16    -2       16  252007  2355517 
 2255  2.25      56  304   255     9     2254   1796     2    -9     1     9    -8        9  252009  2355510 
 2443  2.50      31  329   188     8     2442   1608     6    -5     6     4    -4        5  252014  2355505 
 2492  2.00       1  359    49     2     2491   1559     2    -1     8     3     0        5  252016  2355504 
 2500  2.00      12  278     8     0     2499   1551     0     0     8     3     0        5  252016  2355504 
 2523  2.00      44   44    23    -1     2522   1528     1     0     9     3     0        5  252017  2355504 
 2555  2.50      75   75    32     1     2554   1496     1     1    10     4     1        6  252018  2355505 
 2586  3.00      69   69    31     1     2585   1465     0     1    10     6     1        8  252018  2355507 
 2617  4.00      60   60    31     2     2616   1434     1     2    11     7     2       10  252019  2355508 
 2648  4.50      60   60    31     2     2647   1403     1     2    12     9     2       12  252020  2355510 
 2678  5.00      79   79    30     2     2677   1373     1     2    13    12     2       14  252021  2355513 
 2708  5.25      86   94    30     3     2707   1343     0     3    13    14     3       17  252021  2355515 
