      WELL DATA SUMMARY                                                                                      
            
Well  NAVY 72C-18   
                         
Sec Az  120 S 60 E  
Elev   4228 KB      
CoordsNorth  254043 East              2354660 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       8  352                        4228     0     0     0     0     0        0  254043  2354660 
  217  1.00       8  352   217     2      217   4011     2     0     2     0    -1       -1  254045  2354660 
  228  0.98       8  352    11     0      228   4000     0     0     2     0     0       -1  254045  2354660 
  467  0.50      14  346   250     3      467   3761     3    -1     5    -1    -2       -3  254048  2354659 
  500  0.59      10  351    33     0      500   3728     0     0     5    -1     0       -4  254048  2354659 
  555  0.75       2  358    88     1      555   3673     1     0     6    -1    -1       -4  254049  2354659 
  713  0.75      33   33   158    -2      713   3515     2     1     8     0    -1       -4  254051  2354660 
  869  0.75      26   26   156     2      869   3359     2     1    10     1     0       -4  254053  2354661 
 1000  0.96       5  306   131     2     1000   3228    -2     0     8     1     1       -3  254051  2354661 
 1025  1.00       1  359   156    -2     1025   3203     2     1    12     1    -1       -5  254055  2354661 
 1228  1.00       8  104   203     4     1228   3000    -2    -3    10    -2    -1       -6  254053  2354658 
 1303  1.00      10   10   278    -5     1303   2925     5     0    17     1    -2       -7  254060  2354661 
 1334  1.00      29   29    31     1     1334   2894     1     0    17     2     0       -7  254060  2354662 
 1365  1.25      65   65    31     1     1365   2863     0     0    18     2     0       -7  254061  2354662 
 1397  1.25      75   75    32     1     1397   2831     0     1    18     3     0       -7  254061  2354663 
 1427  1.00      90   90    30     1     1427   2801     0     1    18     3     0       -6  254061  2354663 
 1459  2.00      81   99    32     1     1459   2769     0     1    18     4     1       -5  254061  2354664 
 1489  2.00      67  113    30     1     1489   2739     0     1    18     5     1       -4  254061  2354665 
 1500  2.17      67  113    11     0     1500   2728     0     0    18     6     0       -4  254061  2354666 
 1521  2.50      67  113    32     1     1521   2707     0     1    17     6     1       -3  254060  2354666 
 1551  3.00      67  113    30     1     1551   2677    -1     1    17     8     1       -2  254060  2354668 
 1581  3.50      60  120    30     2     1581   2647    -1     2    16     9     2        0  254059  2354669 
 1613  4.25      60  120    32     2     1613   2615    -1     2    15    11     2        2  254058  2354671 
 1645  5.25      57  123    32     3     1645   2583    -1     2    14    13     3        5  254057  2354673 
 1675  5.75      55  125    30     3     1674   2554    -2     2    12    16     3        8  254055  2354676 
 1706  6.25      58  122    31     3     1705   2523    -2     3    10    18     3       11  254053  2354678 
 1738  7.00      60  120    32     4     1737   2491    -2     3     8    22     4       15  254051  2354682 
 1887 10.25      58  122   147    22     1884   2344   -12    19    -3    41    22       37  254040  2354701 
 1919 11.25      58  122    31     6     1916   2312    -3     5    -6    46     6       43  254037  2354706 
 2000 13.68      59  121    79    17     1995   2233    -9    15   -16    61    17       60  254027  2354721 
 2044 15.00      59  121   122    28     2038   2190   -15    24   -21    70    28       71  254022  2354730 
 2136 16.50      60  120    89    25     2126   2102   -13    22   -34    91    25       96  254009  2354751 
 2230 18.00      60  120    90    28     2216   2012   -14    24   -48   116    28      124  253995  2354776 
